Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,25463,3937,3785,819,9,2,157,14988,287,0,287,299,63,236,787,234,3,0,0,0,9392,37,132,3445,47,0,47,264,48,216,487,190,3,0,0,0,6603,13,862,2345,375,0,375,0,0,0,1371,443,1,0,0,0,3760,29,350,387,12,0,12,0,0,0,431,371,1,0,0,0,1047,29,2,0,0,0,0,0,0,0,5,1,2,0,0,0,7,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,fiducial_Hrad
0.0002,0.5,27728,2747,4097,608,9,2,309,17000,486,0,486,452,91,361,1257,176,5,0,0,0,12012,33,208,2139,33,0,33,352,42,310,601,115,5,0,0,0,5037,4,843,2266,851,0,851,0,0,0,1766,230,1,0,0,0,4674,22,178,394,19,0,19,0,0,0,213,140,1,0,0,0,908,22,2,0,1,0,1,0,0,0,4,1,3,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,fiducial_Hrad
0.0004,0.5,26019,2463,4650,515,145,21,1384,13754,1043,0,1043,544,51,493,2732,157,319,0,0,0,16149,88,115,1819,54,0,54,455,13,442,622,103,21,0,0,0,4801,10,92,1017,3441,0,3441,0,0,0,2341,180,1236,0,0,0,8596,29,33,321,147,0,147,0,0,0,106,29,88,0,0,0,956,29,115,0,0,0,0,23,12,11,128,14,15,0,0,0,265,15,15,0,0,0,0,5,3,2,6,2,15,0,0,0,26,15,fiducial_Hrad
0.0006,0.5,27742,2079,5334,478,205,71,1685,13904,2637,0,2637,623,23,600,3216,199,1822,0,0,0,25536,114,134,1312,90,0,90,524,17,507,697,136,69,0,0,0,4028,6,87,901,4268,0,4268,0,0,0,2971,196,1408,0,1,0,10326,26,29,280,166,0,166,0,0,0,109,25,88,0,1,0,911,25,85,0,0,0,0,114,87,27,143,19,60,0,0,0,331,68,17,0,0,0,0,54,46,8,11,11,60,0,0,0,73,68,fiducial_Hrad
0.0008,0.5,27018,2127,5443,444,116,25,2347,11555,3462,0,3462,753,106,647,3940,149,2718,0,1,0,28105,97,147,1229,88,0,88,646,97,549,820,120,77,0,1,0,4110,3,98,806,4439,0,4439,1,1,0,2325,145,2244,0,1,0,10615,18,25,227,182,0,182,1,1,0,85,28,131,0,1,0,857,18,47,0,0,0,0,60,24,36,95,12,17,0,0,0,201,17,12,0,0,0,0,13,8,5,8,2,17,0,0,0,33,17,fiducial_Hrad
0.001,0.5,26175,2087,5265,398,156,96,2670,10886,3203,0,3203,682,117,565,4256,140,2400,0,0,0,28065,43,124,1245,88,0,88,613,108,505,764,116,78,0,0,0,4060,3,51,944,4157,0,4157,1,0,1,2039,165,2199,0,2,0,10283,12,18,225,145,0,145,1,0,1,69,29,102,0,2,0,773,12,99,0,3,0,3,42,11,31,59,10,88,0,3,0,202,91,77,0,3,0,3,15,6,9,5,4,88,0,3,0,99,91,fiducial_Hrad
0.002,0.5,25724,2707,5386,368,391,121,2836,11478,2546,0,2546,924,296,628,5030,72,1361,0,0,0,31499,50,698,1166,134,0,134,699,165,534,1409,59,132,0,0,0,5219,2,146,982,4110,0,4110,31,30,1,1748,52,2549,0,6,0,10506,18,42,182,114,0,114,30,29,1,110,13,70,0,6,0,717,17,56,0,3,0,3,320,273,47,254,12,126,0,3,0,645,116,40,0,3,0,3,76,62,14,9,6,109,0,3,0,124,116,fiducial_Hrad
0.004,0.5,25756,4081,5930,1068,895,362,4437,9264,2454,0,2454,1606,890,716,8484,37,85,0,0,0,31873,9,3037,209,77,0,77,755,313,442,3800,19,72,0,0,0,8088,0,1797,1379,2548,0,2548,118,111,7,2799,21,1676,0,5,0,11635,31,668,195,104,0,104,100,95,5,775,15,93,0,5,0,2103,29,104,0,12,0,12,774,704,70,372,60,498,0,22,0,1430,352,94,0,12,0,12,255,233,22,14,56,326,0,22,0,373,350,fiducial_Hrad
0.006,0.5,27340,4841,6001,1483,933,294,6217,9876,542,0,542,2071,1311,760,8884,26,0,0,0,0,37099,0,4010,130,0,0,0,697,345,352,4710,15,0,0,0,0,9663,0,2309,1376,1951,0,1951,313,295,18,2975,14,1607,0,10,0,11565,275,1074,151,58,0,58,199,193,6,1023,9,299,0,10,0,2686,275,96,0,11,0,11,824,764,60,547,46,374,0,11,0,1593,268,74,0,10,0,10,210,193,17,32,43,251,0,11,0,325,262,fiducial_Hrad
0.008,0.5,25809,2272,6255,941,1103,224,6394,5901,1193,0,1193,2450,1790,660,10087,40,3,0,0,0,33093,0,1903,80,0,0,0,287,79,208,2191,7,0,0,0,0,4532,0,2056,1121,2407,0,2407,589,556,33,3139,5,1931,0,0,0,12232,2,612,130,38,0,38,161,153,8,780,0,31,0,0,0,1876,2,77,0,8,0,8,1013,961,52,757,31,331,0,11,0,1971,225,50,0,7,0,7,167,157,10,42,28,171,0,11,0,266,181,fiducial_Hrad
