Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,26080,3939,3798,821,9,2,174,15193,322,0,322,321,69,252,861,257,3,0,0,0,9696,37,153,3386,51,0,51,301,61,240,549,202,3,0,0,0,6640,11,862,2345,385,0,385,0,0,0,1379,446,3,0,0,0,3778,29,350,387,14,0,14,0,0,0,431,373,3,0,0,0,1051,29,2,0,0,0,0,0,0,0,5,1,2,0,0,0,7,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,fiducial_pisnfarmer19
0.0002,0.5,28425,2789,4111,609,9,2,298,17281,579,0,579,475,103,372,1361,168,6,0,0,0,12472,30,229,2156,27,0,27,363,48,315,626,102,6,0,0,0,5125,3,843,2266,861,0,861,0,0,0,1776,232,1,0,0,0,4693,22,178,394,20,0,20,0,0,0,214,140,1,0,0,0,909,22,2,0,1,0,1,0,0,0,4,1,3,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,fiducial_pisnfarmer19
0.0004,0.5,26457,2418,4663,517,145,21,1334,13965,1091,0,1091,546,53,493,2738,150,314,0,0,0,16385,87,63,1825,49,0,49,461,17,444,576,95,16,0,0,0,4720,13,92,1017,3451,0,3451,0,0,0,2349,184,1238,0,0,0,8616,29,33,321,149,0,149,0,0,0,106,31,90,0,0,0,960,29,115,0,0,0,0,23,12,11,128,14,15,0,0,0,265,15,15,0,0,0,0,5,3,2,6,2,15,0,0,0,26,15,fiducial_pisnfarmer19
0.0006,0.5,28077,2033,5336,479,205,71,1549,14083,2704,0,2704,624,23,601,3182,196,1788,0,0,0,25610,116,95,1321,68,0,68,530,17,513,664,133,47,0,0,0,3936,6,87,900,4268,0,4268,0,0,0,2970,197,1409,0,1,0,10323,26,29,280,167,0,167,0,0,0,109,26,89,0,1,0,913,25,85,0,0,0,0,114,87,27,143,19,60,0,0,0,331,68,17,0,0,0,0,54,46,8,11,11,60,0,0,0,73,68,fiducial_pisnfarmer19
0.0008,0.5,27259,2106,5449,443,116,25,2214,11729,3474,0,3474,756,107,649,3830,140,2710,0,1,0,28118,94,128,1229,80,0,80,652,97,555,807,112,69,0,1,0,4068,3,98,806,4442,0,4442,1,1,0,2330,144,2242,0,1,0,10621,18,25,227,181,0,181,1,1,0,85,27,130,0,1,0,855,18,47,0,0,0,0,60,24,36,95,12,17,0,0,0,201,17,12,0,0,0,0,13,8,5,8,2,17,0,0,0,33,17,fiducial_pisnfarmer19
0.001,0.5,26315,2080,5271,398,156,96,2645,10945,3204,0,3204,682,117,565,4242,133,2391,0,0,0,28075,41,117,1247,85,0,85,614,108,506,758,109,75,0,0,0,4047,2,51,944,4160,0,4160,1,0,1,2042,165,2199,0,2,0,10289,12,18,225,145,0,145,1,0,1,69,29,102,0,2,0,773,12,99,0,3,0,3,42,11,31,59,10,88,0,3,0,202,91,77,0,3,0,3,15,6,9,5,4,88,0,3,0,99,91,fiducial_pisnfarmer19
0.002,0.5,26032,2709,5389,368,391,121,2840,11516,2550,0,2550,927,298,629,5042,72,1360,0,0,0,31535,52,696,1166,134,0,134,703,165,538,1411,59,132,0,0,0,5223,2,146,982,4113,0,4113,31,30,1,1751,52,2549,0,6,0,10512,18,42,182,114,0,114,30,29,1,110,13,70,0,6,0,717,17,56,0,3,0,3,320,273,47,254,12,126,0,3,0,645,116,40,0,3,0,3,76,62,14,9,6,109,0,3,0,124,116,fiducial_pisnfarmer19
0.004,0.5,26212,4086,5928,1068,895,362,4456,9389,2455,0,2455,1622,891,731,8518,34,85,0,0,0,32140,9,3035,211,77,0,77,760,315,445,3803,18,72,0,0,0,8098,0,1797,1377,2548,0,2548,118,111,7,2799,21,1676,0,5,0,11631,31,668,195,104,0,104,100,95,5,775,15,93,0,5,0,2103,29,104,0,12,0,12,774,704,70,372,60,498,0,22,0,1430,352,94,0,12,0,12,255,233,22,14,56,326,0,22,0,373,350,fiducial_pisnfarmer19
0.006,0.5,27841,4843,6004,1483,933,294,6213,9979,541,0,541,2071,1311,760,8879,26,0,0,0,0,37769,0,4010,131,0,0,0,698,345,353,4711,15,0,0,0,0,9666,0,2309,1379,1951,0,1951,313,295,18,2975,14,1607,0,10,0,11570,275,1074,151,58,0,58,199,193,6,1023,9,299,0,10,0,2686,275,96,0,11,0,11,824,764,60,547,46,374,0,11,0,1593,268,74,0,10,0,10,210,193,17,32,43,251,0,11,0,325,262,fiducial_pisnfarmer19
0.008,0.5,26096,2270,6259,942,1103,224,6352,6045,1191,0,1191,2450,1790,660,10046,38,3,0,0,0,33550,0,1903,80,0,0,0,286,79,207,2190,7,0,0,0,0,4530,0,2056,1124,2408,0,2408,589,556,33,3140,5,1931,0,0,0,12240,2,612,131,37,0,37,162,154,8,780,0,31,0,0,0,1878,2,77,0,8,0,8,1013,961,52,757,31,331,0,11,0,1971,225,50,0,7,0,7,167,157,10,42,28,171,0,11,0,266,181,fiducial_pisnfarmer19
