Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,127584,19792,19283,4142,59,17,756,75670,1445,0,1445,1359,353,1006,3787,1240,21,1,0,0,47225,191,645,17470,260,0,260,1165,245,920,2297,930,21,1,0,0,33237,62,4263,12076,1838,0,1838,0,0,0,6848,2185,12,0,0,0,19145,158,1747,2019,50,0,50,0,0,0,2111,1788,12,0,0,0,5331,158,16,0,0,0,0,12,3,9,26,6,17,0,0,0,49,19,10,0,0,0,0,3,3,0,0,3,17,0,0,0,10,19,fiducial_Hrad_5M
0.0002,0.5,138635,13502,20291,2917,88,41,1369,85589,2235,0,2235,2185,473,1712,5822,816,44,2,0,0,59507,184,901,10712,140,0,140,1686,202,1484,2743,535,44,2,0,0,24816,19,4303,11307,3936,0,3936,0,0,0,8650,1091,5,0,0,0,22852,140,876,1865,90,0,90,0,0,0,1047,614,5,0,0,0,4287,140,38,0,0,0,0,20,3,17,35,11,38,0,0,0,88,40,30,0,0,0,0,4,3,1,3,8,38,0,0,0,34,40,fiducial_Hrad_5M
0.0004,0.5,129906,12402,23213,2697,686,144,7200,68770,5055,0,5055,2602,260,2342,13516,802,1795,0,0,0,80824,414,634,9327,195,0,195,2139,75,2064,2983,520,91,0,0,0,24082,41,531,5252,16900,0,16900,0,0,0,11652,885,6031,0,0,0,42665,141,156,1634,817,0,817,0,0,0,564,198,499,0,0,0,5038,133,540,0,0,0,0,116,69,47,547,63,125,0,0,0,1200,126,92,0,0,0,0,46,31,15,19,7,125,0,0,0,155,126,fiducial_Hrad_5M
0.0006,0.5,138414,10382,26180,2428,1015,373,8640,69603,12943,0,12943,3003,169,2834,16002,994,9068,0,0,0,127989,518,641,6622,516,0,516,2525,110,2415,3342,651,416,0,0,0,20181,23,434,4344,20992,0,20992,0,0,0,14345,837,7224,0,8,0,50632,146,146,1380,868,0,868,0,0,0,495,113,545,0,8,0,4637,142,486,0,0,0,0,506,411,95,676,98,327,0,0,0,1575,391,108,0,0,0,0,261,242,19,46,52,327,0,0,0,345,391,fiducial_Hrad_5M
0.0008,0.5,134867,10571,26888,2245,541,141,11748,57721,17516,0,17516,3534,502,3032,19556,807,13765,0,3,0,140660,456,714,6359,429,0,429,2982,453,2529,3827,616,377,0,3,0,20443,18,440,4094,21852,0,21852,6,6,0,11290,640,11160,0,5,0,52470,127,142,1089,970,0,970,6,6,0,425,109,726,0,5,0,4309,123,236,0,0,0,0,271,135,136,405,53,113,0,0,0,906,114,67,0,0,0,0,69,45,24,28,18,113,0,0,0,161,114,fiducial_Hrad_5M
0.001,0.5,130446,10515,25806,2033,818,452,13411,54727,15655,0,15655,3231,481,2750,21044,764,11803,0,0,0,140110,188,614,6539,427,0,427,2822,439,2383,3607,620,366,0,0,0,20413,14,274,4454,20461,0,20461,2,2,0,9797,798,11101,0,3,0,50273,88,91,1062,829,0,829,2,2,0,368,137,600,0,3,0,3921,88,524,0,9,0,9,230,71,159,341,82,425,0,9,0,1081,436,388,0,9,0,9,50,24,26,18,39,425,0,9,0,450,436,fiducial_Hrad_5M
0.002,0.5,128431,13524,26499,1952,1952,618,14263,57401,12490,0,12490,4466,1463,3003,25134,357,6602,0,2,0,157163,214,3379,6126,632,0,632,3328,768,2560,6783,281,610,0,2,0,26087,5,779,4770,20206,0,20206,97,96,1,8569,287,12613,0,17,0,51642,54,239,966,628,0,628,97,96,1,547,86,422,0,17,0,3814,54,314,0,17,0,17,1557,1290,267,1226,88,654,0,18,0,3198,581,252,0,17,0,17,342,279,63,53,56,547,0,18,0,642,581,fiducial_Hrad_5M
0.004,0.5,129139,20569,28689,5259,4765,1866,22271,46697,12116,0,12116,8085,4554,3531,42493,175,409,0,0,0,160171,58,15117,1050,363,0,363,4023,1695,2328,19177,96,337,0,0,0,40700,0,8765,6609,12206,0,12206,563,535,28,13607,122,8022,0,30,0,56061,151,3449,875,458,0,458,466,445,21,3927,83,427,0,30,0,10324,145,530,0,99,0,99,4096,3647,449,2055,241,2547,0,134,0,7659,1797,471,0,98,0,98,1287,1157,130,85,227,1647,0,134,0,1941,1777,fiducial_Hrad_5M
0.006,0.5,136389,24623,29596,7414,5017,1616,31600,48825,2556,0,2556,10376,6802,3574,44839,133,0,0,0,0,185030,0,20462,572,0,0,0,3583,1798,1785,24050,47,0,0,0,0,49161,0,11720,6596,9234,0,9234,1691,1593,98,14857,52,7840,0,75,0,56638,1552,5480,679,259,0,259,993,937,56,5061,33,1599,0,75,0,13244,1552,530,0,80,0,80,4391,4009,382,2818,223,2107,0,86,0,8520,1483,437,0,75,0,75,1096,1011,85,159,210,1371,0,86,0,1775,1445,fiducial_Hrad_5M
0.008,0.5,128150,11188,31319,5016,5692,1213,32366,28615,5923,0,5923,12289,9111,3178,50907,163,6,0,0,0,164262,0,9429,384,0,0,0,1370,315,1055,10802,24,0,0,0,0,22330,0,10979,5420,11382,0,11382,3013,2809,204,16558,71,8960,0,0,0,61024,16,3474,567,191,0,191,782,708,74,4298,16,151,0,0,0,9990,15,471,0,56,0,56,5134,4800,334,3806,171,1792,0,71,0,10197,1131,289,0,52,0,52,865,795,70,233,152,909,0,71,0,1443,974,fiducial_Hrad_5M
