Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,6255,3636,2737,1028,14,7,966,4817,149,0,149,261,51,210,1415,1080,16,1,0,0,6212,19,956,2316,69,0,69,243,40,203,1304,1049,16,1,0,0,4633,12,765,1711,215,0,215,0,0,0,1014,736,11,1,0,0,2722,16,661,300,28,0,28,0,0,0,717,688,11,1,0,0,1166,16,1,0,0,0,0,0,0,0,10,0,4,0,0,0,10,4,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,4,fiducial_kick150
0.0002,0.5,6439,2987,2546,824,11,4,811,5007,228,0,228,369,66,303,1410,831,19,1,0,0,6966,11,774,1817,72,0,72,307,42,265,1151,791,19,1,0,0,4164,6,582,1589,365,0,365,0,0,0,945,487,11,0,0,0,2756,21,449,332,36,0,36,0,0,0,481,441,11,0,0,0,1036,21,1,0,0,0,0,0,0,0,9,0,2,0,0,0,9,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,fiducial_kick150
0.0004,0.5,5125,2655,2129,781,39,19,852,3461,322,0,322,462,28,434,1620,822,43,1,0,0,6999,32,733,1380,110,0,110,418,17,401,1245,755,30,1,0,0,4236,22,217,831,1074,0,1074,0,0,0,1067,401,231,1,0,0,3465,33,211,291,273,0,273,0,0,0,335,338,155,1,0,0,1279,32,19,0,0,0,0,11,7,4,29,4,10,0,0,0,59,10,7,0,0,0,0,6,4,2,9,1,10,0,0,0,22,10,fiducial_kick150
0.0006,0.5,5555,2697,1909,618,80,55,619,3635,768,0,768,518,18,500,1584,680,335,0,0,0,9197,44,474,1428,329,0,329,458,18,440,1075,634,194,0,0,0,4859,16,67,616,1222,0,1222,2,2,0,991,295,299,2,3,0,3563,18,59,246,310,0,310,2,2,0,171,233,198,2,3,0,1164,18,10,0,0,0,0,64,51,13,28,17,52,0,0,0,96,58,4,0,0,0,0,49,43,6,3,15,52,0,0,0,51,57,fiducial_kick150
0.0008,0.5,5066,2635,1848,626,42,17,643,2864,910,0,910,637,89,548,1748,706,452,0,1,0,8989,30,465,1194,404,0,404,566,87,479,1169,676,271,0,1,0,4904,16,49,533,1251,0,1251,10,10,0,881,283,428,0,6,0,3603,25,34,249,329,0,329,10,10,0,125,238,246,0,6,0,1208,25,10,0,0,0,0,26,12,14,27,5,15,0,0,0,62,15,3,0,0,0,0,11,6,5,2,4,15,0,0,0,15,15,fiducial_kick150
0.001,0.5,4530,2491,1613,533,46,31,652,2533,742,0,742,590,94,496,1636,675,360,0,0,0,8239,7,489,1139,325,0,325,533,92,441,1132,649,220,0,0,0,4703,5,29,544,1027,0,1027,8,7,1,722,225,346,0,1,0,3157,15,24,230,267,0,267,8,7,1,100,187,202,0,1,0,1027,15,14,0,1,0,1,24,12,12,20,8,25,0,1,0,57,26,11,0,1,0,1,14,9,5,5,5,25,0,1,0,29,26,fiducial_kick150
0.002,0.5,4095,2250,1349,397,177,116,528,2464,425,0,425,670,172,498,1473,364,157,0,0,0,7928,8,427,1108,156,0,156,558,138,420,1046,351,96,0,0,0,4415,0,62,488,762,0,762,36,36,0,518,94,339,0,4,0,2672,13,47,158,156,0,156,36,36,0,114,86,121,0,4,0,779,13,12,0,0,0,0,159,137,22,77,20,96,0,4,0,249,98,7,0,0,0,0,104,89,15,19,19,93,0,4,0,129,98,fiducial_kick150
0.004,0.5,2887,1612,1214,479,424,283,685,1009,283,0,283,901,425,476,1858,102,18,0,0,0,5665,0,607,297,61,0,61,646,278,368,1301,93,14,0,0,0,3195,0,319,473,333,0,333,89,83,6,578,22,162,0,1,0,2406,14,217,124,57,0,57,81,75,6,309,19,45,0,1,0,937,14,52,0,9,0,9,357,324,33,128,79,257,0,39,0,597,244,48,0,9,0,9,221,197,24,28,78,216,0,39,0,317,243,fiducial_kick150
0.006,0.5,2740,1476,1171,498,474,267,803,806,40,0,40,1087,624,463,1932,31,1,0,0,0,5449,0,652,199,4,0,4,621,328,293,1277,22,0,0,0,0,2945,0,310,450,185,0,185,225,207,18,576,12,143,0,2,0,2292,41,229,90,30,0,30,149,139,10,348,9,58,0,2,0,951,41,42,0,6,0,6,420,394,26,230,86,215,0,29,0,728,210,35,0,6,0,6,220,210,10,51,84,187,0,29,0,320,206,fiducial_kick150
0.008,0.5,1807,736,1181,351,612,265,554,392,92,0,92,765,412,353,1413,19,1,0,0,0,3599,0,310,95,15,0,15,316,130,186,640,6,1,0,0,0,1468,0,220,351,254,0,254,355,327,28,666,13,164,0,0,0,2351,1,82,86,32,0,32,151,139,12,240,1,25,0,0,0,699,0,30,0,7,0,7,570,549,21,380,87,207,0,25,0,1016,201,18,0,7,0,7,235,225,10,78,85,162,0,25,0,337,187,fiducial_kick150
