Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,24918,3667,3629,1510,2,0,89,14988,22,0,22,94,34,60,243,110,2,0,0,0,8545,7,89,3445,0,0,0,91,34,57,218,109,2,0,0,0,6117,7,1015,2345,0,0,0,0,0,0,1204,214,12,0,0,0,3239,42,941,387,0,0,0,0,0,0,1111,212,12,0,0,0,1715,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.0002,0.5,26775,2392,3704,1629,2,0,131,17000,55,0,55,113,44,69,308,36,1,0,0,0,10485,3,127,2139,2,0,2,112,44,68,250,35,1,0,0,0,4334,3,1238,2266,0,0,0,0,0,0,1357,62,17,0,0,0,3433,42,1115,394,0,0,0,0,0,0,1218,62,17,0,0,0,1891,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.0004,0.5,24576,3375,1456,530,2,0,1315,13754,57,0,57,161,51,110,1608,30,0,0,0,0,13667,13,1314,1819,6,0,6,160,51,109,1555,30,0,0,0,0,5377,7,194,1017,106,0,106,0,0,0,383,17,0,0,0,0,2086,28,136,321,2,0,2,0,0,0,209,17,0,0,0,0,828,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.0006,0.5,24648,3183,1835,466,2,0,1574,13904,68,0,68,211,12,199,1944,33,0,0,0,0,19915,19,1551,1312,18,0,18,210,12,198,1870,33,0,0,0,0,5019,11,152,901,681,0,681,0,0,0,877,3,4,0,0,0,3284,28,87,280,62,0,62,0,0,0,182,3,4,0,0,0,798,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.0008,0.5,23019,3792,1702,441,4,0,2214,11555,127,0,127,226,13,213,2660,32,0,0,0,0,20736,10,2199,1229,46,0,46,225,12,213,2563,32,0,0,0,0,5948,3,161,806,612,0,612,0,0,0,825,10,4,0,0,0,3120,22,112,227,55,0,55,0,0,0,210,10,4,0,0,0,767,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.001,0.5,22639,4190,1746,354,6,0,2559,10886,234,0,234,230,13,217,3120,36,0,0,0,0,21534,22,2516,1245,108,0,108,224,11,213,2945,36,0,0,0,0,6692,11,91,944,574,0,574,0,0,0,718,16,3,0,0,0,3228,13,47,225,39,0,39,0,0,0,126,15,3,0,0,0,639,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.002,0.5,22290,3820,1841,401,8,0,2165,11478,310,0,310,401,157,244,2957,21,0,0,0,0,25163,37,2039,1166,138,0,138,396,156,240,2654,21,0,0,0,0,6765,11,187,982,539,0,539,0,0,0,728,3,30,0,0,0,3393,27,123,182,72,0,72,0,0,0,189,3,30,0,0,0,745,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.004,0.5,20195,3004,3666,1620,4,0,1958,9264,146,0,146,833,511,322,3008,23,0,0,0,0,20823,0,1879,209,71,0,71,780,506,274,2795,20,0,0,0,0,5590,0,1272,1379,901,0,901,9,9,0,2132,4,84,0,0,0,6928,204,1268,195,124,0,124,9,9,0,1342,4,83,0,0,0,3011,198,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.006,0.5,23235,4657,4275,1969,36,30,3341,9876,57,0,57,1328,928,400,4778,13,1,0,0,0,28892,1,3227,130,11,0,11,1261,903,358,4525,11,1,0,0,0,9066,1,1632,1376,1146,0,1146,57,42,15,2717,6,149,0,0,0,8130,244,1586,151,163,0,163,46,32,14,1671,6,147,0,0,0,3625,244,0,0,0,0,0,35,30,5,11,0,24,0,0,0,46,24,0,0,0,0,0,30,27,3,6,0,24,0,0,0,36,24,fiducial_l01
0.008,0.5,23338,7330,4665,2434,114,58,5469,5901,10,0,10,2087,1694,393,7619,23,0,0,0,0,28147,0,5242,80,0,0,0,1975,1607,368,7249,14,0,0,0,0,14373,0,2040,1121,1194,0,1194,216,198,18,3173,5,306,0,1,0,8786,240,1966,130,186,0,186,128,113,15,2012,4,291,0,1,0,4488,239,0,0,0,0,0,110,106,4,60,0,50,0,0,0,166,54,0,0,0,0,0,58,57,1,8,0,50,0,0,0,62,54,fiducial_l01
0.01,0.5,24376,7000,5545,3211,153,41,5732,6204,4,0,4,1926,1568,358,7727,20,0,0,0,0,35839,0,5272,197,0,0,0,1507,1169,338,6803,12,0,0,0,0,13837,0,2496,846,1240,0,1240,753,727,26,3669,5,853,0,3,0,9912,626,2305,94,300,0,300,483,465,18,2278,4,836,0,3,0,5601,626,0,1,0,0,0,118,109,9,86,0,32,0,0,0,202,34,0,0,0,0,0,41,39,2,9,0,32,0,0,0,48,34,fiducial_l01
0.014,0.5,20750,3860,3641,1819,350,88,3510,3697,0,0,0,1314,1148,166,5195,8,0,0,0,0,32939,0,2972,1,0,0,0,691,535,156,3859,5,0,0,0,0,7598,0,1633,207,605,0,605,856,801,55,2726,4,463,0,6,0,6424,184,1171,6,304,0,304,278,237,41,1393,3,414,0,6,0,3233,182,3,5,0,0,0,295,283,12,232,1,66,0,0,0,521,79,3,0,0,0,0,85,84,1,22,1,66,0,0,0,102,74,fiducial_l01
0.017,0.5,21041,2497,5505,3158,311,118,3029,3810,0,0,0,1256,1138,118,4877,12,0,0,0,0,35783,34,1985,9,0,0,0,255,152,103,2486,9,0,0,0,0,4914,0,3144,246,857,0,857,732,691,41,4420,6,761,0,4,0,10252,314,2171,5,611,0,611,170,138,32,2477,5,672,0,4,0,5810,283,0,0,0,0,0,307,296,11,209,1,98,0,0,0,494,120,0,0,0,0,0,118,115,3,20,1,98,0,0,0,124,112,fiducial_l01
0.02,0.5,16046,1726,5542,3270,363,189,1509,3099,0,0,0,674,603,71,2842,22,0,0,0,0,27983,47,1110,0,0,0,0,224,161,63,1725,13,0,0,0,0,3405,13,2906,235,365,0,365,608,582,26,4884,19,357,0,3,0,10321,491,2082,2,284,0,284,109,92,17,2918,14,347,0,3,0,6036,420,0,1,0,0,0,356,349,7,191,6,165,0,0,0,493,221,0,0,0,0,0,189,184,5,24,6,165,0,0,0,174,204,fiducial_l01
0.03,0.5,7867,35,7418,4738,510,310,246,2279,0,0,0,17,0,17,366,7,0,0,0,0,14496,3,8,0,0,0,0,4,0,4,33,3,0,0,0,0,66,0,4013,61,109,0,109,296,289,7,6929,62,397,0,0,0,13686,1033,2811,2,92,0,92,14,14,0,4341,36,395,0,0,0,8435,1006,11,0,0,0,0,497,492,5,224,22,284,0,0,0,658,358,3,0,0,0,0,307,305,2,26,22,284,0,0,0,278,342,fiducial_l01
0.0001,1.0,25279,3923,3964,1296,2,0,187,14988,119,0,119,255,52,203,591,223,15,0,0,0,9135,30,166,3445,21,0,21,244,48,196,461,196,15,0,0,0,6537,30,1156,2345,191,0,191,0,0,0,1520,393,31,0,0,0,3738,102,786,387,8,0,8,0,0,0,878,351,31,0,0,0,1482,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.0002,1.0,27160,2663,3922,1251,2,0,245,17000,117,0,117,320,73,247,674,93,20,0,0,0,11088,29,191,2139,7,0,7,312,71,241,502,88,20,0,0,0,4810,29,1306,2266,152,0,152,0,0,0,1562,145,30,0,0,0,3790,113,783,394,7,0,7,0,0,0,827,138,30,0,0,0,1507,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.0004,1.0,25029,3542,3238,890,2,0,1389,13754,167,0,167,427,52,375,2057,57,4,0,0,0,14534,25,1192,1819,38,0,38,424,52,372,1718,56,4,0,0,0,5868,18,205,1017,1876,0,1876,0,0,0,2076,20,89,0,0,0,5548,163,109,321,417,0,417,0,0,0,480,17,89,0,0,0,1513,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.0006,1.0,25887,3241,6733,1368,2,0,1628,13904,992,0,992,472,11,461,3177,65,6,0,0,0,22308,70,886,1312,518,0,518,470,11,459,1922,64,6,0,0,0,5658,52,174,901,5559,0,5559,0,0,0,5599,31,180,0,0,0,12878,252,86,280,981,0,981,0,0,0,908,7,180,0,0,0,2437,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.0008,1.0,24802,3828,6540,1248,4,0,2265,11555,1560,0,1560,522,31,491,4442,67,1,0,0,0,24200,74,1255,1229,773,0,773,517,30,487,2598,67,1,0,0,0,6627,52,187,806,5425,0,5425,1,1,0,5519,21,148,0,0,0,12624,202,99,227,892,0,892,1,1,0,873,11,148,0,0,0,2250,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_l01
0.001,1.0,24208,3705,6609,1052,12,4,2602,10886,1492,0,1492,494,36,458,4688,81,1,0,0,0,24610,41,1292,1245,632,0,632,483,29,454,2459,80,1,0,0,0,6430,10,105,944,5429,0,5429,0,0,0,5464,20,120,0,0,0,12837,139,55,225,746,0,746,0,0,0,709,14,118,0,0,0,1935,138,0,0,0,0,0,6,6,0,2,1,4,0,0,0,8,4,0,0,0,0,0,4,4,0,0,1,4,0,0,0,4,4,fiducial_l01
0.002,1.0,23886,3006,6139,1287,29,14,2416,11478,1339,0,1339,714,198,516,4553,51,0,0,0,0,28246,50,774,1166,421,0,421,616,115,501,1840,51,0,0,0,0,5655,0,186,982,4843,0,4843,0,0,0,4423,3,633,0,0,0,11936,85,122,182,968,0,968,0,0,0,528,2,577,0,0,0,2471,83,0,0,0,0,0,21,21,0,7,0,14,0,0,0,20,22,0,0,0,0,0,14,14,0,0,0,14,0,0,0,6,22,fiducial_l01
0.004,1.0,23001,4317,6272,2634,501,493,3485,9264,979,0,979,1278,672,606,5813,33,1,0,0,0,26393,6,2744,209,293,0,293,1066,568,498,4107,25,1,0,0,0,8491,0,1608,1379,3136,0,3136,49,46,3,3858,8,961,0,3,0,12251,96,1565,195,808,0,808,46,43,3,1688,8,748,0,3,0,5148,92,0,0,0,0,0,498,490,8,9,0,489,0,0,0,213,783,0,0,0,0,0,493,489,4,4,0,489,0,0,0,203,783,fiducial_l01
0.006,1.0,26618,6727,6425,3644,570,491,5737,9876,411,0,411,1960,1283,677,8162,25,0,0,0,0,35655,0,4994,130,22,0,22,1577,1061,516,6596,19,0,0,0,0,13395,0,2680,1376,2096,0,2096,213,193,20,3567,6,1436,0,13,0,12156,526,2543,151,777,0,777,156,141,15,2275,5,1205,0,13,0,6717,516,0,0,0,0,0,569,550,19,90,0,479,0,0,0,386,752,0,0,0,0,0,491,485,6,12,0,479,0,0,0,231,751,fiducial_l01
0.008,1.0,25054,6159,7243,3617,747,445,6404,5901,492,0,492,2386,1767,619,9335,41,0,0,0,0,31578,0,4868,80,156,0,156,1050,542,508,6078,12,0,0,0,0,12277,0,2563,1121,2791,0,2791,677,634,43,4537,5,1521,0,0,0,13806,386,2133,130,879,0,879,457,426,31,2355,3,1132,0,0,0,6800,345,2,0,0,0,0,741,731,10,342,13,401,0,0,0,856,630,1,0,0,0,0,444,442,2,44,13,401,0,0,0,271,619,fiducial_l01
