Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,24782,3556,3826,1788,2,0,66,14988,0,0,0,0,0,0,109,98,0,0,0,0,8295,4,66,3445,0,0,0,0,0,0,109,98,0,0,0,0,5915,4,1184,2345,0,0,0,0,0,0,1411,380,2,0,0,0,3448,30,1172,387,0,0,0,0,0,0,1399,380,2,0,0,0,2005,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_klencki
0.0002,0.5,26570,2245,3807,1861,2,0,92,17000,0,0,0,0,0,0,104,35,0,0,0,0,10109,0,92,2139,0,0,0,0,0,0,104,35,0,0,0,0,4073,0,1327,2266,0,0,0,0,0,0,1468,139,9,0,0,0,3546,32,1317,394,0,0,0,0,0,0,1458,139,9,0,0,0,2133,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_klencki
0.0004,0.5,24181,3033,1392,637,2,0,1141,13754,0,0,0,0,0,0,1212,23,1,0,0,0,13003,9,1141,1819,0,0,0,0,0,0,1212,23,1,0,0,0,4819,3,226,1017,0,0,0,0,0,0,319,19,0,0,0,0,1916,28,223,321,0,0,0,0,0,0,316,19,0,0,0,0,934,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_klencki
0.0006,0.5,24170,2779,1188,507,2,0,1382,13904,0,0,0,0,0,0,1466,21,0,0,0,0,19086,6,1382,1312,0,0,0,0,0,0,1466,21,0,0,0,0,4324,1,180,901,0,0,0,0,0,0,234,4,0,0,0,0,1964,23,173,280,0,0,0,0,0,0,227,4,0,0,0,0,788,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_klencki
0.0008,0.5,22356,3226,1091,439,4,0,1908,11555,0,0,0,0,0,0,1997,20,0,0,0,0,19583,7,1908,1229,0,0,0,0,0,0,1997,20,0,0,0,0,4980,1,155,806,0,0,0,0,0,0,204,12,14,0,0,0,1885,33,149,227,0,0,0,0,0,0,198,12,14,0,0,0,736,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_klencki
0.001,0.5,21899,3625,1167,363,6,0,2287,10886,0,0,0,0,0,0,2373,23,7,0,0,0,20214,17,2287,1245,0,0,0,0,0,0,2373,23,7,0,0,0,5703,11,83,944,0,0,0,0,0,0,135,17,7,0,0,0,2063,17,79,225,0,0,0,0,0,0,131,17,7,0,0,0,633,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_klencki
0.002,0.5,21280,3113,1315,409,8,0,1869,11478,0,0,0,0,0,0,1946,12,1,0,0,0,23297,1,1869,1166,0,0,0,0,0,0,1946,12,1,0,0,0,5465,1,199,982,0,0,0,0,0,0,232,3,0,0,0,0,2354,14,195,182,0,0,0,0,0,0,227,3,0,0,0,0,754,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_klencki
0.004,0.5,17568,590,2652,1391,3,0,316,9264,0,0,0,0,0,0,381,4,0,0,0,0,15723,0,316,209,0,0,0,0,0,0,381,4,0,0,0,0,847,0,1163,1379,0,0,0,0,0,0,1202,2,0,0,0,0,4811,292,1160,195,0,0,0,0,0,0,1196,2,0,0,0,0,2450,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_klencki
0.006,0.5,18797,472,2619,1349,1,0,290,9876,0,0,0,0,0,0,341,6,0,0,0,0,20081,0,290,130,0,0,0,0,0,0,341,6,0,0,0,0,677,0,1176,1376,0,0,0,0,0,0,1205,3,5,0,0,0,4775,283,1165,151,0,0,0,0,0,0,1193,3,5,0,0,0,2323,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_klencki
0.008,0.5,16123,484,2329,1264,4,0,359,5901,0,0,0,1,1,0,404,6,0,0,0,0,13809,0,358,80,0,0,0,1,1,0,403,6,0,0,0,0,665,0,1103,1121,6,0,6,0,0,0,1128,3,16,0,0,0,4145,214,1096,130,4,0,4,0,0,0,1118,3,16,0,0,0,2159,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_klencki
