Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,24883,3645,3797,1701,2,0,104,14988,13,0,13,46,23,23,210,141,0,0,0,0,8457,3,104,3445,1,0,1,46,23,23,198,134,0,0,0,0,6053,3,1105,2345,55,0,55,0,0,0,1384,394,0,0,0,0,3486,4,1095,387,0,0,0,0,0,0,1314,381,0,0,0,0,1930,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0002,0.5,26731,2382,3757,1755,2,0,154,17000,24,0,24,73,44,29,265,69,0,0,0,0,10370,2,154,2139,0,0,0,73,44,29,241,67,0,0,0,0,4287,2,1228,2266,50,0,50,0,0,0,1427,147,0,0,0,0,3557,5,1216,394,0,0,0,0,0,0,1361,141,0,0,0,0,2038,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0004,0.5,24443,3284,1457,588,2,0,1307,13754,18,0,18,71,21,50,1475,45,0,0,0,0,13390,12,1307,1819,7,0,7,71,21,50,1464,45,0,0,0,0,5184,6,191,1017,105,0,105,0,0,0,384,20,0,0,0,0,2086,5,182,321,2,0,2,0,0,0,267,20,0,0,0,0,887,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0006,0.5,25182,3217,4240,940,2,0,1571,13904,587,0,587,227,130,97,2478,36,0,0,0,0,20969,15,1220,1312,394,0,394,227,130,97,1904,36,0,0,0,0,5333,8,152,901,3077,0,3077,7,7,0,3286,6,0,0,0,0,8096,8,128,280,482,0,482,7,7,0,660,4,0,0,0,0,1704,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0008,0.5,24263,3977,4268,862,4,0,2220,11555,1175,0,1175,412,283,129,3904,35,0,0,0,0,23203,8,1585,1229,689,0,689,412,283,129,2748,35,0,0,0,0,6729,0,142,806,3192,0,3192,5,5,0,3392,12,3,0,0,0,8268,5,137,227,443,0,443,5,5,0,632,12,3,0,0,0,1617,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.001,0.5,23618,4019,4548,825,7,0,2631,10886,970,0,970,398,279,119,4099,40,0,0,0,0,23476,8,1760,1245,557,0,557,397,279,118,2774,40,0,0,0,0,6853,0,132,944,3325,0,3325,8,8,0,3516,18,7,0,0,0,8839,4,117,225,428,0,428,8,8,0,600,17,0,0,0,0,1581,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.002,0.5,23065,3213,5138,944,105,0,2387,11478,658,0,658,602,449,153,3731,22,1,0,0,0,26726,10,1103,1166,314,0,314,600,448,152,2046,22,1,0,0,0,6075,5,456,982,3568,0,3568,0,0,0,3573,5,482,0,0,0,10005,10,344,182,395,0,395,0,0,0,679,5,83,0,0,0,1841,9,0,0,0,0,0,97,97,0,82,0,15,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.004,0.5,19995,2619,6873,2296,572,28,1819,9264,47,0,47,870,511,359,2808,20,0,0,0,0,20423,5,1555,209,0,0,0,846,511,335,2410,17,0,0,0,0,5037,0,2972,1379,2400,0,2400,21,17,4,4596,5,827,0,0,0,13517,33,1899,195,172,0,172,21,17,4,2017,4,84,0,0,0,4548,29,16,0,0,0,0,553,548,5,294,15,275,0,0,0,1116,22,0,0,0,0,0,28,27,1,5,12,23,0,0,0,36,20,
0.006,0.5,22525,3791,5477,1603,541,21,2595,9876,0,0,0,1421,809,612,4069,11,0,0,0,0,27474,0,2288,130,0,0,0,1368,797,571,3660,7,0,0,0,0,7518,0,2407,1376,1580,0,1580,53,26,27,3210,5,858,0,0,0,10759,31,1319,151,80,0,80,48,24,24,1402,2,50,0,0,0,3160,29,11,0,0,0,0,529,510,19,296,5,244,0,0,0,1070,9,0,0,0,0,0,21,18,3,11,3,10,0,0,0,36,6,
0.008,0.5,22912,6137,5034,1193,701,18,4869,5901,6,0,6,2265,1671,594,7193,19,0,0,0,0,27295,0,4331,80,1,0,1,1712,1230,482,6056,10,0,0,0,0,12185,0,1747,1121,1926,0,1926,152,110,42,2843,6,1006,0,0,0,9763,46,904,130,70,0,70,87,57,30,1031,2,32,0,0,0,2349,26,12,0,0,0,0,685,674,11,428,1,269,0,0,0,1381,13,0,0,0,0,0,18,15,3,14,0,4,0,0,0,34,2,
