Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,28356,2278,3944,648,32,16,185,17403,520,0,520,296,76,220,1038,487,11,3,0,0,13001,60,136,1840,19,0,19,233,39,194,428,209,8,3,0,0,4083,9,931,2412,346,0,346,0,0,0,1462,720,1,0,0,0,4319,10,381,194,6,0,6,0,0,0,453,419,1,0,0,0,759,10,26,0,0,0,0,1,0,1,14,26,15,0,0,0,41,15,16,0,0,0,0,0,0,0,1,14,15,0,0,0,17,15,fiducial_notides
0.0002,0.5,29769,2311,4542,478,164,119,448,17626,1281,0,1281,458,111,347,2208,1219,21,1,0,0,16952,80,226,1727,31,0,31,307,37,270,565,249,17,1,0,0,4383,13,837,2216,1296,0,1296,0,0,0,2235,1172,23,0,0,0,6072,9,224,179,51,0,51,0,0,0,293,259,6,0,0,0,637,8,157,0,0,0,0,1,0,1,41,135,119,0,0,0,199,119,119,0,0,0,0,0,0,0,0,100,119,0,0,0,119,119,fiducial_notides
0.0004,0.5,30569,2119,4923,314,530,229,1709,16490,1924,0,1924,594,108,486,3898,918,397,1,0,0,24606,322,93,1557,30,0,30,415,24,391,532,165,29,1,0,0,4158,19,92,1327,3397,0,3397,0,0,0,2284,573,1252,2,0,0,9179,2,12,133,150,0,150,0,0,0,82,57,99,2,0,0,586,2,500,0,2,0,2,22,13,9,304,355,220,1,2,0,826,222,220,0,2,0,2,7,6,1,7,143,220,1,2,0,236,222,fiducial_notides
0.0006,0.5,30910,2210,5252,309,370,81,2232,15350,3148,0,3148,674,42,632,4397,986,1727,3,1,0,31252,342,126,1433,99,0,99,530,22,508,678,275,96,2,1,0,4278,9,79,1211,3868,0,3868,0,0,0,2539,715,1439,4,2,0,10194,5,12,132,158,0,158,0,0,0,79,56,96,2,2,0,592,4,264,0,0,0,0,100,76,24,299,191,68,0,0,0,656,69,48,0,0,0,0,32,27,5,13,36,68,0,0,0,91,69,fiducial_notides
0.0008,0.5,31161,2235,5498,312,153,41,2955,14109,3820,0,3820,782,101,681,5149,941,2483,2,1,0,35505,334,134,1396,82,0,82,604,79,525,759,258,78,2,1,0,4324,7,92,1145,4150,0,4150,0,0,0,2115,604,2157,4,1,0,10747,2,9,117,175,0,175,0,0,0,68,47,126,1,1,0,609,2,97,1,0,0,0,46,16,30,111,85,34,0,0,0,249,34,31,0,0,0,0,9,5,4,7,24,34,0,0,0,46,34,fiducial_notides
0.001,0.5,31042,2206,5290,299,188,97,3173,14351,3422,0,3422,741,112,629,5270,793,2149,2,0,0,36819,83,125,1361,87,0,87,613,88,525,758,234,84,2,0,0,4283,12,63,1235,3865,0,3865,1,0,1,1936,545,2026,3,0,0,10335,3,12,129,147,0,147,1,0,1,72,43,98,2,0,0,584,3,129,0,0,0,0,51,15,36,85,99,96,0,0,0,257,94,83,0,0,0,0,14,3,11,3,54,94,0,0,0,95,94,fiducial_notides
0.002,0.5,29384,2782,5530,309,380,127,4064,12905,2890,0,2890,1052,395,657,6698,759,1384,3,0,0,37625,66,858,1109,135,0,135,665,160,505,1538,270,134,3,0,0,5378,0,119,1244,4004,0,4004,20,19,1,1765,664,2401,5,6,0,10767,10,15,131,139,0,139,19,18,1,79,63,93,2,6,0,602,9,59,0,4,0,4,306,248,58,223,85,143,2,4,0,619,118,46,0,4,0,4,76,53,23,13,39,110,2,4,0,133,118,fiducial_notides
0.004,0.5,29509,4491,5814,827,780,291,7251,8614,3256,0,3256,1903,1124,779,12323,961,158,3,0,0,38370,9,3221,463,76,0,76,726,302,424,3956,272,71,3,0,0,8921,0,1386,1299,2930,0,2930,90,82,8,2623,801,1803,4,4,0,11347,18,477,141,131,0,131,74,68,6,573,119,109,0,4,0,1621,18,61,0,11,0,11,703,615,88,346,143,415,1,15,0,1269,280,53,0,11,0,11,226,199,27,13,92,263,1,15,0,301,278,fiducial_notides
0.006,0.5,30209,5021,5617,1241,840,264,7514,10784,677,0,677,2092,1269,823,10312,676,27,0,0,0,41744,0,4066,324,12,0,12,612,281,331,4684,167,12,0,0,0,10024,0,1909,1316,2046,0,2046,284,263,21,2600,651,1641,8,20,0,10739,265,809,157,89,0,89,183,173,10,772,101,292,2,20,0,2210,265,77,0,4,0,4,757,678,79,465,131,367,2,7,0,1435,241,58,0,4,0,4,201,184,17,27,87,230,2,7,0,292,234,fiducial_notides
0.008,0.5,28152,2312,6152,861,952,214,8192,5976,1218,0,1218,2375,1647,728,11810,425,23,0,0,0,36894,0,2018,97,5,0,5,190,39,151,2209,61,5,0,0,0,4619,0,1834,1140,2521,0,2521,565,526,39,2996,462,1946,2,0,0,12000,4,504,159,44,0,44,151,137,14,670,39,32,0,0,0,1712,4,53,0,8,0,8,886,817,69,611,106,326,3,11,0,1700,194,41,0,8,0,8,164,150,14,38,55,165,3,11,0,249,177,fiducial_notides
