Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,32401,2693,4610,316,7,2,96,23140,366,0,366,325,78,247,785,0,2,0,0,0,15911,73,31,2392,11,0,11,257,43,214,299,0,0,0,0,0,4939,7,978,3177,302,0,302,0,0,0,1374,0,0,0,0,0,4955,10,64,243,7,0,7,0,0,0,73,0,0,0,0,0,442,10,0,0,0,0,0,1,0,1,3,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,fiducial_notides_pericirc
0.0002,0.5,33384,2763,4768,313,9,2,392,23430,599,0,599,452,106,346,1439,1,6,0,0,0,19718,101,158,2273,29,0,29,300,41,259,482,1,6,0,0,0,5342,11,937,2907,789,0,789,0,0,0,1804,0,0,0,0,0,5887,6,63,236,13,0,13,0,0,0,77,0,0,0,0,0,461,6,0,0,0,0,0,2,0,2,5,0,2,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,fiducial_notides_pericirc
0.0004,0.5,34658,2558,5802,350,124,82,2258,21543,1734,0,1734,646,119,527,4340,1,390,0,0,0,29975,411,79,2022,18,0,18,437,23,414,518,1,17,0,0,0,5069,25,129,1670,3909,0,3909,0,0,0,2421,0,1656,0,0,0,10827,6,19,167,164,0,164,0,0,0,67,0,116,0,0,0,664,6,81,0,0,0,0,36,23,13,42,0,80,0,0,0,154,80,46,0,0,0,0,34,23,11,2,0,80,0,0,0,82,80,fiducial_notides_pericirc
0.0006,0.5,35015,2579,6202,343,226,127,2755,19918,3404,0,3404,753,52,701,4906,1,2099,0,0,0,38190,489,32,1928,56,0,56,560,22,538,593,1,56,0,0,0,5133,10,104,1538,4485,0,4485,0,0,0,2684,0,1932,0,0,0,12079,2,16,175,151,0,151,0,0,0,64,0,104,0,0,0,660,2,105,0,0,0,0,117,90,27,108,0,116,0,0,0,317,119,36,0,0,0,0,91,74,17,11,0,116,0,0,0,131,119,fiducial_notides_pericirc
0.0008,0.5,35325,2587,6706,364,86,54,3678,18058,4466,0,4466,917,154,763,6008,0,3153,0,0,0,43839,501,23,1835,30,0,30,698,121,577,721,0,30,0,0,0,5154,12,133,1468,5015,0,5015,0,0,0,2278,0,2901,0,0,0,13161,3,16,152,194,0,194,0,0,0,53,0,159,0,0,0,714,3,17,0,0,0,0,63,20,43,28,0,54,0,0,0,105,54,4,0,0,0,0,49,15,34,0,0,54,0,0,0,51,54,fiducial_notides_pericirc
0.001,0.5,35450,2527,6476,319,150,112,3978,18359,4150,0,4150,866,150,716,6324,2,2775,0,0,0,45879,130,9,1762,39,0,39,716,127,589,725,2,39,0,0,0,5024,19,83,1552,4741,0,4741,1,0,1,2074,0,2776,0,0,0,12718,4,15,157,145,0,145,1,0,1,49,0,113,0,0,0,630,4,87,0,4,0,4,52,12,40,35,0,106,0,4,0,174,110,75,0,4,0,4,32,6,26,2,0,106,0,4,0,110,110,fiducial_notides_pericirc
0.002,0.5,33544,3033,6675,307,448,270,4894,16455,3568,0,3568,1258,546,712,8076,4,1737,0,0,0,46418,110,761,1443,34,0,34,793,232,561,1557,3,33,0,0,0,5952,0,142,1573,4818,0,4818,26,25,1,1867,0,3137,0,3,0,13090,5,12,166,103,0,103,25,24,1,74,0,64,0,3,0,608,4,44,0,11,0,11,386,338,48,153,0,273,0,16,0,608,271,43,0,11,0,11,215,187,28,4,0,250,0,16,0,264,271,fiducial_notides_pericirc
0.004,0.5,33597,5505,7087,973,1108,622,8872,11111,4011,0,4011,2222,1430,792,15073,13,119,0,0,0,47159,18,4033,577,66,0,66,829,412,417,4862,7,66,0,0,0,10920,0,1692,1644,3537,0,3537,118,108,10,3135,0,2236,0,3,0,13900,12,574,181,123,0,123,94,86,8,677,0,112,0,3,0,1921,11,186,0,49,0,49,869,793,76,338,0,682,0,84,0,1597,607,176,0,48,0,48,398,360,38,16,0,522,0,84,0,636,605,fiducial_notides_pericirc
0.006,0.5,34776,6468,7218,1608,1206,552,9611,13915,773,0,773,2530,1653,877,12983,27,0,0,0,0,50931,0,5339,419,0,0,0,708,369,339,6049,11,0,0,0,0,12907,0,2523,1690,2592,0,2592,357,336,21,3258,1,2201,0,38,0,13728,403,1100,186,92,0,92,229,220,9,976,1,408,0,38,0,2804,403,191,0,42,0,42,972,905,67,500,1,645,0,60,0,1883,525,161,0,35,0,35,356,333,23,30,1,462,0,60,0,585,518,fiducial_notides_pericirc
0.008,0.5,31942,2939,8165,1158,1285,407,10548,7972,1486,0,1486,2905,2134,771,15001,12,9,0,0,0,44957,0,2635,109,0,0,0,193,63,130,2829,2,0,0,0,0,5863,0,2570,1410,3387,0,3387,706,676,30,4022,1,2673,0,0,0,15943,6,740,188,51,0,51,179,168,11,930,0,40,0,0,0,2299,6,142,0,22,0,22,1118,1062,56,715,1,527,0,40,0,2183,381,96,0,20,0,20,291,266,25,48,1,319,0,40,0,456,358,fiducial_notides_pericirc
