Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,25463,3937,3785,819,9,2,157,14988,287,0,287,299,63,236,787,234,3,0,0,0,9392,37,132,3445,47,0,47,264,48,216,487,190,3,0,0,0,6603,13,862,2345,375,0,375,0,0,0,1371,443,1,0,0,0,3760,29,350,387,12,0,12,0,0,0,431,371,1,0,0,0,1047,29,2,0,0,0,0,0,0,0,5,1,2,0,0,0,7,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,fiducial_HGoptimistic
0.0002,0.5,27704,2724,4097,608,9,2,294,16997,480,0,480,452,91,361,1236,176,5,0,0,0,11964,33,193,2136,28,0,28,352,42,310,581,115,5,0,0,0,4991,4,843,2266,851,0,851,0,0,0,1766,230,1,0,0,0,4674,22,178,394,19,0,19,0,0,0,213,140,1,0,0,0,908,22,2,0,1,0,1,0,0,0,4,1,3,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,fiducial_HGoptimistic
0.0004,0.5,25876,2425,4594,511,145,21,1362,13737,939,0,939,544,51,493,2617,147,308,0,0,0,15902,88,98,1810,42,0,42,455,13,442,604,93,10,0,0,0,4725,10,92,1017,3385,0,3385,0,0,0,2287,178,1234,0,0,0,8485,29,33,321,143,0,143,0,0,0,104,27,86,0,0,0,948,29,115,0,0,0,0,23,12,11,128,14,15,0,0,0,265,15,15,0,0,0,0,5,3,2,6,2,15,0,0,0,26,15,fiducial_HGoptimistic
0.0006,0.5,27413,2054,5230,474,205,71,1669,13788,2440,0,2440,623,23,600,3014,197,1811,0,0,0,24987,114,142,1276,93,0,93,524,17,507,705,134,72,0,0,0,3978,6,87,900,4165,0,4165,0,0,0,2868,196,1408,0,1,0,10124,26,29,280,162,0,162,0,0,0,105,25,88,0,1,0,903,25,85,0,0,0,0,114,87,27,143,19,60,0,0,0,331,68,17,0,0,0,0,54,46,8,11,11,60,0,0,0,73,68,fiducial_HGoptimistic
0.0008,0.5,26738,2123,5313,440,116,25,2316,11435,3333,0,3333,753,106,647,3786,143,2712,0,1,0,27643,97,157,1218,85,0,85,646,97,549,830,114,74,0,1,0,4101,4,98,806,4309,0,4309,1,1,0,2197,143,2242,0,1,0,10362,18,25,227,178,0,178,1,1,0,82,27,130,0,1,0,849,18,47,0,0,0,0,60,24,36,95,12,17,0,0,0,201,17,12,0,0,0,0,13,8,5,8,2,17,0,0,0,33,17,fiducial_HGoptimistic
0.001,0.5,25947,2072,5112,393,124,64,2664,10794,3073,0,3073,682,117,565,4121,137,2399,0,0,0,27704,42,125,1226,91,0,91,613,108,505,765,113,81,0,0,0,4030,3,51,944,4004,0,4004,1,0,1,1886,165,2199,0,2,0,9981,12,18,225,140,0,140,1,0,1,64,29,102,0,2,0,763,12,70,0,0,0,0,42,11,31,59,10,59,0,0,0,170,59,48,0,0,0,0,15,6,9,5,4,59,0,0,0,67,59,fiducial_HGoptimistic
0.002,0.5,25585,2700,5194,366,140,46,2835,11440,2446,0,2446,924,296,628,4929,72,1361,0,0,0,31259,50,698,1159,134,0,134,699,165,534,1409,59,132,0,0,0,5205,2,146,977,3923,0,3923,31,30,1,1561,52,2549,0,6,0,10125,18,42,182,112,0,112,30,29,1,108,13,70,0,6,0,713,17,37,0,0,0,0,91,44,47,76,12,56,0,0,0,220,39,21,0,0,0,0,23,9,14,7,6,39,0,0,0,51,39,fiducial_HGoptimistic
0.004,0.5,25387,3771,5745,1054,281,48,4117,9235,2434,0,2434,1606,890,716,8144,37,85,0,0,0,31139,9,2726,209,77,0,77,756,314,442,3490,19,72,0,0,0,7468,0,1783,1364,2392,0,2392,118,111,7,2629,21,1676,0,5,0,11267,29,654,194,102,0,102,103,98,5,762,15,93,0,5,0,2077,27,20,0,0,0,0,256,186,70,62,11,206,0,10,0,512,42,13,0,0,0,0,34,12,22,4,7,34,0,10,0,53,42,fiducial_HGoptimistic
0.006,0.5,25662,3700,5777,1497,241,48,4607,9809,541,0,541,2071,1311,760,7273,26,0,0,0,0,33743,0,2866,130,0,0,0,700,348,352,3569,15,0,0,0,0,7381,0,2313,1299,1799,0,1799,314,296,18,2855,14,1580,0,10,0,11121,280,1079,145,58,0,58,214,208,6,1042,9,300,0,10,0,2709,280,32,0,2,0,2,205,145,60,77,17,160,0,3,0,437,40,24,0,2,0,2,22,5,17,7,14,38,0,3,0,55,40,fiducial_HGoptimistic
0.008,0.5,24389,2370,5855,926,312,37,5012,5864,1193,0,1193,2449,1789,660,8704,40,3,0,0,0,30253,0,2009,68,0,0,0,291,83,208,2301,7,0,0,0,0,4728,0,1963,1085,2235,0,2235,490,457,33,2856,5,1850,0,0,0,11439,13,608,124,35,0,35,159,151,8,768,0,34,0,0,0,1836,12,27,0,0,0,0,280,228,52,120,13,184,0,4,0,587,27,14,0,0,0,0,23,13,10,8,10,25,0,4,0,46,27,fiducial_HGoptimistic
