Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,25621,4095,3933,967,293,267,266,15034,288,0,288,300,64,236,899,326,3,0,0,0,9589,35,241,3491,48,0,48,265,49,216,599,282,3,0,0,0,6800,11,927,2423,375,0,375,0,0,0,1442,530,0,0,0,0,3979,3,415,465,12,0,12,0,0,0,502,458,0,0,0,0,1266,3,264,0,17,0,17,3,3,0,274,68,17,0,0,0,433,142,245,0,17,0,17,3,3,0,250,65,17,0,0,0,390,142,
0.0002,0.5,27877,2896,4264,774,2035,1956,427,17029,486,0,486,454,93,361,1377,270,5,0,0,0,12190,33,326,2168,33,0,33,354,44,310,721,209,5,0,0,0,5215,4,919,2356,851,0,851,0,0,0,1843,315,1,0,0,0,4927,2,254,483,19,0,19,0,0,0,290,225,1,0,0,0,1159,2,1853,0,111,0,111,63,63,0,1917,63,116,0,0,0,3404,656,1786,0,107,0,107,61,61,0,1844,53,112,0,0,0,3254,656,
0.0004,0.5,26355,2799,4899,763,1573,1340,1498,13800,1214,0,1214,549,56,493,2851,236,490,0,0,0,16707,86,229,1865,225,0,225,460,18,442,741,182,192,0,0,0,5359,8,76,1094,3628,0,3628,0,0,0,2327,230,1422,0,0,0,9109,5,17,397,334,0,334,0,0,0,92,79,274,0,0,0,1467,5,1361,0,75,0,75,129,118,11,1465,83,106,0,0,0,2156,979,1185,0,74,0,74,80,79,1,1235,64,105,0,0,0,1703,976,
0.0006,0.5,28147,2484,5594,738,3034,2736,1833,13928,2841,0,2841,652,52,600,3393,222,2026,0,0,0,26223,114,282,1336,294,0,294,553,46,507,874,159,273,0,0,0,4715,6,70,965,4481,0,4481,0,0,0,2954,220,1622,0,0,0,10867,5,12,344,379,0,379,0,0,0,92,49,302,0,0,0,1452,4,2458,0,176,0,176,393,366,27,2802,94,230,0,0,0,4181,1866,2299,0,176,0,176,260,256,4,2506,82,230,0,0,0,3614,1847,
0.0008,0.5,27396,2505,5676,676,2177,1962,2471,11574,3638,0,3638,812,165,647,4123,158,2895,0,0,0,28776,96,271,1248,264,0,264,705,156,549,1003,129,254,0,0,0,4781,2,84,872,4620,0,4620,1,1,0,2312,173,2425,0,0,0,11098,1,11,292,363,0,363,1,1,0,72,56,312,0,0,0,1338,1,1589,0,201,0,201,377,341,36,1935,72,238,0,0,0,3934,403,1483,0,196,0,196,283,279,4,1730,60,232,0,0,0,3519,403,
0.001,0.5,26566,2478,5463,596,2058,1598,2822,10899,3387,0,3387,724,159,565,4450,152,2584,0,0,0,28794,41,276,1258,272,0,272,655,150,505,958,128,262,0,0,0,4789,1,48,977,4325,0,4325,1,0,1,2037,197,2368,0,0,0,10690,1,15,258,313,0,313,1,0,1,67,61,271,0,0,0,1180,1,898,0,115,0,115,1033,1003,30,1841,66,205,0,6,0,3756,339,639,0,100,0,100,859,855,4,1459,51,133,0,6,0,2859,335,
0.002,0.5,26149,3132,5521,503,2750,1541,3115,11484,2674,0,2674,936,308,628,5323,72,1487,0,0,0,32324,48,977,1172,262,0,262,711,177,534,1702,59,258,0,0,0,6044,0,159,1004,4210,0,4210,31,30,1,1762,59,2654,0,0,0,10790,3,55,204,214,0,214,30,29,1,124,20,175,0,0,0,1001,2,762,0,208,0,208,1768,1722,46,1791,216,880,0,71,0,4753,726,506,0,165,0,165,870,867,3,1103,206,367,0,71,0,2361,721,
0.004,0.5,25857,4182,6446,1584,2884,1366,4538,9264,2454,0,2454,1606,890,716,8585,37,85,0,0,0,32075,9,3138,209,77,0,77,755,313,442,3901,19,72,0,0,0,8290,0,2186,1393,2660,0,2660,119,112,7,3196,22,1786,0,0,0,12685,12,1057,209,216,0,216,101,96,5,1172,16,203,0,0,0,3153,10,794,0,145,0,145,1940,1872,68,1729,190,1065,0,87,0,5251,509,561,0,114,0,114,691,687,4,892,180,387,0,87,0,2230,502,
0.006,0.5,27340,4841,6545,2015,3074,1420,6217,9876,542,0,542,2071,1311,760,8884,26,0,0,0,0,37099,0,4010,130,0,0,0,697,345,352,4710,15,0,0,0,0,9663,0,2851,1382,1948,0,1948,313,295,18,3772,12,1358,0,0,0,12926,4,1605,156,55,0,55,199,193,6,1809,7,50,0,0,0,4023,4,862,0,182,0,182,2028,1972,56,1899,141,1142,0,32,0,5640,503,633,0,156,0,156,631,629,2,937,133,451,0,32,0,2373,466,
0.008,0.5,25809,2272,6257,943,3198,1403,6394,5901,1193,0,1193,2450,1790,660,10087,40,3,0,0,0,33093,0,1903,80,0,0,0,287,79,208,2191,7,0,0,0,0,4532,0,2054,1125,2407,0,2407,589,556,33,3137,5,1931,0,0,0,12238,0,610,134,38,0,38,161,153,8,778,0,31,0,0,0,1882,0,843,0,202,0,202,2148,2097,51,2145,80,1025,0,24,0,5884,502,670,0,180,0,180,553,550,3,1046,70,333,0,24,0,2441,364,
