Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,25459,3933,3785,819,9,2,153,14988,287,0,287,299,63,236,783,234,3,0,0,0,9387,37,128,3445,47,0,47,264,48,216,483,190,3,0,0,0,6598,13,862,2345,375,0,375,0,0,0,1371,443,1,0,0,0,3760,29,350,387,12,0,12,0,0,0,431,371,1,0,0,0,1047,29,2,0,0,0,0,0,0,0,5,1,2,0,0,0,7,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,fiducial_qcbse
0.0002,0.5,27685,2705,4097,608,9,2,275,16997,480,0,480,452,91,361,1217,175,5,0,0,0,11927,33,174,2136,28,0,28,352,42,310,562,114,5,0,0,0,4954,4,843,2266,851,0,851,0,0,0,1766,230,1,0,0,0,4674,22,178,394,19,0,19,0,0,0,213,140,1,0,0,0,908,22,2,0,1,0,1,0,0,0,4,1,3,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,fiducial_qcbse
0.0004,0.5,25821,2388,4582,509,145,21,1321,13734,928,0,928,544,51,493,2567,146,306,0,0,0,15795,87,63,1810,40,0,40,455,13,442,569,92,8,0,0,0,4652,9,91,1017,3374,0,3374,0,0,0,2275,178,1234,0,0,0,8462,28,32,321,142,0,142,0,0,0,102,27,86,0,0,0,945,28,115,0,0,0,0,23,12,11,128,14,15,0,0,0,265,15,15,0,0,0,0,5,3,2,6,2,15,0,0,0,26,15,fiducial_qcbse
0.0006,0.5,27344,2014,5194,471,205,71,1636,13779,2413,0,2413,623,23,600,2969,197,1796,0,0,0,24851,114,118,1275,78,0,78,524,17,507,681,134,57,0,0,0,3898,6,85,899,4132,0,4132,0,0,0,2833,196,1408,0,1,0,10055,23,27,279,162,0,162,0,0,0,103,25,88,0,1,0,900,22,85,0,0,0,0,114,87,27,143,19,60,0,0,0,331,68,17,0,0,0,0,54,46,8,11,11,60,0,0,0,73,68,fiducial_qcbse
0.0008,0.5,26681,2095,5275,437,116,25,2279,11434,3314,0,3314,753,106,647,3731,143,2711,0,1,0,27531,96,130,1218,84,0,84,646,97,549,803,114,73,0,1,0,4046,3,97,805,4273,0,4273,1,1,0,2160,143,2242,0,1,0,10287,17,24,226,177,0,177,1,1,0,80,27,130,0,1,0,844,17,47,0,0,0,0,60,24,36,95,12,17,0,0,0,201,17,12,0,0,0,0,13,8,5,8,2,17,0,0,0,33,17,fiducial_qcbse
0.001,0.5,25926,2063,5077,383,124,64,2654,10794,3062,0,3062,682,117,565,4103,137,2396,0,0,0,27665,42,119,1226,88,0,88,613,108,505,759,113,78,0,0,0,4012,3,50,939,3975,0,3975,1,0,1,1857,163,2198,0,2,0,9913,10,17,220,136,0,136,1,0,1,60,27,101,0,2,0,745,10,70,0,0,0,0,42,11,31,59,10,59,0,0,0,170,59,48,0,0,0,0,15,6,9,5,4,59,0,0,0,67,59,fiducial_qcbse
0.002,0.5,25541,2662,5139,350,140,46,2810,11421,2446,0,2446,924,296,628,4904,72,1361,0,0,0,31173,50,679,1140,134,0,134,699,165,534,1390,59,132,0,0,0,5129,2,142,965,3884,0,3884,31,30,1,1518,52,2549,0,6,0,10019,14,38,170,112,0,112,30,29,1,104,13,70,0,6,0,685,13,37,0,0,0,0,91,44,47,76,12,56,0,0,0,220,39,21,0,0,0,0,23,9,14,7,6,39,0,0,0,51,39,fiducial_qcbse
0.004,0.5,25237,3681,5543,954,280,47,4036,9185,2434,0,2434,1587,871,716,8044,37,85,0,0,0,30839,9,2674,175,77,0,77,752,310,442,3434,19,72,0,0,0,7288,0,1732,1314,2299,0,2299,110,103,7,2477,20,1676,0,5,0,10870,22,603,154,101,0,101,95,90,5,702,14,93,0,5,0,1884,20,19,0,0,0,0,256,186,70,62,11,205,0,10,0,511,41,12,0,0,0,0,34,12,22,4,7,33,0,10,0,52,41,fiducial_qcbse
0.006,0.5,24875,3057,5546,1376,238,45,4010,9642,541,0,541,2048,1288,760,6653,26,0,0,0,0,32169,0,2302,54,0,0,0,697,345,352,3002,15,0,0,0,0,6095,0,2245,1228,1731,0,1731,290,272,18,2697,13,1578,0,10,0,10677,265,1011,109,58,0,58,197,191,6,959,8,298,0,10,0,2482,265,29,0,2,0,2,205,145,60,77,17,157,0,3,0,434,37,21,0,2,0,2,22,5,17,7,14,35,0,3,0,52,37,fiducial_qcbse
0.008,0.5,23223,1492,5589,765,283,30,4037,5801,1193,0,1193,2321,1661,660,7601,40,3,0,0,0,27921,0,1185,21,0,0,0,284,76,208,1470,7,0,0,0,0,2972,0,1866,1008,2191,0,2191,442,409,33,2672,5,1845,0,0,0,10921,0,521,93,34,0,34,117,109,8,643,0,29,0,0,0,1526,0,25,0,0,0,0,253,201,52,93,13,182,0,4,0,531,25,12,0,0,0,0,18,8,10,3,10,23,0,4,0,34,25,fiducial_qcbse
0.01,0.5,22400,193,5284,407,342,39,3403,6048,451,0,451,1989,1463,526,5882,22,25,0,0,0,31895,0,17,67,0,0,0,109,12,97,126,1,0,0,0,0,384,0,2009,744,1998,0,1998,337,295,42,2672,10,1694,0,0,0,10070,0,287,63,29,0,29,27,19,8,320,3,24,0,0,0,808,0,6,1,1,0,1,299,226,73,95,11,205,0,7,0,580,32,4,0,1,0,1,33,13,20,5,11,27,0,7,0,44,32,fiducial_qcbse
0.014,0.5,20088,35,5452,173,340,36,2730,3694,45,0,45,1398,1176,222,4403,8,133,0,0,0,31626,0,0,1,0,0,0,34,0,34,34,0,0,0,0,0,69,0,898,176,3808,0,3808,284,258,26,1552,7,3485,0,0,0,10319,0,34,4,118,0,118,16,12,4,66,0,103,0,0,0,344,0,12,3,0,0,0,278,213,65,62,17,222,0,6,0,548,31,8,0,0,0,0,28,11,17,2,14,28,0,6,0,40,31,fiducial_qcbse
0.017,0.5,20223,27,5108,149,276,31,2291,3715,17,0,17,1269,1118,151,4095,12,59,0,0,0,34153,34,0,0,0,0,0,25,0,25,25,0,0,0,0,0,52,0,1762,200,2706,0,2706,156,135,21,2169,8,2665,0,0,0,9830,58,65,5,66,0,66,6,5,1,79,0,65,0,0,0,289,1,0,0,3,0,3,268,214,54,48,13,214,0,10,0,516,26,0,0,3,0,3,27,12,15,1,13,20,0,10,0,34,26,fiducial_qcbse
0.02,0.5,15596,10,4628,124,285,37,1149,3080,0,0,0,613,530,83,2406,20,5,0,0,0,27083,47,0,0,0,0,0,9,1,8,9,0,0,0,0,0,19,0,1695,207,1883,0,1883,68,64,4,2475,16,1883,0,0,0,8869,181,54,2,39,0,39,1,1,0,83,1,39,0,0,0,241,1,0,0,2,0,2,276,236,40,36,18,225,0,18,0,525,31,0,0,2,0,2,34,22,12,2,18,17,0,18,0,41,31,fiducial_qcbse
0.03,0.5,7759,2,4007,99,246,58,199,2219,0,0,0,20,0,20,318,8,0,0,0,0,14280,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2220,39,124,0,124,29,26,3,3814,26,123,0,0,0,7917,15,59,0,0,0,0,2,2,0,99,1,0,0,0,0,196,0,0,0,11,0,11,233,211,22,26,42,174,0,44,0,434,54,0,0,10,0,10,48,41,7,3,41,11,0,44,0,62,54,fiducial_qcbse
0.0001,1.0,25981,4306,3968,871,171,124,290,14988,420,0,420,549,109,440,1279,515,29,1,0,0,10205,68,261,3445,76,0,76,473,66,407,830,391,29,1,0,0,7214,41,895,2345,547,0,547,0,0,0,1512,555,43,0,0,0,4037,114,420,387,18,0,18,0,0,0,441,375,43,0,0,0,1050,114,98,0,67,0,67,0,0,0,22,39,104,0,43,0,210,123,80,0,44,0,44,0,0,0,0,30,81,0,43,0,124,123,fiducial_qcbse
0.0002,1.0,28213,2945,4700,743,1507,1441,407,16997,641,0,641,687,111,576,1712,388,38,0,0,0,12668,64,276,2136,45,0,45,477,40,437,771,242,36,0,0,0,5325,33,907,2266,1405,0,1405,0,0,0,2315,403,55,0,0,0,5741,140,300,394,37,0,37,0,0,0,294,200,55,0,0,0,1009,140,1174,0,322,0,322,4,2,2,37,56,1174,0,294,0,1564,1440,1144,0,295,0,295,1,1,0,0,41,1147,0,294,0,1440,1440,fiducial_qcbse
0.0004,1.0,26797,3152,4988,879,608,343,1525,13734,1325,0,1325,919,176,743,3212,383,599,0,38,0,17378,163,246,1810,320,0,320,760,129,631,1032,234,271,0,38,0,5943,79,181,1017,3701,0,3701,0,0,0,2258,393,1440,0,217,0,8988,298,126,321,418,0,418,0,0,0,197,141,144,0,217,0,1413,297,487,0,52,0,52,63,29,34,254,42,322,0,30,0,877,330,293,0,30,0,30,20,14,6,13,22,300,0,30,0,355,330,fiducial_qcbse
0.0006,1.0,28894,3328,5505,759,881,572,2163,13779,2746,0,2746,1312,346,966,4123,321,2184,0,8,0,27571,188,637,1275,311,0,311,1090,332,758,1697,197,347,0,8,0,6223,77,221,899,4317,0,4317,1,1,0,2582,265,1879,0,92,0,10541,161,166,279,311,0,311,1,1,0,217,31,171,0,92,0,1343,159,553,0,22,0,22,300,268,32,321,57,541,0,17,0,1155,592,384,0,18,0,18,170,164,6,18,38,537,0,17,0,564,575,fiducial_qcbse
0.0008,1.0,28377,3597,5649,865,463,320,2913,11434,3615,0,3615,1514,353,1161,5043,241,3088,0,8,0,30701,128,759,1218,326,0,326,1285,340,945,2053,174,318,0,8,0,6853,33,347,805,4405,0,4405,3,3,0,2181,271,2458,0,138,0,10842,221,275,226,358,0,358,3,3,0,311,57,190,0,138,0,1503,221,317,0,32,0,32,105,64,41,145,47,283,0,31,0,599,313,250,0,31,0,31,38,32,6,7,32,282,0,31,0,326,313,fiducial_qcbse
