Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,21830,1229,2842,495,7,0,170,11412,255,0,255,261,56,205,729,229,4,0,0,0,3358,21,153,752,46,0,46,229,43,186,471,183,4,0,0,0,1529,7,739,1522,378,0,378,0,0,0,1252,391,0,0,0,0,2503,8,276,136,13,0,13,0,0,0,359,318,0,0,0,0,474,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_fmtbse
0.0002,0.5,24701,1379,3007,282,7,0,267,14117,428,0,428,408,81,327,1114,162,4,0,0,0,7496,24,197,810,31,0,31,326,45,281,563,104,4,0,0,0,2284,3,737,1282,851,0,851,0,0,0,1660,206,1,0,0,0,3165,1,140,106,19,0,19,0,0,0,175,119,1,0,0,0,284,1,0,0,1,0,1,0,0,0,4,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiducial_fmtbse
0.0004,0.5,22414,1176,3475,224,33,8,1171,10500,1007,0,1007,442,50,392,2371,155,329,0,0,0,10197,73,118,635,49,0,49,354,13,341,523,101,17,0,0,0,2010,8,47,214,3114,0,3114,0,0,0,2052,183,1153,0,0,0,6447,8,12,62,136,0,136,0,0,0,73,32,89,0,0,0,399,8,14,0,0,0,0,12,1,11,29,7,2,0,0,0,55,2,4,0,0,0,0,3,1,2,6,3,2,0,0,0,13,2,fiducial_fmtbse
0.0006,0.5,23903,1733,4113,287,136,49,1303,10559,2572,0,2572,576,37,539,2742,175,1802,0,0,0,18938,117,131,1011,92,0,92,480,31,449,649,112,72,0,0,0,3246,7,33,142,3860,0,3860,0,0,0,2587,198,1330,0,1,0,7979,27,21,114,149,0,149,0,0,0,84,27,88,0,1,0,539,26,56,0,0,0,0,74,47,27,102,23,32,0,0,0,230,32,14,0,0,0,0,35,27,8,17,17,32,0,0,0,66,32,fiducial_fmtbse
0.0008,0.5,23011,1813,4302,295,75,16,1351,8621,3412,0,3412,726,150,576,2902,126,2684,0,0,0,21013,89,174,909,94,0,94,619,141,478,819,97,85,0,0,0,3448,2,10,127,4053,0,4053,13,13,0,2039,145,2068,0,1,0,8384,6,6,100,167,0,167,13,13,0,70,28,124,0,1,0,571,6,21,0,0,0,0,45,9,36,65,14,6,0,0,0,131,6,7,0,0,0,0,9,4,5,10,9,6,0,0,0,26,6,fiducial_fmtbse
0.001,0.5,22146,1912,4325,525,63,17,1410,8212,3121,0,3121,669,185,484,2954,121,2347,0,0,0,20841,37,306,919,91,0,91,579,154,425,912,97,81,0,0,0,3678,1,25,157,3802,0,3802,229,228,1,2093,176,1992,0,2,0,8414,12,21,127,139,0,139,229,228,1,302,40,94,0,2,0,1026,12,14,0,3,0,3,34,3,31,44,10,10,0,3,0,95,13,3,0,3,0,3,10,1,9,4,2,10,0,3,0,20,13,fiducial_fmtbse
0.002,0.5,22176,3939,4340,444,85,20,2754,7628,2472,0,2472,1382,820,562,5359,63,1333,0,1,0,24847,44,1877,965,139,0,139,948,479,469,2838,50,135,0,1,0,7713,1,165,164,3780,0,3780,114,113,1,1791,122,2279,0,5,0,8425,11,165,69,111,0,111,99,98,1,302,83,68,0,5,0,873,10,4,0,2,0,2,67,20,47,43,3,32,0,2,0,133,17,2,0,2,0,2,14,0,14,3,1,15,0,2,0,21,17,fiducial_fmtbse
0.004,0.5,25549,6124,3452,800,272,52,7199,6148,2387,0,2387,1820,1166,654,11395,36,83,0,0,0,31695,8,5081,179,72,0,72,789,402,387,5875,19,70,0,0,0,12082,0,567,211,2442,0,2442,144,138,6,1600,33,1568,0,2,0,6698,31,559,35,103,0,103,102,97,5,675,27,88,0,2,0,1566,29,3,0,14,0,14,250,180,70,56,3,189,0,24,0,490,46,2,0,14,0,14,35,13,22,4,1,24,0,24,0,57,46,fiducial_fmtbse
0.006,0.5,27164,5186,4265,1343,245,42,8857,7271,520,0,520,1882,1182,700,11313,26,0,0,0,0,36952,0,4566,213,0,0,0,403,99,304,4972,14,0,0,0,0,10338,0,633,301,1866,0,1866,1413,1397,16,2529,22,1390,0,12,0,8288,118,574,22,52,0,52,694,688,6,1173,20,136,0,12,0,2561,118,8,0,13,0,13,222,164,58,77,4,153,0,14,0,456,30,3,0,13,0,13,26,9,17,9,4,19,0,14,0,53,30,fiducial_fmtbse
0.008,0.5,26311,1903,4714,778,486,169,7863,5587,1177,0,1177,1813,1190,623,10906,38,0,0,0,0,34162,0,1528,121,0,0,0,252,37,215,1781,5,0,0,0,0,3800,0,612,215,2310,0,2310,1495,1463,32,2585,15,1850,0,0,0,9221,0,328,24,34,0,34,392,386,6,728,12,26,0,0,0,1555,0,12,0,9,0,9,460,410,50,175,71,296,0,11,0,816,145,4,0,8,0,8,157,148,9,21,70,137,0,11,0,192,145,fiducial_fmtbse
