Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0001,0.5,26907,3831,4425,1168,7,2,206,16544,324,0,324,300,63,237,899,294,4,0,0,0,9280,37,151,3295,48,0,48,264,48,216,528,233,4,0,0,0,6361,13,1905,1755,356,0,356,0,0,0,2605,905,8,0,0,0,4494,39,740,253,10,0,10,0,0,0,907,808,8,0,0,0,1271,39,2,0,0,0,0,0,0,0,3,0,2,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,fiducial_delayed
0.0002,0.5,29223,2558,4384,570,11,6,455,18541,532,0,532,453,91,362,1459,188,5,0,0,0,11957,33,175,1983,34,0,34,352,42,310,570,117,5,0,0,0,4687,4,1672,1650,825,0,825,0,0,0,2682,319,1,0,0,0,4976,20,278,228,19,0,19,0,0,0,341,227,1,0,0,0,736,18,6,0,0,0,0,0,0,0,3,3,6,0,0,0,9,6,6,0,0,0,0,0,0,0,0,3,6,0,0,0,6,6,fiducial_delayed
0.0004,0.5,26647,2370,3245,373,140,16,1183,14614,1223,0,1223,544,51,493,2641,177,434,0,0,0,16169,86,113,1722,50,0,50,455,13,442,626,107,21,0,0,0,4602,8,23,499,2563,0,2563,0,0,0,2014,208,688,0,0,0,5955,55,15,168,144,0,144,0,0,0,111,63,94,0,0,0,645,42,112,0,0,0,0,23,12,11,128,16,10,0,0,0,262,10,11,0,0,0,0,5,3,2,6,1,10,0,0,0,22,10,fiducial_delayed
0.0006,0.5,27984,2057,4122,508,195,68,1436,14225,2988,0,2988,624,23,601,3109,222,2085,0,0,0,25821,114,142,1256,111,0,111,524,17,507,714,147,86,0,0,0,3968,6,16,389,3606,0,3606,0,0,0,2562,211,1044,0,84,0,7825,188,12,141,344,0,344,0,0,0,85,38,198,0,84,0,816,185,78,0,0,0,0,113,86,27,135,19,58,0,0,0,315,66,14,0,0,0,0,54,46,8,10,10,58,0,0,0,69,66,fiducial_delayed
0.0008,0.5,26973,2144,4231,644,106,25,2061,11610,3854,0,3854,754,105,649,3809,204,3007,0,2,0,28293,98,198,1165,110,0,110,646,96,550,880,165,96,0,2,0,4086,4,37,379,3697,0,3697,0,0,0,1921,148,1670,0,207,0,7900,356,36,122,469,0,469,0,0,0,96,40,219,0,207,0,914,356,42,0,0,0,0,57,24,33,86,11,16,0,0,0,184,16,11,0,0,0,0,13,9,4,9,4,16,0,0,0,33,16,fiducial_delayed
0.001,0.5,26016,2175,3990,545,146,88,2434,10873,3507,0,3507,684,117,567,4172,256,2609,0,0,0,28064,41,257,1166,113,0,113,614,108,506,907,220,102,0,0,0,4121,1,50,431,3383,0,3383,0,0,0,1704,170,1620,0,173,0,7479,286,49,112,364,0,364,0,0,0,111,47,149,0,173,0,783,286,93,0,2,0,2,41,10,31,56,12,82,0,2,0,192,84,72,0,2,0,2,13,4,9,4,6,82,0,2,0,91,84,fiducial_delayed
0.002,0.5,25608,2791,4384,798,375,116,2742,11456,2784,0,2784,928,298,630,5050,172,1549,0,0,0,31695,48,789,1119,169,0,169,701,167,534,1506,141,165,0,0,0,5361,0,184,445,3554,0,3554,68,67,1,1350,68,2157,0,349,0,7986,542,148,79,527,0,527,36,36,0,124,35,246,0,349,0,1044,542,50,0,3,0,3,311,266,45,244,12,121,0,3,0,620,111,36,0,3,0,3,76,62,14,9,8,104,0,3,0,119,111,fiducial_delayed
0.004,0.5,25303,4134,4546,1040,863,348,4676,8894,2457,0,2457,1610,894,716,8710,67,131,0,0,0,31404,9,3104,170,111,0,111,745,318,427,3860,31,104,0,0,0,8175,0,1600,485,2293,0,2293,73,70,3,2210,50,1676,0,122,0,8473,426,728,62,214,0,214,31,29,2,526,32,330,0,122,0,1644,424,91,0,10,0,10,757,688,69,365,56,473,0,22,0,1383,335,82,0,10,0,10,255,233,22,15,51,311,0,22,0,362,333,fiducial_delayed
0.006,0.5,26220,4239,4588,1239,894,284,6071,9273,529,0,529,2151,1392,759,8816,67,0,0,0,0,35689,0,3711,113,2,0,2,411,96,315,4125,41,0,0,0,0,8457,0,2028,448,1828,0,1828,222,209,13,2268,33,1745,0,101,0,8289,708,991,71,146,0,146,29,27,2,484,15,583,0,101,0,1761,708,85,0,7,0,7,800,744,56,522,49,363,0,8,0,1527,257,65,0,7,0,7,212,195,17,32,46,244,0,8,0,316,251,fiducial_delayed
0.008,0.5,24716,1784,5033,962,1032,215,6012,5613,1175,0,1175,2509,1855,654,9774,72,3,0,0,0,32041,0,1592,34,1,0,1,157,19,138,1750,17,0,0,0,0,3567,0,1861,440,2209,0,2209,424,409,15,2620,36,1873,0,46,0,9583,205,772,79,89,0,89,20,19,1,683,11,154,0,46,0,1714,201,61,0,7,0,7,960,911,49,702,28,318,0,9,0,1842,214,41,0,5,0,5,169,159,10,43,26,163,0,9,0,258,171,fiducial_delayed
