RAPID
total: 57.12164344810533
SMT+CEE: 23.583661995009855 41.28673576493903
SMT+SMT: 5.555799799452062 9.726260422635551
CEE+SMT: 0.5018009824941443 0.8784778451796952
CEE+CEE: 23.99161342512749 42.00091589963396
SMT+NON: 1.3993921698825418 2.4498457772033135
CEE+NON: 1.2528091824840328 2.1932302834077286
NON+SMT: 0.19589923330049358 0.34295097527869073
NON+CEE: 0.4802221965627927 0.8407009455165128
NON+NON: 0.16044446379191726 0.2808820862055205

DELAYED
total: 48.029242399019935
SMT+CEE: 16.979563368725124 0.3535255298774315
SMT+SMT: 5.224154614982482 0.10877028980763362
CEE+SMT: 0.6191667925811701 0.01289145449010465
CEE+CEE: 21.94315675455797 0.456870765777595
SMT+NON: 1.4254763751202815 0.02967934333166515
CEE+NON: 1.0585371111720552 0.022039429695306943
NON+SMT: 0.15569872552969272 0.0032417485213730923
NON+CEE: 0.40593803754702557 0.00845189341473579
NON+NON: 0.21755061880413135 0.004529545084154203
