model,All intrinsic (z=0) [Gpc^-3 yr^-1],channel II intrinsic (z=0) OSMT,channel V intrinsic (z=0) other without CE,channel I intrinsic (z=0) classic,channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE	channel,V intrinsic (z=0) other with CE,fraction with common envelope,fraction without common envelope
alpha0_1beta0_25,0.1706599066317865,0.005562227265421684,0.0,0.9077169157434144,0.0,0.0,0.08672085699116408,0.9944377727345785,0.005562227265421684
alpha0_1beta0_5,0.629360663214753,0.002937247911965111,0.0,0.9382526070528315,0.0,0.0,0.05881014503520319,0.9970627520880349,0.002937247911965111
alpha0_1beta0_75,1.0262777172075825,0.0024784229902796557,0.0,0.9373835540652746,0.0,0.0017990252179250791,0.05833899772652061,0.9975215770097203,0.0024784229902796557
alpha0_5beta0_25,0.2357303824359328,0.003081719804206958,0.0,0.95707137149287,0.0,0.0,0.03984690870292296,0.996918280195793,0.003081719804206958
alpha0_5beta0_5,0.4440175107318589,0.007677753985711536,0.0,0.9529450946889417,0.0,0.0,0.039377151325346686,0.9923222460142885,0.007677753985711536
alpha0_5beta0_75,0.5140642287608177,0.005526612741477924,0.0,0.8986661762316175,0.0,0.04853291089051444,0.04727430013639026,0.9944733872585224,0.005526612741477924
alpha10_beta0_25,0.7242432937339056,0.36990730756857265,0.0,0.5707380445050034,0.04485740541470722,0.0,0.014497242511716801,0.6300926924314273,0.36990730756857265
alpha10_beta0_5,1.564165793947669,0.15627444503551297,0.0,0.6726455883795112,0.05352084168350795,0.0944971334045754,0.023061991496892555,0.843725554964487,0.15627444503551297
alpha10_beta0_75,2.1680683213198995,0.09752471498297359,0.0,0.6226648176206083,0.035911504542741175,0.18354651124611138,0.06035245160756563,0.9024752850170266,0.09752471498297359
alpha2_beta0_5,0.5210902136664165,0.12404191134823855,0.0,0.7492388780959816,0.005701473990384316,0.06995474342691735,0.05106299313847815,0.8759580886517614,0.12404191134823855
alpha2beta0_25,0.5928269606380878,0.20128166099978045,0.0,0.7096269939271173,0.0021311542278054365,0.0033363334901410626,0.08362385735515573,0.7987183390002193,0.20128166099978045
sigma_265_RMP_Mandel,0.2204905774396938,0.0018967885454852145,0.0,0.8815899619971688,0.0,0.06191361669195585,0.054599632765390246,0.9981032114545149,0.0018967885454852145
sigma_265_RMP_Rapid,0.23218466208099842,0.003665196992298803,0.0,0.7914526907214615,0.0,0.1672469405045113,0.03763517178172842,0.9963348030077013,0.003665196992298803
sigma_30_RMP_Delayed,2.146716131328448,0.0009446601002089483,0.0,0.8937149605545456,0.00028064113615964556,0.04760194855583602,0.05745778965324987,0.9990553398997911,0.0009446601002089483
sigma_30_RMP_Mandel,1.2538893150451642,0.001960165230019881,0.0,0.9342571959905517,0.0,0.01767853954827111,0.04610409923115721,0.99803983476998,0.001960165230019881
sigma_30_RMP_Rapid,1.5599596501837594,0.0018663065194504229,0.0,0.8820864974797402,0.0,0.05333477770376821,0.06271241829704102,0.9981336934805496,0.0018663065194504229
sigma_750_RMP_Delayed,0.22871227898066593,0.005623193168518293,0.0,0.8275895271635796,0.0,0.09586718045308709,0.07092009921481504,0.9943768068314819,0.005623193168518293
sigma_750_RMP_Mandel,0.19609731168849745,0.006740968952843557,0.0,0.8882645518354063,0.0,0.06599862364977187,0.03899585556197829,0.9932590310471564,0.006740968952843557
sigma_750_RMP_Rapid,0.2014209556837165,0.008269746922141961,0.0,0.8594518163971179,0.0,0.09211976490777002,0.0401586717729699,0.991730253077858,0.008269746922141961
