Paper,Model,Year,Code,Stellar_tracks,Study_label,Paper_link,sigma_CCSN_km_s,sigma_strippedSN_km_s,alpha_CE,beta_MT,CE_optimistic_pessimistic,CE_prescription,lambda_CE,PISN_prescription,MT_stability,RMP,gamma_AM_loss,AM_loss_mechanism,Eddington_limited,f_WR,alpha_CE_notes,HG_donor_CE_survival,wind_prescription,tidal_prescription,NS_remnant_mass,IMF,initial_period_dist,mass_ratio_dist,f_bin,metallicity_range,SFR_model,max_NS_mass_Msun,sigma_ECSN_km_s,BHBH_rate_Gpc3yr,BHBH_frac_CHE,BHBH_frac_SMT,BHBH_frac_other_noCE,BHBH_frac_classicCE,BHBH_frac_SCCE,BHBH_frac_DCCE,BHBH_frac_other_CE,BHBH_total_frac_noCE,BHBH_total_frac_CE,BHNS_rate_Gpc3yr,BHNS_frac_CHE,BHNS_frac_SMT,BHNS_frac_other_noCE,BHNS_frac_classicCE,BHNS_frac_SCCE,BHNS_frac_DCCE,BHNS_frac_other_CE,BHNS_total_frac_noCE,BHNS_total_frac_CE,NSNS_rate_Gpc3yr,NSNS_frac_CHE,NSNS_frac_SMT,NSNS_frac_other_noCE,NSNS_frac_classicCE,NSNS_frac_SCCE,NSNS_frac_DCCE,NSNS_frac_other_CE,NSNS_total_frac_noCE,NSNS_total_frac_CE
Bavera et al. (2021),B21-alpha0-2,2021,POSYDON,hybrid,BA21,https://arxiv.org/pdf/2010.16333,265,30,0.2,non-conservative (Eddington-limited onto BH); 10x thermal rate for stellar accretor,pessimistic,standard,"Nanjing (Dominik et al. 2012; Xu & Li 2010a,b)",fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",F12 delayed,specific AM of accreting star (Hurley 2002 AM of accretor prescription),Hurley (2002) AM of accretor,True,1,αCE varies per model; pessimistic CE (HG donors fail); POSYDON hybrid,No (pessimistic; HG donors do not survive CE),"Vink et al. (2000a,b) hot star winds; Nieuwenhuijzen &amp; de Jager (1990) cool stars; Belczynski et al. (2010) WR winds; all metallicity-scaled; POSYDON hybrid uses MESA for MS/HeMS phases",Hurley et al. (2002) BSE tidal prescription for non-MESA phases; tides included in MESA grids for MS/HeMS,Fryer et al. (2012) delayed; gravitational mass from CO core mass,Kroupa (2001) broken power-law; M1: 10–150 M☉,Sana et al. (2012) period distribution (POSYDON hybrid),Uniform in q = M2/M1 (Sana et al. 2012),0.7 (Sana et al. 2012),"Z = 10⁻⁴ to 2×10⁻² (multiple metallicity bins); re-weighted to IllustrisTNG S(Z,z)",IllustrisTNG100 cosmological simulation; Bavera et al. (2020/2021),2.5 (POSYDON default),30 (low-kick channel; same as σ_strippedSN),137.600000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.178779069800,0.821220930200,,,,,,,,,,,,,,,,,,,,
Bavera et al. (2021),B21-alpha0-35,2021,POSYDON,hybrid,BA21,https://arxiv.org/pdf/2010.16333,265,30,0.35,non-conservative (Eddington-limited onto BH); 10x thermal rate for stellar accretor,pessimistic,standard,"Nanjing (Dominik et al. 2012; Xu & Li 2010a,b)",fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",F12 delayed,specific AM of accreting star (Hurley 2002 AM of accretor prescription),Hurley (2002) AM of accretor,True,1,αCE varies per model; pessimistic CE (HG donors fail); POSYDON hybrid,No (pessimistic; HG donors do not survive CE),"Vink et al. (2000a,b) hot star winds; Nieuwenhuijzen &amp; de Jager (1990) cool stars; Belczynski et al. (2010) WR winds; all metallicity-scaled; POSYDON hybrid uses MESA for MS/HeMS phases",Hurley et al. (2002) BSE tidal prescription for non-MESA phases; tides included in MESA grids for MS/HeMS,Fryer et al. (2012) delayed; gravitational mass from CO core mass,Kroupa (2001) broken power-law; M1: 10–150 M☉,Sana et al. (2012) period distribution (POSYDON hybrid),Uniform in q = M2/M1 (Sana et al. 2012),0.7 (Sana et al. 2012),"Z = 10⁻⁴ to 2×10⁻² (multiple metallicity bins); re-weighted to IllustrisTNG S(Z,z)",IllustrisTNG100 cosmological simulation; Bavera et al. (2020/2021),2.5 (POSYDON default),30 (low-kick channel; same as σ_strippedSN),41.800000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.588516746400,0.411483253600,,,,,,,,,,,,,,,,,,,,
Bavera et al. (2021),B21-alpha0-5,2021,POSYDON,hybrid,BA21,https://arxiv.org/pdf/2010.16333,265,30,0.5,non-conservative (Eddington-limited onto BH); 10x thermal rate for stellar accretor,pessimistic,standard,"Nanjing (Dominik et al. 2012; Xu & Li 2010a,b)",fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",F12 delayed,specific AM of accreting star (Hurley 2002 AM of accretor prescription),Hurley (2002) AM of accretor,True,1,αCE varies per model; pessimistic CE (HG donors fail); POSYDON hybrid,No (pessimistic; HG donors do not survive CE),"Vink et al. (2000a,b) hot star winds; Nieuwenhuijzen &amp; de Jager (1990) cool stars; Belczynski et al. (2010) WR winds; all metallicity-scaled; POSYDON hybrid uses MESA for MS/HeMS phases",Hurley et al. (2002) BSE tidal prescription for non-MESA phases; tides included in MESA grids for MS/HeMS,Fryer et al. (2012) delayed; gravitational mass from CO core mass,Kroupa (2001) broken power-law; M1: 10–150 M☉,Sana et al. (2012) period distribution (POSYDON hybrid),Uniform in q = M2/M1 (Sana et al. 2012),0.7 (Sana et al. 2012),"Z = 10⁻⁴ to 2×10⁻² (multiple metallicity bins); re-weighted to IllustrisTNG S(Z,z)",IllustrisTNG100 cosmological simulation; Bavera et al. (2020/2021),2.5 (POSYDON default),30 (low-kick channel; same as σ_strippedSN),45.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.546666666700,0.453333333300,,,,,,,,,,,,,,,,,,,,
Bavera et al. (2021),B21-alpha0-75,2021,POSYDON,hybrid,BA21,https://arxiv.org/pdf/2010.16333,265,30,0.75,non-conservative (Eddington-limited onto BH); 10x thermal rate for stellar accretor,pessimistic,standard,"Nanjing (Dominik et al. 2012; Xu & Li 2010a,b)",fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",F12 delayed,specific AM of accreting star (Hurley 2002 AM of accretor prescription),Hurley (2002) AM of accretor,True,1,αCE varies per model; pessimistic CE (HG donors fail); POSYDON hybrid,No (pessimistic; HG donors do not survive CE),"Vink et al. (2000a,b) hot star winds; Nieuwenhuijzen &amp; de Jager (1990) cool stars; Belczynski et al. (2010) WR winds; all metallicity-scaled; POSYDON hybrid uses MESA for MS/HeMS phases",Hurley et al. (2002) BSE tidal prescription for non-MESA phases; tides included in MESA grids for MS/HeMS,Fryer et al. (2012) delayed; gravitational mass from CO core mass,Kroupa (2001) broken power-law; M1: 10–150 M☉,Sana et al. (2012) period distribution (POSYDON hybrid),Uniform in q = M2/M1 (Sana et al. 2012),0.7 (Sana et al. 2012),"Z = 10⁻⁴ to 2×10⁻² (multiple metallicity bins); re-weighted to IllustrisTNG S(Z,z)",IllustrisTNG100 cosmological simulation; Bavera et al. (2020/2021),2.5 (POSYDON default),30 (low-kick channel; same as σ_strippedSN),54.200000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.453874538700,0.546125461300,,,,,,,,,,,,,,,,,,,,
Bavera et al. (2021),B21-alpha1,2021,POSYDON,hybrid,BA21,https://arxiv.org/pdf/2010.16333,265,30,1,non-conservative (Eddington-limited onto BH); 10x thermal rate for stellar accretor,pessimistic,standard,"Nanjing (Dominik et al. 2012; Xu & Li 2010a,b)",fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",F12 delayed,specific AM of accreting star (Hurley 2002 AM of accretor prescription),Hurley (2002) AM of accretor,True,1,αCE varies per model; pessimistic CE (HG donors fail); POSYDON hybrid,No (pessimistic; HG donors do not survive CE),"Vink et al. (2000a,b) hot star winds; Nieuwenhuijzen &amp; de Jager (1990) cool stars; Belczynski et al. (2010) WR winds; all metallicity-scaled; POSYDON hybrid uses MESA for MS/HeMS phases",Hurley et al. (2002) BSE tidal prescription for non-MESA phases; tides included in MESA grids for MS/HeMS,Fryer et al. (2012) delayed; gravitational mass from CO core mass,Kroupa (2001) broken power-law; M1: 10–150 M☉,Sana et al. (2012) period distribution (POSYDON hybrid),Uniform in q = M2/M1 (Sana et al. 2012),0.7 (Sana et al. 2012),"Z = 10⁻⁴ to 2×10⁻² (multiple metallicity bins); re-weighted to IllustrisTNG S(Z,z)",IllustrisTNG100 cosmological simulation; Bavera et al. (2020/2021),2.5 (POSYDON default),30 (low-kick channel; same as σ_strippedSN),67.200000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.366071428600,0.633928571400,,,,,,,,,,,,,,,,,,,,
Bavera et al. (2021),B21-alpha2,2021,POSYDON,hybrid,BA21,https://arxiv.org/pdf/2010.16333,265,30,2,non-conservative (Eddington-limited onto BH); 10x thermal rate for stellar accretor,pessimistic,standard,"Nanjing (Dominik et al. 2012; Xu & Li 2010a,b)",fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",F12 delayed,specific AM of accreting star (Hurley 2002 AM of accretor prescription),Hurley (2002) AM of accretor,True,1,αCE varies per model; pessimistic CE (HG donors fail); POSYDON hybrid,No (pessimistic; HG donors do not survive CE),"Vink et al. (2000a,b) hot star winds; Nieuwenhuijzen &amp; de Jager (1990) cool stars; Belczynski et al. (2010) WR winds; all metallicity-scaled; POSYDON hybrid uses MESA for MS/HeMS phases",Hurley et al. (2002) BSE tidal prescription for non-MESA phases; tides included in MESA grids for MS/HeMS,Fryer et al. (2012) delayed; gravitational mass from CO core mass,Kroupa (2001) broken power-law; M1: 10–150 M☉,Sana et al. (2012) period distribution (POSYDON hybrid),Uniform in q = M2/M1 (Sana et al. 2012),0.7 (Sana et al. 2012),"Z = 10⁻⁴ to 2×10⁻² (multiple metallicity bins); re-weighted to IllustrisTNG S(Z,z)",IllustrisTNG100 cosmological simulation; Bavera et al. (2020/2021),2.5 (POSYDON default),30 (low-kick channel; same as σ_strippedSN),59.600000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.412751677900,0.587248322100,,,,,,,,,,,,,,,,,,,,
Bavera et al. (2021),B21-alpha5,2021,POSYDON,hybrid,BA21,https://arxiv.org/pdf/2010.16333,265,30,5,non-conservative (Eddington-limited onto BH); 10x thermal rate for stellar accretor,pessimistic,standard,"Nanjing (Dominik et al. 2012; Xu & Li 2010a,b)",fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",F12 delayed,specific AM of accreting star (Hurley 2002 AM of accretor prescription),Hurley (2002) AM of accretor,True,1,αCE varies per model; pessimistic CE (HG donors fail); POSYDON hybrid,No (pessimistic; HG donors do not survive CE),"Vink et al. (2000a,b) hot star winds; Nieuwenhuijzen &amp; de Jager (1990) cool stars; Belczynski et al. (2010) WR winds; all metallicity-scaled; POSYDON hybrid uses MESA for MS/HeMS phases",Hurley et al. (2002) BSE tidal prescription for non-MESA phases; tides included in MESA grids for MS/HeMS,Fryer et al. (2012) delayed; gravitational mass from CO core mass,Kroupa (2001) broken power-law; M1: 10–150 M☉,Sana et al. (2012) period distribution (POSYDON hybrid),Uniform in q = M2/M1 (Sana et al. 2012),0.7 (Sana et al. 2012),"Z = 10⁻⁴ to 2×10⁻² (multiple metallicity bins); re-weighted to IllustrisTNG S(Z,z)",IllustrisTNG100 cosmological simulation; Bavera et al. (2020/2021),2.5 (POSYDON default),30 (low-kick channel; same as σ_strippedSN),47.300000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.520084566600,0.479915433400,,,,,,,,,,,,,,,,,,,,
Bavera et al. (2021),B21-eddington-1E3,2021,POSYDON,hybrid,BA21,https://arxiv.org/pdf/2010.16333,265,30,1,non-conservative (Eddington-limited onto BH); 10x thermal rate for stellar accretor,pessimistic,standard,"Nanjing (Dominik et al. 2012; Xu & Li 2010a,b)",fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",F12 delayed,specific AM of accreting star (Hurley 2002 AM of accretor prescription),Hurley (2002) AM of accretor,adjusted,1,αCE varies per model; pessimistic CE (HG donors fail); POSYDON hybrid,No (pessimistic; HG donors do not survive CE),"Vink et al. (2000a,b) hot star winds; Nieuwenhuijzen &amp; de Jager (1990) cool stars; Belczynski et al. (2010) WR winds; all metallicity-scaled; POSYDON hybrid uses MESA for MS/HeMS phases",Hurley et al. (2002) BSE tidal prescription for non-MESA phases; tides included in MESA grids for MS/HeMS,Fryer et al. (2012) delayed; gravitational mass from CO core mass,Kroupa (2001) broken power-law; M1: 10–150 M☉,Sana et al. (2012) period distribution (POSYDON hybrid),Uniform in q = M2/M1 (Sana et al. 2012),0.7 (Sana et al. 2012),"Z = 10⁻⁴ to 2×10⁻² (multiple metallicity bins); re-weighted to IllustrisTNG S(Z,z)",IllustrisTNG100 cosmological simulation; Bavera et al. (2020/2021),2.5 (POSYDON default),30 (low-kick channel; same as σ_strippedSN),66.600000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.352852852900,0.647147147100,,,,,,,,,,,,,,,,,,,,
Bavera et al. (2021),B21-eddington-1E5,2021,POSYDON,hybrid,BA21,https://arxiv.org/pdf/2010.16333,265,30,1,non-conservative (Eddington-limited onto BH); 10x thermal rate for stellar accretor,pessimistic,standard,"Nanjing (Dominik et al. 2012; Xu & Li 2010a,b)",fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",F12 delayed,specific AM of accreting star (Hurley 2002 AM of accretor prescription),Hurley (2002) AM of accretor,adjusted,1,αCE varies per model; pessimistic CE (HG donors fail); POSYDON hybrid,No (pessimistic; HG donors do not survive CE),"Vink et al. (2000a,b) hot star winds; Nieuwenhuijzen &amp; de Jager (1990) cool stars; Belczynski et al. (2010) WR winds; all metallicity-scaled; POSYDON hybrid uses MESA for MS/HeMS phases",Hurley et al. (2002) BSE tidal prescription for non-MESA phases; tides included in MESA grids for MS/HeMS,Fryer et al. (2012) delayed; gravitational mass from CO core mass,Kroupa (2001) broken power-law; M1: 10–150 M☉,Sana et al. (2012) period distribution (POSYDON hybrid),Uniform in q = M2/M1 (Sana et al. 2012),0.7 (Sana et al. 2012),"Z = 10⁻⁴ to 2×10⁻² (multiple metallicity bins); re-weighted to IllustrisTNG S(Z,z)",IllustrisTNG100 cosmological simulation; Bavera et al. (2020/2021),2.5 (POSYDON default),30 (low-kick channel; same as σ_strippedSN),44.500000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.083146067420,0.916853932600,,,,,,,,,,,,,,,,,,,,
Bavera et al. (2021),B21-eddington-1E9,2021,POSYDON,hybrid,BA21,https://arxiv.org/pdf/2010.16333,265,30,1,non-conservative (Eddington-limited onto BH); 10x thermal rate for stellar accretor,pessimistic,standard,"Nanjing (Dominik et al. 2012; Xu & Li 2010a,b)",fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",F12 delayed,specific AM of accreting star (Hurley 2002 AM of accretor prescription),Hurley (2002) AM of accretor,adjusted,1,αCE varies per model; pessimistic CE (HG donors fail); POSYDON hybrid,No (pessimistic; HG donors do not survive CE),"Vink et al. (2000a,b) hot star winds; Nieuwenhuijzen &amp; de Jager (1990) cool stars; Belczynski et al. (2010) WR winds; all metallicity-scaled; POSYDON hybrid uses MESA for MS/HeMS phases",Hurley et al. (2002) BSE tidal prescription for non-MESA phases; tides included in MESA grids for MS/HeMS,Fryer et al. (2012) delayed; gravitational mass from CO core mass,Kroupa (2001) broken power-law; M1: 10–150 M☉,Sana et al. (2012) period distribution (POSYDON hybrid),Uniform in q = M2/M1 (Sana et al. 2012),0.7 (Sana et al. 2012),"Z = 10⁻⁴ to 2×10⁻² (multiple metallicity bins); re-weighted to IllustrisTNG S(Z,z)",IllustrisTNG100 cosmological simulation; Bavera et al. (2020/2021),2.5 (POSYDON default),30 (low-kick channel; same as σ_strippedSN),38.800000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.005154639175,0.994845360800,,,,,,,,,,,,,,,,,,,,
