model,All intrinsic (z=0) [Gpc^-3 yr^-1],channel II intrinsic (z=0) OSMT,channel V intrinsic (z=0) other without CE,channel I intrinsic (z=0) classic,channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE	channel,V intrinsic (z=0) other with CE,fraction with common envelope,fraction without common envelope
alpha0_1beta0_25,0.060087159041543915,0.16337958472147887,0.0,0.4237190428493013,0.09728489149298172,0.0,0.3156164809362374,0.8366204152785209,0.16337958472147887
alpha0_1beta0_5,0.07853542572045052,0.21333685634832472,0.0,0.45571247551038346,0.10398762391481373,0.0,0.22696304422647756,0.7866631436516746,0.21333685634832472
alpha0_1beta0_75,0.08317161080103988,0.25766197859029233,0.0,0.41482841428264033,0.10669126389867531,0.0,0.22081834322839253,0.7423380214097083,0.25766197859029233
alpha0_5beta0_25,0.15367696402311173,0.012261875437806517,0.0,0.4671375193638291,0.22568400685405923,5.765207821092197e-09,0.29491659257909786,0.9877381245621943,0.012261875437806517
alpha0_5beta0_5,0.16188747031189452,0.012659643160711867,0.0,0.47493403625734276,0.24704786276462115,2.1988156556738935e-07,0.26535823793575997,0.9873403568392886,0.012659643160711867
alpha0_5beta0_75,0.19388235153865058,0.015898914107421114,0.0,0.5450098154214856,0.2365305543647981,0.0019380478793483028,0.20062266822694633,0.9841010858925785,0.015898914107421114
alpha10_beta0_25,0.13279799414913665,0.02656021495791207,0.0,0.5453849981674497,0.38751719708681787,5.2874378263857244e-05,0.04048471540955677,0.9734397850420881,0.02656021495791207
alpha10_beta0_5,0.16194601786581675,0.024005592914428255,0.0,0.45897834253957565,0.4618225122494454,4.0540606040584255e-06,0.05518949823594648,0.9759944070855714,0.024005592914428255
alpha10_beta0_75,0.1818595782555356,0.030406351438024903,0.0,0.3910710607699827,0.48675723667183174,0.0660488354742774,0.025716515645883963,0.9695936485619755,0.030406351438024903
alpha2_beta0_5,0.3523704251066632,0.1319578314258661,0.0,0.49740857844982495,0.23582150303611785,4.963993743047476e-08,0.1348120374482535,0.868042168574133,0.1319578314258661
alpha2beta0_25,0.35346327116789134,0.09664733076850036,0.0,0.5821844247046479,0.18213836403242825,1.2769153729648223e-06,0.13902860357905006,0.9033526692314993,0.09664733076850036
sigma_265_RMP_Mandel,0.047876838129738655,0.35356171508221834,0.0,0.4621497677751922,0.01959722226018937,0.14716242453803496,0.017528870344365226,0.6464382849177818,0.35356171508221834
sigma_265_RMP_Rapid,0.44751673488745874,0.06044950607548933,0.0,0.8056480026566861,0.06746487478529664,0.012482973835184985,0.05395464264734311,0.9395504939245105,0.06044950607548933
sigma_30_RMP_Delayed,0.8884113517823807,0.0034626144070291406,0.0,0.8559650915911338,0.04634059733038411,0.01229577644596474,0.08193592022548722,0.9965373855929699,0.0034626144070291406
sigma_30_RMP_Mandel,1.5989986602147854,0.01938809907352616,0.0,0.8645816801411413,0.021608025121075514,0.007044012265664268,0.0873781833985922,0.9806119009264738,0.01938809907352616
sigma_30_RMP_Rapid,0.5843632089565667,0.004696893860939058,0.0,0.9025411591472882,0.03742096980291773,0.009125618319713641,0.04621535886914074,0.9953031061390606,0.004696893860939058
sigma_750_RMP_Delayed,0.12024621329297536,0.11642227560220401,0.0,0.5593517788142741,0.16224305599734773,0.02733390698331558,0.13464898260285846,0.8835777243977951,0.11642227560220401
sigma_750_RMP_Mandel,0.0025531443514752086,0.019744320370139668,0.0,0.09704362678764264,0.039881096670252185,0.8286720890052023,0.014658867166763366,0.9802556796298605,0.019744320370139668
sigma_750_RMP_Rapid,0.26303909440290707,0.05081981798187216,0.0,0.7933034005745672,0.08025750706001429,0.01603095762416314,0.059588316759383246,0.9491801820181281,0.05081981798187216
