model,All intrinsic (z=0) [Gpc^-3 yr^-1],channel II intrinsic (z=0) OSMT,channel V intrinsic (z=0) other without CE,channel I intrinsic (z=0) classic,channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE	channel,V intrinsic (z=0) other with CE,fraction with common envelope,fraction without common envelope
alpha0_1beta0_25,0.001707014190153908,0.0,0.0,0.30047411348684333,0.24919386263565316,0.0,0.4503320238775035,1.0,0.0
alpha0_1beta0_5,0.0027328746314125374,0.11986673526262466,0.0,0.09087616792076435,0.14071879044664995,0.0,0.6485383063699609,0.8801332647373753,0.11986673526262466
alpha0_1beta0_75,0.0019389347700077375,0.12871758713283984,0.0,0.1322136449972222,0.3375752656924919,0.0,0.4014935021774461,0.8712824128671602,0.12871758713283984
alpha0_5beta0_25,0.05980269545182843,0.007766415871262504,0.0,0.1352029732614696,0.534209541833087,0.0,0.32282106903418095,0.9922335841287376,0.007766415871262504
alpha0_5beta0_5,0.05350859009205812,0.03468647637678356,0.0,0.07163082088404105,0.6516766475554372,0.0,0.24200605518373847,0.9653135236232167,0.03468647637678356
alpha0_5beta0_75,0.07292216183556771,0.018555705996700814,0.0,0.06803554543881331,0.6273240840956276,0.01609110099962486,0.26999356346923337,0.9814442940032994,0.018555705996700814
alpha10_beta0_25,0.22354733180016326,0.06965406008174886,0.0,0.1479411902585339,0.7758120389961249,0.0,0.006592710663592489,0.9303459399182511,0.06965406008174886
alpha10_beta0_5,0.26788000860061345,0.0756686119747306,0.0,0.09600252843405392,0.8197241918735017,0.0,0.008604667717713945,0.9243313880252695,0.0756686119747306
alpha10_beta0_75,0.297013598314394,0.04821794009687258,0.0,0.10608684792540157,0.8260521746694893,0.012447917803370642,0.007195119504865996,0.9517820599031276,0.04821794009687258
alpha2_beta0_5,0.1711135419961901,0.04843683412936543,0.0,0.24009272493338304,0.6176789565538191,0.0,0.09379148438343254,0.9515631658706346,0.04843683412936543
alpha2beta0_25,0.390207385574868,0.012926622571290661,0.0,0.6335608158253373,0.3135205338188168,0.0,0.039992027784555,0.9870733774287093,0.012926622571290661
sigma_265_RMP_Mandel,0.09107214647789756,0.0391868462759919,0.0,0.7633131467026396,0.0536954363086672,0.09180836285177654,0.051996207860924765,0.9608131537240082,0.0391868462759919
sigma_265_RMP_Rapid,1.1111537946971495,0.004628852237566474,0.0,0.8970613178256441,0.0682946524267115,0.0019565291072970174,0.02805864840278105,0.9953711477624334,0.004628852237566474
sigma_30_RMP_Delayed,2.43217176040447,0.002260346224288149,0.0,0.7040167590859086,0.06685592705921525,0.0027578525797838133,0.22410911505080414,0.9977396537757118,0.002260346224288149
sigma_30_RMP_Mandel,2.721957128467435,0.0016958943554109165,0.0,0.871076876385816,0.019524807944088417,0.004881375307023488,0.10282104600766173,0.9983041056445896,0.0016958943554109165
sigma_30_RMP_Rapid,2.1827755477343826,0.0021094151603575626,0.0,0.8244780473566714,0.04975282764714487,0.0010262018712473245,0.12263350796457927,0.9978905848396427,0.0021094151603575626
sigma_750_RMP_Delayed,0.06180543566127743,0.005052695641516373,0.0,0.6481852674585009,0.24739373246150162,0.03661212207250436,0.06275618236597665,0.9949473043584834,0.005052695641516373
sigma_750_RMP_Mandel,0.02639143234917855,0.02339613835919644,0.0,0.6531699221512473,0.02872670344483,0.19938151315764238,0.09532572288708381,0.9766038616408035,0.02339613835919644
sigma_750_RMP_Rapid,0.7170759493028663,0.00041522142894793594,0.0,0.9552883218039736,0.038027135320018335,0.0024783710168364524,0.003790950430223375,0.9995847785710519,0.00041522142894793594
