model,CHE,without CE (no detail specified),SMT before and after channel,channel V intrinsic (z=0) other without CE,channel I intrinsic (z=0) classic CE (SMT+CE),channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE,channel V intrinsic (z=0) other with CE,channel V intrinsic (z=0) CE not specified,All intrinsic (z=0) [Gpc^-3 yr^-1],fraction without common envelope,fraction with common envelope,fraction CHE,fraction not specified
B22-A-fiducial,0.000000000000,0.00000000000,0.00000000000,0.00567482023,0.26195844628,0.00023617782,0.73199604508,0.00013451060,0.00000000000,25.64641765542,0.00567482023,0.99432517977,0.000000000000,0.00000000000
B22-B-beta0-25,0.000000000000,0.00000000000,0.00073043130,0.07232885874,0.92694070996,0.00000000000,0.00000000000,0.00000000000,0.00000000000,20.66768766544,0.07305929004,0.92694070996,0.000000000000,0.00000000000
B22-C-beta0-5,0.000000000000,0.00000000000,0.00000000000,0.01909061484,0.97999422030,0.00000000000,0.00038306844,0.00053209641,0.00000000000,21.99812853808,0.01909061484,0.98090938516,0.000000000000,0.00000000000
B22-D-beta0-75,0.000000000000,0.00000000000,0.00000000000,0.00711406484,0.50252442497,0.00000000000,0.49020388390,0.00015759304,0.00000000000,39.29257423871,0.00711406484,0.99288590191,0.000000000000,0.00000000000
B22-E-unstableBB,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.96416522532,0.00000000000,0.03583477468,0.00000000000,0.00000000000,0.30317412817,0.00000000000,1.00000000000,0.000000000000,0.00000000000
B22-F-unstableBB-optimistic,0.000000000000,0.00000000000,0.03319628498,0.00988759626,0.87846599621,0.00029667246,0.07815345008,0.00000000000,0.00000000000,37.24628969426,0.04308388125,0.95691611875,0.000000000000,0.00000000000
B22-G-alpha0-1,0.000000000000,0.00000000000,0.00000000000,0.00019759068,0.99784478520,0.00000000000,0.00195762412,0.00000000000,0.00000000000,42.12855580570,0.00019759068,0.99980240932,0.000000000000,0.00000000000
B22-H-alpha0-5,0.000000000000,0.00000000000,0.00000000000,0.00669362167,0.90489747903,0.00000000000,0.08833978883,0.00000000000,0.00000000000,12.34015602153,0.00669362167,0.99323726786,0.000000000000,0.00000000000
B22-I-alpha2,0.000000000000,0.00000000000,0.00000000000,0.00183698025,0.22150156944,0.00260742081,0.77359453757,0.00045949193,0.00000000000,51.70343403909,0.00183698025,0.99816301975,0.000000000000,0.00000000000
B22-J-alpha10,0.000000000000,0.00000000000,0.00089689414,0.00113469801,0.57428951809,0.09499371528,0.32598510406,0.00270007041,0.00000000000,54.81384934198,0.00203159215,0.99796840785,0.000000000000,0.00000000000
B22-K-optimisticCE,0.000000000000,0.00000000000,0.03221471370,0.04177805914,0.51349687813,0.00013274948,0.41143622984,0.00094136971,0.00000000000,45.39872171875,0.07399277284,0.92600722716,0.000000000000,0.00000000000
B22-L-rapid,0.000000000000,0.00000000000,0.00000000000,0.00584369927,0.30342490225,0.00042981136,0.69016759866,0.00013398846,0.00000000000,22.98806507057,0.00584369927,0.99415630073,0.000000000000,0.00000000000
B22-M-max-mNS:2,0.000000000000,0.00000000000,0.00000000000,0.00437041216,0.25871860062,0.00006356938,0.73671199006,0.00013542777,0.00000000000,25.02517806861,0.00437041216,0.99562958784,0.000000000000,0.00000000000
B22-N-max-mNS:3,0.000000000000,0.00000000000,0.00416049314,0.00454209801,0.26540051681,0.00204973307,0.72374907633,0.00009808264,0.00000000000,26.21471583764,0.00870259115,0.99129740885,0.000000000000,0.00000000000
