ADS year,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
ADS month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ADS abstract link,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract
ArXiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Author,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden
label string,B22-A-fiducial,B22-A-fiducial,B22-B-beta0-25,B22-B-beta0-25,B22-C-beta0-5,B22-C-beta0-5,B22-D-beta0-75,B22-D-beta0-75,B22-E-unstableBB,B22-E-unstableBB,B22-F-unstableBB-optimistic,B22-F-unstableBB-optimistic,B22-G-alpha0-1,B22-G-alpha0-1,B22-H-alpha0-5,B22-H-alpha0-5,B22-I-alpha2,B22-I-alpha2,B22-J-alpha10,B22-J-alpha10,B22-K-optimisticCE,B22-K-optimisticCE,B22-L-rapid,B22-L-rapid,B22-M-max-mNS:2,B22-M-max-mNS:2,B22-N-max-mNS:3,B22-N-max-mNS:3,B22-O-noPISN,B22-O-noPISN,B22-P-sigma:100,B22-P-sigma:100,B22-Q-sigma:30,B22-Q-sigma:30,B22-R-noBHkick,B22-R-noBHkick,B22-S-fWR:0-1,B22-S-fWR:0-1,B22-T-fWR:5,B22-T-fWR:5
code,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS
"type of limit (for plotting, see jupyter notebook for a dictionary) ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1]
.0.0.0,0.0001041763751,33.38711266,0,17.87606991,0,18.9730432,0,55.58394275,0,0.4327294827,0.0009575048886,25.27700575,0,31.36723492,6.45E-05,18.79649396,0.0003783903913,51.50207057,0.1051605154,58.15972598,7.69E-05,45.088,0.0001569677131,30.24925924,5.88E-05,33.2353212,0.0009199027326,34.42854869,0.0001040814243,33.80362926,0.0002731292554,60.55244837,4.46E-05,126.7773233,6.59E-05,34.0233926,0.0003353371341,30.99923582,0.001023588079,23.35779593
.1.1.1,1.42E-05,49.40691062,0,24.76503248,0,23.03872839,4.11E-07,69.10181275,0,1.615286269,0.0001153675526,47.96483281,0,48.14531265,8.17E-07,49.29090491,0.01294059451,157.3012802,0.1077180721,257.6176284,1.18E-05,59.46596028,6.54E-06,41.12161232,1.41E-05,46.86479173,0.006638495527,53.32693799,1.42E-05,49.73519068,1.38E-05,86.58116316,2.27E-06,212.0383276,1.57E-05,49.92938397,0.0001372792683,44.29472769,0.0002801077556,49.71031745
.1.1.2,0.0001119763825,48.70857767,0,22.68682858,0,24.33191799,1.47E-08,66.39259794,0,0.4241039132,0.0002271317982,38.25864427,0,48.19479517,3.10E-05,18.0152923,0.001607425645,66.56286627,0.1114428008,55.42517178,7.67E-05,70.91890342,0.0002550303558,42.67312116,0.0001037968281,48.22812257,0.0008604989742,49.83773531,0.0001119815562,49.25926671,0.0003086759728,87.97911449,5.55E-05,160.9274988,9.08E-05,49.34725371,0.0004306346364,46.15018531,0.00091959737,34.12743952
.1.1.3,0.0001034218294,48.3832685,0,25.67361833,0,26.89252146,3.93E-09,79.20747088,0,0.6590218166,0.0006139582124,38.92175523,0,43.93728705,5.64E-05,27.93668366,0.00142140186,77.38850929,0.09399010947,88.34135725,7.56E-05,66.0491667,0.0001356596537,43.55860454,4.74E-05,48.06933032,0.001094647175,49.65403696,0.000103432866,48.93516521,0.0001442086902,87.12898094,4.59E-05,182.5862167,6.73E-05,49.28971513,0.0003140137135,45.15307765,0.001178994608,35.57789454
.1.2.1,1.61E-05,49.02950809,0,23.19274906,0,21.5754782,1.06E-06,66.16336676,0,1.525466643,0.0002343405788,44.66489391,0,49.78149704,3.38E-06,43.71311768,0.01620605411,157.1515788,0.1237639971,274.5007954,1.35E-05,58.40977609,1.31E-05,41.00571218,2.09E-05,46.40734602,0.006842798087,53.07948139,1.62E-05,49.31409646,2.24E-05,85.29350546,5.37E-06,197.9275474,2.65E-05,49.57917711,6.62E-05,44.93110419,0.0002262375668,47.97291307
.1.2.2,0.0001042008962,47.99521744,0,22.44842161,0,23.13688202,1.10E-07,64.5647805,0,0.5755569237,0.000230182462,38.33720896,0,45.66452425,2.48E-05,21.44648568,0.004097455853,74.22828861,0.134478837,92.69347279,7.32E-05,68.15007009,0.0002272524119,41.73341294,6.29E-05,47.039,0.001993732198,49.48025231,0.0001044541649,48.42221315,0.0002354044048,85.9576393,5.23E-05,159.6468605,8.66E-05,48.61716334,0.000434304049,45.53081382,0.0004126915502,35.23278309
.1.2.3,9.34E-05,47.77644641,0,24.75914616,0,25.02731266,4.87E-08,73.49903476,0,0.786863254,0.0005063790606,39.26651446,0,42.17630124,4.03E-05,30.2500068,0.00343773664,84.27881406,0.1158051068,120.383649,6.89E-05,64.52701269,0.0001307678974,42.26587444,0.000,46.878,0.00244387931,49.57838004,9.35E-05,48.24913131,0.0001471121425,85.5130672,4.28E-05,178.1847824,6.57E-05,48.55431954,0.0003478115511,44.83077963,0.0004273869768,36.75658404
.1.3.1,1.40E-05,48.55063811,0,22.88059677,0,20.85766886,8.66E-07,63.81315664,0,1.568020929,0.0001347888013,45.89230414,0,49.36114608,8.03E-07,44.41711159,0.01591124478,160.4571372,0.1277225076,290.2969864,1.17E-05,58.02300989,7.20E-06,40.23642201,0.000,45.962,0.006980211964,52.69703444,1.41E-05,48.81590974,1.74E-05,84.37271665,2.92E-06,197.773731,2.30E-05,49.01864368,3.44E-05,44.35286884,0.0002546071495,48.36199258
.1.3.2,0.0001075919983,47.61092,0,22.45491251,0,22.98904424,5.71E-08,64.8999692,0,0.59475254,0.0002553727835,38.13761207,0,44.24576796,2.67E-05,21.93127749,0.003003139718,72.76686642,0.1406855501,98.97139279,7.60E-05,67.24990199,0.0002179861734,41.54254922,3.80E-05,46.65585095,0.002128321701,49.12827701,0.0001078942187,48.01725729,0.0002198960613,85.25884716,5.34E-05,158.7913419,8.80E-05,48.21322912,0.0004284351077,45.27935803,0.0003748048873,34.70254253
.1.3.3,8.74E-05,47.45545521,0,24.91716336,0,24.97763161,2.10E-08,74.34794816,0,0.8058227983,0.0005923305232,39.2081511,0,40.66141209,4.46E-05,31.53754878,0.002508417948,83.89833063,0.1175862246,127.2831002,6.49E-05,63.7319767,0.0001062636403,42.13127183,4.25E-05,46.55248124,0.002672463499,49.37415958,8.76E-05,47.91782215,0.0001353089573,84.98528211,4.29E-05,179.4661739,6.44E-05,48.22237899,0.0003227057693,44.6497651,0.0002488960864,36.45234626
.2.1.1,1.23E-05,50.89480908,0,25.15571278,0,23.12228353,4.24E-07,69.43617603,0,1.715500011,0.0001165938852,50.97804439,0,48.65861538,6.61E-07,50.78932311,0.01310895308,161.6684489,0.1271755315,292.8213165,1.02E-05,61.04870014,6.32E-06,42.13023876,1.17E-05,47.71324785,0.006566206196,55.16111941,1.24E-05,50.94114888,1.27E-05,89.39343829,2.20E-06,216.9797954,1.32E-05,51.08437279,0.0002062674324,45.91874014,0.0002452183412,50.14474331
.2.1.2,0.0001028328666,48.86390169,0,24.30228532,0,24.4270478,1.47E-08,69.0691724,0,0.6123016004,0.0002275583559,41.01729904,0,46.69509296,2.12E-05,21.97611388,0.001575968632,70.80478433,0.1328426017,85.8390596,7.02E-05,71.39482576,0.0002353039187,43.35199655,0.0001074886889,48.21811977,0.001095653105,50.39054154,0.0001026889468,49.48806844,0.0004164781525,87.66469782,5.67E-05,161.0041996,8.26E-05,49.4267691,0.0004023061559,47.54129574,0.001481649891,36.43133407
.2.1.3,9.61E-05,48.7151398,0,27.46194285,0,26.92326309,3.96E-09,81.56135934,0,0.9047857347,0.0006078729496,42.22510549,0,42.06023562,4.04E-05,32.5500895,0.001409023869,80.8447134,0.1044733502,111.5293643,6.96E-05,67.05178584,0.0001279070043,44.01122339,4.13E-05,48.24061971,0.001733144532,49.88690593,9.61E-05,49.29408828,0.0001718254487,87.07123707,4.60E-05,182.6369874,6.17E-05,49.85545208,0.0002987890672,46.43132651,0.001934130282,38.6520276
.2.2.1,1.46E-05,49.80535178,0,23.078042,0,21.33466952,1.11E-06,65.50749568,0,1.543115331,0.000237051141,47.42682872,0,49.4245148,2.82E-06,43.73373306,0.01664917296,159.1753095,0.1486305263,316.1694447,1.23E-05,59.29419994,1.28E-05,41.41068676,1.76E-05,46.81191419,0.006498875165,53.91944987,1.48E-05,49.84831256,2.08E-05,86.96570242,5.20E-06,202.6577694,2.27E-05,50.32007088,7.48E-05,46.2254086,0.0002007745663,47.8087043
.2.2.2,9.64E-05,47.82191812,0,23.32385243,0,22.76915667,1.14E-07,64.68473801,0,0.7254832481,0.0002318412981,40.88408231,0,43.50830677,1.85E-05,23.99187373,0.00409683942,77.03982286,0.1714237132,133.5546299,6.76E-05,68.04553137,0.0002130058325,41.64810461,6.42E-05,46.52831843,0.00233942244,49.53457257,9.70E-05,48.09410223,2.29E-04,85.11480914,5.36E-05,158.9446405,7.94E-05,48.35553498,0.0004428554039,46.36447708,0.0006497508906,36.57965944
.2.2.3,8.71E-05,47.8531683,0,25.64862025,0,24.56311754,5.04E-08,73.74030154,0,0.9754807865,0.000507971668,42.0446684,0,40.38472077,3.06E-05,33.29808186,0.003430174053,87.49084204,0.1450386246,156.3760251,6.42E-05,64.76388714,0.0001243745609,42.31732131,3.49E-05,46.59694036,0.002955771695,49.98822834,8.74E-05,48.25319847,2.01E-04,85.27955648,4.33E-05,177.4659841,6.07E-05,48.58146694,0.000375439179,45.96408732,0.0006393697464,38.40721781
.2.3.1,1.23E-05,49.4322003,0,22.77431136,0,20.7447041,9.05E-07,63.37987554,0,1.573297898,0.0001363775172,48.71954517,0,49.27469431,6.72E-07,44.28932311,0.01635050452,162.5502482,0.1508239109,331.3243331,1.03E-05,59.02860648,7.05E-06,40.74146751,1.49E-05,46.48654858,0.006588230773,53.61816622,1.25E-05,49.44834989,1.62E-05,86.25873586,2.83E-06,203.1774607,1.94E-05,49.86554912,3.11E-05,45.69680047,0.0002270053247,48.05626015
.2.3.2,9.96E-05,47.48809719,0,23.37053779,0,22.60129008,5.92E-08,64.95109118,0,0.7498466908,0.0002569715252,40.70946882,0,42.00889264,1.99E-05,24.57200088,0.002992157522,75.62970256,0.1717112182,139.9612756,7.02E-05,67.18463943,0.0002046386453,41.49391262,3.67E-05,46.15284887,0.002472761454,49.2441744,0.0001002716817,47.7218556,0.0002061161461,84.41171969,5.47E-05,157.9898537,8.06E-05,47.98834393,0.0004379577576,46.14520789,0.0005883182824,36.06984404
.2.3.3,8.16E-05,47.68136877,0,25.91709741,0,24.53114199,2.17E-08,74.63033686,0,0.9983240126,0.0005942632678,41.97724384,0,38.93368845,3.35E-05,34.96684095,0.002482018788,87.47295765,0.137493639,161.8439639,6.06E-05,64.10419932,0.0001014819539,42.42466925,3.71E-05,46.40681574,0.00333107293,50.04458837,8.19E-05,48.08712777,0.000197199301,84.91256807,4.32E-05,178.7150084,5.95E-05,48.35755207,0.0003540959833,45.93114491,0.0003499604535,38.26211402
.3.1.1,1.38E-05,33.33277216,0,16.7480699,0,15.56351742,4.06E-07,46.63210472,0,1.128857954,0.0001152571323,32.0584,0,32.48945738,7.76E-07,33.85652779,0.01272842369,106.6145109,0.111083369,179.4293133,1.15E-05,40.02340102,6.46E-06,27.67195908,1.38E-05,31.47526023,0.006970046761,36.0422086,1.39E-05,33.53062496,1.35E-05,58.32570107,2.26E-06,141.9174279,1.52E-05,33.63747653,0.0001610932291,29.80958411,0.0002715661409,33.69126667
.3.1.2,0.0001094178859,32.90313435,0,15.63427589,0,16.70347721,1.43E-08,45.66439374,0,0.3202409856,0.000225600489,25.71997355,0,32.84321143,2.85E-05,12.76287994,0.001570870754,45.90208208,0.1126433398,40.23204175,7.49E-05,47.93262796,0.000,28.83585187,0.0001152320923,32.55956194,0.000956378771,33.67681764,0.0001094339097,33.272,0.000306006841,59.33262729,5.46E-05,109.0231868,8.85E-05,33.33119557,0.0004282675696,31.06849713,0.001092325252,23.43668298
.3.1.3,0.0001014695173,32.60666483,0,17.64431088,0,18.2813213,3.82E-09,54.24011574,0,0.4830356632,0.0006089584104,26.20273568,0,29.70719653,5.25E-05,19.59315018,0.001399277924,53.09511241,0.09579297497,63.24581179,7.42E-05,44.48795592,0.000,29.36966928,4.61E-05,32.3644404,0.001193465042,33.47633924,0.0001014820462,32.97808303,0.0001412832902,58.57841241,4.52E-05,123.1583133,6.58E-05,33.25072191,0.0003144424056,30.37308385,0.001381357219,24.52418678
.3.2.1,1.58E-05,33.01900488,0,15.65192017,0,14.5465233,1.05E-06,44.48265828,0,1.062229598,0.0002341325578,29.85073535,0,33.39656897,3.22E-06,29.91768591,0.01598680228,106.1989325,0.1271802019,192.1082481,1.33E-05,39.25630323,0.000,27.56089196,2.05E-05,31.14648159,0.006997200011,35.80963682,1.59E-05,33.17510704,2.20E-05,57.39671202,5.32E-06,132.5748124,2.57E-05,33.34571491,6.97E-05,30.24047523,0.000220258927,32.38128906
.3.2.2,0.00010195606,32.37637467,0,15.40104586,0,15.76997294,1.07E-07,44.097157,0,0.4271502362,0.0002290547912,25.72505911,0,30.89404851,2.29E-05,15.17037102,0.003979772685,51.05455928,0.1359447025,67.27010854,7.17E-05,45.92233106,0.0002213497271,28.13149524,6.86E-05,31.66558132,0.002187163872,33.41020825,0.0001022434101,32.65182259,0.0002330977113,57.85524746,5.15E-05,107.6914912,8.46E-05,32.78265703,0.0004422110396,30.63066764,0.0004815806636,24.14353783
.3.2.3,9.16E-05,32.18808831,0,16.96377763,0,16.94917896,4.78E-08,49.99111742,0,0.5730557257,0.0005038018703,26.35368523,0,28.38509654,3.75E-05,21.20914113,0.00335237282,57.75028385,0.117889194,86.20935642,6.77E-05,43.4023561,0.0001282419686,28.4318553,3.88E-05,31.50088213,0.002687711025,33.43434675,9.18E-05,32.49791185,0.0001441753151,57.46095195,4.23E-05,119.7917564,6.43E-05,32.7244798,0.000361742163,30.14868317,0.0004879059279,25.24770377
.3.3.1,1.37E-05,32.70575316,0,15.42256773,0,14.07774951,8.58E-07,42.93047192,0,1.089036668,0.0001346941303,30.66535824,0,33.15924384,7.67E-07,30.34984981,0.01569757341,108.424795,0.1308778664,202.7129414,1.15E-05,39.00096507,7.12E-06,27.05781036,1.74E-05,30.86187026,0.007130841976,35.56655853,1.38E-05,32.84765955,1.71E-05,56.80051607,2.90E-06,132.4899584,2.23E-05,32.97086851,3.38E-05,29.85272971,0.000248187939,32.60893658
