model,CHE,without CE (no detail specified),SMT before and after channel,SMT+NON,NON + NON,NON+SMT,channel V intrinsic (z=0) other without CE,with CE (no detail specified),channel I intrinsic (z=0) classic CE (SMT+CE),CEE + SMT,CEE+CEE,NON+CEE,CEE+NON,channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE,channel V intrinsic (z=0) other with CE,channel radCEE,channel convCEE,channel V intrinsic (z=0) CE not specified,All intrinsic (z=0) [Gpc^-3 yr^-1],fraction without common envelope,fraction with common envelope,fraction not specified,total fraction,fraction CHE
Narrow ($\omega_0=0.70$),0,0.206557377,0,0,0,0,0,0.793442623,0,0,0,0,0,0,0,0,0,0,0,30.5,0.206557377,0.793442623,0,1,0
Wide ($\omega_0=2.00$),0,0.315883403,0,0,0,0,0,0.684116597,0,0,0,0,0,0,0,0,0,0,0,168.1,0.315883403,0.684116597,0,1,0
Flat width ($\omega_z=0.00$),0,0.24750499,0,0,0,0,0,0.75249501,0,0,0,0,0,0,0,0,0,0,0,50.1,0.24750499,0.75249501,0,1,0
Steep width ($\omega_z=0.10$),0,0.337535014,0,0,0,0,0,0.662464986,0,0,0,0,0,0,0,0,0,0,0,71.4,0.337535014,0.662464986,0,1,0
low $\langle Z \rangle$ ($\mu_0=0.007$),0,0.312171838,0,0,0,0,0,0.687828162,0,0,0,0,0,0,0,0,0,0,0,209.5,0.312171838,0.687828162,0,1,0
high $\langle Z \rangle$ ($\mu_0=0.035$),0,0.285347044,0,0,0,0,0,0.714652956,0,0,0,0,0,0,0,0,0,0,0,38.9,0.285347044,0.714652956,0,1,0
Flat ($\mu_z=0.0$),0,0.266159696,0,0,0,0,0,0.733840304,0,0,0,0,0,0,0,0,0,0,0,52.6,0.266159696,0.733840304,0,1,0
Steep ($\mu_z=-0.5$),0,0.425499232,0,0,0,0,0,0.574500768,0,0,0,0,0,0,0,0,0,0,0,130.2,0.425499232,0.574500768,0,1,0
Symmetric ($\alpha=0.0$),0,0.324915825,0,0,0,0,0,0.675084175,0,0,0,0,0,0,0,0,0,0,0,118.8,0.324915825,0.675084175,0,1,0
Skewed ($\alpha=-6$),0,0.272321429,0,0,0,0,0,0.727678571,0,0,0,0,0,0,0,0,0,0,0,44.8,0.272321429,0.727678571,0,1,0
Madau & Fragos 2017,0,0.317431193,0,0,0,0,0,0.682568807,0,0,0,0,0,0,0,0,0,0,0,54.5,0.317431193,0.682568807,0,1,0
Approx. to upper limit,0,0.327058824,0,0,0,0,0,0.672941176,0,0,0,0,0,0,0,0,0,0,0,170,0.327058824,0.672941176,0,1,0
Fiducial ($\omega_0=1.13$),0,0.290322581,0,0,0,0,0,0.709677419,0,0,0,0,0,0,0,0,0,0,0,58.9,0.290322581,0.709677419,0,1,0
