model,link to paper ,year,code,code_abbr,stellar_tracks,label_1,label_2,label_3,label_4,label_author,sigma,sigma_strippedSN,sigma extra,alpha,alpha extra ,beta,gamma,CE optimistic/pessimistic,CE prescription,lambda,RMP,RMP extra,PISN prescription,stability ,non-conservativeness AM loss ,Eddington limited accretion CO,f_WR,
model,link to paper,year,code,code_abbr,stellar_tracks,label_1,label_2,label_3,label_4,label_author,sigma,sigma_strippedSN,sigma extra,alpha,alpha extra,beta,gamma,CE optimistic/pessimistic,CE prescription,lambda,RMP,RMP extra,PISN prescription,stability,non-conservativeness AM loss,Eddington limited accretion CO,f_WR,binding energy
B22-A-fiducial,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,fiducial,,,,BRO22,265,30,Hobbs 2005,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),thermal,specific AM of accreting star (Soberman et al. 1997),pessimistic,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),TRUE,1,"Nanjing prescription: λ computed from polynomial fits to stellar structure as function of stellar type, mass, and radius (Xu & Li 2010a,b; Dominik et al. 2012). Includes internal energy (αth contribution). λ varies from ~0.01–10 depending on evolutionary state."
B22-B-beta0-25,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\beta = 0.25$,,,,BRO22,265,30,Hobbs 2005,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),0.25,specific AM of accreting star (Soberman et al. 1997),pessimistic,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),TRUE,1,"Nanjing prescription: λ computed from polynomial fits to stellar structure as function of stellar type, mass, and radius (Xu & Li 2010a,b; Dominik et al. 2012). Includes internal energy (αth contribution). λ varies from ~0.01–10 depending on evolutionary state."
B22-C-beta0-5,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\beta = 0.5$,,,,BRO22,265,30,Hobbs 2005,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),0.5,specific AM of accreting star (Soberman et al. 1997),pessimistic,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),TRUE,1,"Nanjing prescription: λ computed from polynomial fits to stellar structure as function of stellar type, mass, and radius (Xu & Li 2010a,b; Dominik et al. 2012). Includes internal energy (αth contribution). λ varies from ~0.01–10 depending on evolutionary state."
B22-D-beta0-75,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\beta = 0.75$,,,,BRO22,265,30,Hobbs 2005,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),0.75,specific AM of accreting star (Soberman et al. 1997),pessimistic,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),TRUE,1,"Nanjing prescription: λ computed from polynomial fits to stellar structure as function of stellar type, mass, and radius (Xu & Li 2010a,b; Dominik et al. 2012). Includes internal energy (αth contribution). λ varies from ~0.01–10 depending on evolutionary state."
B22-E-unstableBB,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,case BB CE,,,,BRO22,265,30,Hobbs 2005,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),thermal,specific AM of accreting star (Soberman et al. 1997),pessimistic,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),TRUE,1,"Nanjing prescription: λ computed from polynomial fits to stellar structure as function of stellar type, mass, and radius (Xu & Li 2010a,b; Dominik et al. 2012). Includes internal energy (αth contribution). λ varies from ~0.01–10 depending on evolutionary state."
B22-F-unstableBB-optimistic,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,case BB CE,opt CE,,,BRO22,265,30,Hobbs 2005,1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),thermal,specific AM of accreting star (Soberman et al. 1997),optimistic,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),TRUE,1,"Nanjing prescription: λ computed from polynomial fits to stellar structure as function of stellar type, mass, and radius (Xu & Li 2010a,b; Dominik et al. 2012). Includes internal energy (αth contribution). λ varies from ~0.01–10 depending on evolutionary state."
B22-G-alpha0-1,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\alpha = 0.1$,,,,BRO22,265,30,Hobbs 2005,0.1,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),thermal,specific AM of accreting star (Soberman et al. 1997),pessimistic,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),TRUE,1,"Nanjing prescription: λ computed from polynomial fits to stellar structure as function of stellar type, mass, and radius (Xu & Li 2010a,b; Dominik et al. 2012). Includes internal energy (αth contribution). λ varies from ~0.01–10 depending on evolutionary state."
B22-H-alpha0-5,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\alpha = 0.5$,,,,BRO22,265,30,Hobbs 2005,0.5,Standard CE energy formalism; αCE=1 is fiducial (Webbink 1984),thermal,specific AM of accreting star (Soberman et al. 1997),pessimistic,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,non-conservative MT mass lost with specific orbital AM of accreting star (Soberman et al. 1997; van den Heuvel et al. 2017),TRUE,1,"Nanjing prescription: λ computed from polynomial fits to stellar structure as function of stellar type, mass, and radius (Xu & Li 2010a,b; Dominik et al. 2012). Includes internal energy (αth contribution). λ varies from ~0.01–10 depending on evolutionary state."
