log10Z_Zsun,Channel_I,Channel_II,Channel_III,Total,f_I,f_II,f_III
-2.06496,2.6026821616591334,2.896934974233614,0.4622228641072521,5.96184,0.43655686191832277,0.4859129017608011,0.07753023632087613
-1.98291,2.606529116630325,2.669964938012443,0.47279594535723213,5.74929,0.45336539235806944,0.46439907153969323,0.08223553610223734
-1.88376,2.728595986278785,2.571636557908419,0.4066274558127958,5.70686,0.4781256218443742,0.4506219808981505,0.07125239725747536
-1.81197,2.816979048024251,2.4791511015988785,0.48060985037687054,5.77674,0.48764165394742554,0.4291609284127169,0.08319741763985752
-1.66838,2.8553606958038023,2.3260945286308923,0.47495477556530563,5.65641,0.5048008711892883,0.4112315989524968,0.08396752985821494
-1.51111,2.8851129382437013,2.2279063927784537,0.43475066897784487,5.54777,0.5200491257286624,0.4015859332269459,0.07836494104439169
-1.42906,2.80776,2.169353626909327,0.3694163730906723,5.34653,0.5251555681909575,0.4057498278152984,0.06909460399374405
-1.34701,2.7252651805696844,2.012924819430316,0.3731799999999996,5.11137,0.5331770504912938,0.39381316935191857,0.07300978015678763
-1.25812,2.6493782956318253,1.8312267043681745,0.35056500000000046,4.83117,0.5483926865814751,0.37904414549025894,0.07256316792826592
-1.16581,2.532054645066937,1.6818331572577496,0.33718219767531377,4.55107,0.5563646889779627,0.3695467565336832,0.07408855448835411
-1.08034,2.4268037846983255,1.5588591827406706,0.3303370325610038,4.316,0.5622807656854323,0.3611814603198959,0.07653777399467186
-1.02906,2.2952186459050243,1.524639738885356,0.28273161520961976,4.10259,0.5594560133732652,0.3716285904478283,0.06891539617890644
-0.97436,2.15485774317504,1.3649950517550868,0.29026720506987314,3.81012,0.5655616471856635,0.3582551341572147,0.07618321865712185
-0.87521,1.9226874888482632,1.1547037302929561,0.2492587808587805,3.32665,0.5779650666130381,0.34710706876075215,0.0749278646262097
-0.78974,1.7358120409489763,0.9596230450799297,0.26044491397109404,2.95588,0.5872403619054144,0.3246488507922952,0.08811078730229036
-0.70427,1.555091389396709,0.7435294458324102,0.2186491647708806,2.51727,0.6177690074551833,0.2953713530262587,0.08685963951855805
-0.63248,1.2998672212065816,0.6459332468251782,0.21161953196824035,2.15742,0.6025100449641616,0.2994007874336838,0.09808916760215458
-0.5812,1.10181030503517,0.5707896949648301,0.13571,1.80831,0.6093038832031952,0.31564814382756834,0.07504797296923646
-0.53333,0.9146609081412355,0.4836680020526761,0.11731108980608851,1.51564,0.6034816368934809,0.31911799771230376,0.07740036539421531
-0.48547,0.7275506065882027,0.399287800951609,0.07351159246018835,1.20035,0.6061153885018559,0.3326428133057933,0.06124179819235085
-0.41026,0.5063184525932796,0.28744602927200535,0.03552551813471505,0.82929,0.6105445050504402,0.34661702091187085,0.04283847403768893
-0.29744,0.3183629243061996,0.17675703587906066,0.020720039814739688,0.51584,0.6171737831618325,0.34265864585736017,0.0401675709808074
-0.18803,0.14410115145894273,0.13294557398186327,-0.018206725440805982,0.25884,0.5567190212445631,0.5136206690691673,-0.07033969031373041
-0.05128,0.08177,0.05277523400936039,0.015074765990639616,0.14962,0.5465178452078598,0.3527284721919556,0.10075368260018457
-0.00342,0.08177,0.001350000000000004,0.0,0.08312,0.9837584215591915,0.016241578440808518,0.0
