from_modelname,to_modelname,using,travel_label,from_option,to_option,color code,legend,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-A-fiducial,none,fiducial,1.00,1.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-B-beta0-25,B22-C-beta0-5,beta,$\beta \uparrow$ ,0.25,0.50,2,Broekgaarden et al. (2022): fixed $\beta$,COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-C-beta0-5,B22-D-beta0-75,beta,$\beta \uparrow$ ,0.50,0.75,2,Broekgaarden et al. (2022): fixed $\beta$,COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-E-unstableBB,caseBB stability,unstable caseBB,always stable,always unstable,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-E-unstableBB,B22-F-unstableBB-optimistic,optimistic ,optimistic CE ,pessimistic,optimistic ,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-H-alpha0-5,B22-G-alpha0-1,alpha,$\alpha \downarrow$ ,0.50,0.10,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-H-alpha0-5,alpha,$\alpha \downarrow$ ,1.00,0.50,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-I-alpha2,alpha,$\alpha \uparrow$ ,1.00,2.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-I-alpha2,B22-J-alpha10,alpha,$\alpha \uparrow$ ,2.00,10.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-K-optimisticCE,optimistic ,optimistic CE ,pessimistic,optimistic ,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-K-optimisticCE,B22-F-unstableBB-optimistic,caseBB stability,unstable caseBB,always stable,always unstable,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-L-rapid,supernova,rapid SN,delayed,rapid ,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-M-max-mNS:2,supernova,NS mass $\downarrow$ ,2.50,2.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-N-max-mNS:3,supernova,NS mass $\uparrow$ ,2.50,3.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-O-noPISN,supernova,no PISN,with PISN ,no PISN,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-P-sigma:100,supernova,$\sigma_{cc} \downarrow$,265.00,100.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-P-sigma:100,B22-Q-sigma:30,supernova,$\sigma_{cc} \downarrow$,100.00,30.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-R-noBHkick,supernova,no BH kick,with BH kick,no BH kick ,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-S-fWR:0-1,wind,$f_\rm{WR} \ \downarrow$,1.00,0.10,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-T-fWR:5,wind,$f_\rm{WR} \ \uparrow$,1.00,5.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
