model,channel II intrinsic (z=0) OSMT,channel V intrinsic (z=0) other without CE,channel I intrinsic (z=0) classic,channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE,channel V intrinsic (z=0) other with CE,channel V intrinsic (z=0) CE not specified,All intrinsic (z=0) [Gpc^-3 yr^-1],fraction without common envelope,fraction with common envelope
B22-A-fiducial,0.0597296071,0.04649206481,0.8154372868,0.07367429272,0.004666748599,0,0,44.81301384,0.1062216719,0.8937783281
B22-B-beta0-25,0.4140856027,0.1113810651,0.3267795667,0.1477537655,0,0,0,17.59852438,0.5254666678,0.4745333322
B22-C-beta0-5,0.4657704574,0.2112364109,0.04647070055,0.2765224311,0,0.00E+00,0,10.47618588,0.6770068683,0.3229931317
B22-D-beta0-75,0.0522336178,0.3658969041,0.01553507197,0.5476259596,0.01870844659,0,0,5.733417401,0.4181305219,0.5818694781
B22-E-unstableBB,0.1195913751,0.09095683744,0.6975211063,0.09107103185,0.0008596493502,0,0,8.731692478,0.2105482125,0.7894517875
B22-F-unstableBB-optimistic,0.4226315497,0.04946271875,0.4860044616,0.04150225775,0.0003776499273,2.14E-05,0,36.03398511,0.4720942684,0.5279057316
B22-G-alpha0-1,0.9449628042,0.004707892652,0.03989663753,0.002507575406,7.93E-03,0,0,2.711827905,0.9496706968,0.05032930316
B22-H-alpha0-5,0.2416010878,0.08611619681,0.5484563715,0.1217370883,0.002089255501,0,0,11.49333414,0.3277172846,0.6722827154
B22-I-alpha2,0.06180865504,0.01959185741,0.7282037813,0.1426932677,0.0477024386,0,0,46.13156566,0.08140051246,0.9185994875
B22-J-alpha10,0.1672097673,0.007114068251,0.2941109714,0.5087939775,0.02277121552,0.00E+00,0,17.81692591,0.1743238356,0.8256761644
B22-K-optimisticCE,0.133146697,0.04157123308,0.7617156025,0.05864532581,0.003712140648,0.001209000886,0,56.62479198,0.1747179301,0.8252820699
B22-L-rapid,0.02426075154,0.01281685541,0.929490774,0.03256831938,0.0008632996828,0,0,122.6478617,0.03707760695,0.962922393
B22-M-max-mNS:2,0.06323769462,0.03978945921,0.8136963622,7.36E-02,0.009637166764,0,0,38.37698222,0.1030271538,0.8969728462
B22-N-max-mNS:3,0.05926987995,0.04791136547,0.8121829708,0.07645395902,0.004181824791,0,0,48.46537884,0.1071812454,0.8928187546
B22-O-noPISN,0.05971557089,0.04643965645,0.8158519522,0.0732170792,0.004775741268,0,0,43.94296756,0.1061552273,0.8938447727
B22-P-sigma:100,0.07021851029,0.1295811281,0.7240483024,0.07008738266,0.006064676574,0,0,128.910415,0.1997996384,0.8002003616
B22-Q-sigma:30,0.01654236314,0.2179899736,0.7185164468,4.26E-02,0.004314347477,0,0,249.2538738,0.2345323367,0.7654676633
B22-R-noBHkick,0.03234011694,2.91E-04,0.9152051729,0.04946435254,0.002699351796,0,0,197.0656042,0.03263112274,0.9673688773
B22-S-fWR:0-1,0.06114443538,0.02961032829,0.853702908,0.05152312092,0.004019207448,0,0,57.83445478,0.09075476368,0.9092452363
B22-T-fWR:5,0.1554527353,0.2288156004,0.2962334782,2.97E-01,0.02253900769,0,0,8.520824333,0.3842683357,0.6157316643
Boesky_alphaCE_0_1_beta0_25,0.95,0.036366,0.00,0.008345,0,0.000,,45.718,0.99,0.01
Boesky_alphaCE_0_1_beta0_5,9.17E-01,0.044701,4.45E-05,0.037769,0,0.000,,24.101,9.62E-01,3.78E-02
Boesky_alphaCE_0_1_beta0_75,0.25,0.262451,0.010,0.475153,0,0.000,,0.791,0.51,0.485
Boesky_alphaCE_0_5_beta0_25,0.740,0.040213,0.04,0.175904,0.00E+00,0.000,,50.403,0.780,0.22
Boesky_alphaCE_0_5_beta0_5,0.761,0.051338,0.00,0.183157,0.00E+00,0.000,,29.808,0.812,0.19
Boesky_alphaCE_0_5_beta0_75,0.030,0.197933,0.059,0.707543,5.06E-03,0.000,,11.786,0.228,0.772
Boesky_alphaCE_2_beta0_25,0.312,0.080442,0.282157,0.325508,0.00E+00,0.000,,134.086,0.392,0.607665
Boesky_alphaCE_2_beta0_5,0.46423,0.102367,0.035595,0.397808,0.00E+00,0,,66.39988,0.566597,0.433403
Boesky_alphaCE_2_beta0_75,0.040375,0.248374,0.036008,0.557535,0.117707,0,,47.59018,0.288749,0.71125
Boesky_alphaCE_10_beta0_25,0.523216,0.023064,0.113614,0.340107,0.00E+00,0,,111.0827,0.54628,0.453721
Boesky_alphaCE_10_beta0_5,0.664098,0.018971,0.040286,0.276645,0.00E+00,0,,95.62283,0.683069,0.316931
Boesky_alphaCE_10_beta0_75,0.02892,0.026542,0.085354,0.845386,0.013798,0,,59.61691,0.055462,0.944538
Boesky_sigma_30_RMP_D,0.026717,0.289311,0.524,0.156357,0.003824,0,,551.5045,0.316028,0.684
Boesky_sigma_30_RMP_M,0.014508,0.119213,0.630,0.220979,0.015464,0,,743.4972,0.133721,0.866
Boesky_sigma_30_RMP_R,0.000989,0.180463,0.697,0.119979,0.001695,0,,596.315,0.181452,0.819
Boesky_sigma_265_RMP_D,0.200,0.171348,1.43E-01,0.473194,0.012741,0,,54.63308,0.372,6.28E-01
Boesky_sigma_265_RMP_M,0.107249,0.228811,0.605242,0.032155,0.026543,0,,27.56318,0.33606,0.66394
Boesky_sigma_265_RMP_R,0.117628,0.055071,0.699429,0.125696,0.002176,0,,351.7364,0.172699,0.827301
Boesky_sigma_750_RMP_D,0.007197,0.124768,0.410631,0.447212,0.010192,0,,15.24295,0.131965,0.868035
Boesky_sigma_750_RMP_M,0.010769,0.098105,0.665658,0.008666,0.216801,0,,3.692643,0.108874,0.891125
Boesky_sigma_750_RMP_R,0.002409,0.00547,0.916196,0.071499,0.004426,0,,229.5277,0.007879,0.992121
RG21-SN:N20,0.02951838426,0,0.9704816157,0,0,0,,77.24,0.02951838426,0.9704816157
RG21-SN:rapid,0.2820512821,0,0.7179487179,0,0,0,,10.14,0.2820512821,0.7179487179
RG21-SN:delayed,0.5415929204,0,0.4584070796,0,0,0,,5.65,0.5415929204,0.4584070796
RG21-ESCN:Full-SN:N20,0.0431146359,0,0.9568853641,0,0,0,,69.35,0.0431146359,0.9568853641
RG21-ESCN:Full-SN:rapid,0.2913165266,0,0.7086834734,0,0,0,,10.71,0.2913165266,0.7086834734
RG21-ECSN:Full-SN:delayed,0.495697074,0,0.504302926,0,0,0,,5.81,0.495697074,0.504302926
RG21-noBHkick-SN:N20,0.02951838426,0,0.9704816157,0,0,0,,77.24,0.02951838426,0.9704816157
RG21-noBHkick-SN:rapid,0.1136638452,0,0.8863361548,0,0,0,,16.54,0.1136638452,0.8863361548
RG21-noBH-kick-SN:delayed,0.07621671258,0,0.9237832874,0,0,0,,32.67,0.07621671258,0.9237832874
Olejak21-M380 (fiducial),0,0,0.7709923664,0,0,0,0.2290076336,13.1,0,0.7709923664
Olejak21-M480 (changedCEcriteria),0.07692307692,0,0.8076923077,0,0,0,0.1153846154,15.6,0.07692307692,0.8076923077
Olejak21-M481 (changedCEcriteria+switch),0,0,0.7317073171,0,0,0,0.2682926829,4.1,0,0.7317073171
Xing24_fuducial,0.3,0,0.7,0,0,0,0,72,0.3,0.7
Xing24_alpha_2,0.14,0,0.86,0,0,0,0,162,0.14,0.86
Xing24_sigma_150,0.25,0,0.75,0,0,0,0,193,0.25,0.75
Xing24_sigma_61_6,0.03,0,0.97,0,0,0,0,408,0.03,0.97
