ADS year,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
ADS month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ADS abstract link,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract
ArXiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Author,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden
label string,B22-A-fiducial,B22-A-fiducial,B22-B-beta0-25,B22-B-beta0-25,B22-C-beta0-5,B22-C-beta0-5,B22-D-beta0-75,B22-D-beta0-75,B22-E-unstableBB,B22-E-unstableBB,B22-F-unstableBB-optimistic,B22-F-unstableBB-optimistic,B22-G-alpha0-1,B22-G-alpha0-1,B22-H-alpha0-5,B22-H-alpha0-5,B22-I-alpha2,B22-I-alpha2,B22-J-alpha10,B22-J-alpha10,B22-K-optimisticCE,B22-K-optimisticCE,B22-L-rapid,B22-L-rapid,B22-M-max-mNS:2,B22-M-max-mNS:2,B22-N-max-mNS:3,B22-N-max-mNS:3,B22-O-noPISN,B22-O-noPISN,B22-P-sigma:100,B22-P-sigma:100,B22-Q-sigma:30,B22-Q-sigma:30,B22-R-noBHkick,B22-R-noBHkick,B22-S-fWR:0-1,B22-S-fWR:0-1,B22-T-fWR:5,B22-T-fWR:5
code,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS
"type of limit (for plotting, see jupyter notebook for a dictionary) ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1]
.0.0.0,0,33.38711266,0,17.87606991,0,18.9730432,0,55.58394275,0,0.4327294827,0,25.27700575,0,31.36723492,0.00E+00,18.79649396,0,51.50207057,0,58.15972598,0.00E+00,45.088,0,30.24925924,0.00E+00,33.2353212,0.003875636422,34.42854869,0,33.80362926,0,60.55244837,0.00E+00,126.7773233,0.00E+00,34.0233926,0,30.99923582,0,23.35779593
.1.1.1,0.00E+00,49.40691062,0,24.76503248,0,23.03872839,0.00E+00,69.10181275,0,1.615286269,0,47.96483281,0,48.14531265,0.00E+00,49.29090491,0,157.3012802,0,257.6176284,0.00E+00,59.46596028,0.00E+00,41.12161232,0.00E+00,46.86479173,0.009991953138,53.32693799,0.00E+00,49.73519068,0.00E+00,86.58116316,0.00E+00,212.0383276,0.00E+00,49.92938397,0,44.29472769,0,49.71031745
.1.1.2,0,48.70857767,0,22.68682858,0,24.33191799,0.00E+00,66.39259794,0,0.4241039132,0,38.25864427,0,48.19479517,0.00E+00,18.0152923,0,66.56286627,0,55.42517178,0.00E+00,70.91890342,0,42.67312116,0,48.22812257,0.00238646537,49.83773531,0,49.25926671,0,87.97911449,0.00E+00,160.9274988,0.00E+00,49.34725371,0,46.15018531,0,34.12743952
.1.1.3,0,48.3832685,0,25.67361833,0,26.89252146,0.00E+00,79.20747088,0,0.6590218166,0,38.92175523,0,43.93728705,0.00E+00,27.93668366,0,77.38850929,0,88.34135725,0.00E+00,66.0491667,0,43.55860454,0.00E+00,48.06933032,0.003911471888,49.65403696,0,48.93516521,0,87.12898094,0.00E+00,182.5862167,0.00E+00,49.28971513,0,45.15307765,0,35.57789454
.1.2.1,0.00E+00,49.02950809,0,23.19274906,0,21.5754782,0.00E+00,66.16336676,0,1.525466643,0,44.66489391,0,49.78149704,0.00E+00,43.71311768,0,157.1515788,0,274.5007954,0.00E+00,58.40977609,0.00E+00,41.00571218,0.00E+00,46.40734602,0.01027134342,53.07948139,0.00E+00,49.31409646,0.00E+00,85.29350546,0.00E+00,197.9275474,0.00E+00,49.57917711,0.00E+00,44.93110419,0,47.97291307
.1.2.2,0,47.99521744,0,22.44842161,0,23.13688202,0.00E+00,64.5647805,0,0.5755569237,0,38.33720896,0,45.66452425,0.00E+00,21.44648568,0,74.22828861,0,92.69347279,0.00E+00,68.15007009,0,41.73341294,0.00E+00,47.039,0.003618542674,49.48025231,0,48.42221315,0,85.9576393,0.00E+00,159.6468605,0.00E+00,48.61716334,0,45.53081382,0,35.23278309
.1.2.3,0.00E+00,47.77644641,0,24.75914616,0,25.02731266,0.00E+00,73.49903476,0,0.786863254,0,39.26651446,0,42.17630124,0.00E+00,30.2500068,0,84.27881406,0,120.383649,0.00E+00,64.52701269,0,42.26587444,0.000,46.878,0.005061003156,49.57838004,0.00E+00,48.24913131,0,85.5130672,0.00E+00,178.1847824,0.00E+00,48.55431954,0,44.83077963,0,36.75658404
.1.3.1,0.00E+00,48.55063811,0,22.88059677,0,20.85766886,0.00E+00,63.81315664,0,1.568020929,0,45.89230414,0,49.36114608,0.00E+00,44.41711159,0,160.4571372,0,290.2969864,0.00E+00,58.02300989,0.00E+00,40.23642201,0.000,45.962,0.010728475,52.69703444,0.00E+00,48.81590974,0.00E+00,84.37271665,0.00E+00,197.773731,0.00E+00,49.01864368,0.00E+00,44.35286884,0,48.36199258
.1.3.2,0,47.61092,0,22.45491251,0,22.98904424,0.00E+00,64.8999692,0,0.59475254,0,38.13761207,0,44.24576796,0.00E+00,21.93127749,0,72.76686642,0,98.97139279,0.00E+00,67.24990199,0,41.54254922,0.00E+00,46.65585095,0.00387367691,49.12827701,0,48.01725729,0,85.25884716,0.00E+00,158.7913419,0.00E+00,48.21322912,0,45.27935803,0,34.70254253
.1.3.3,0.00E+00,47.45545521,0,24.91716336,0,24.97763161,0.00E+00,74.34794816,0,0.8058227983,0,39.2081511,0,40.66141209,0.00E+00,31.53754878,0,83.89833063,0,127.2831002,0.00E+00,63.7319767,0,42.13127183,0.00E+00,46.55248124,0.005485968462,49.37415958,0.00E+00,47.91782215,0,84.98528211,0.00E+00,179.4661739,0.00E+00,48.22237899,0,44.6497651,0,36.45234626
.2.1.1,0.00E+00,50.89480908,0,25.15571278,0,23.12228353,0.00E+00,69.43617603,0,1.715500011,0,50.97804439,0,48.65861538,0.00E+00,50.78932311,0,161.6684489,0,292.8213165,0.00E+00,61.04870014,0.00E+00,42.13023876,0.00E+00,47.71324785,0.01020291668,55.16111941,0.00E+00,50.94114888,0.00E+00,89.39343829,0.00E+00,216.9797954,0.00E+00,51.08437279,0,45.91874014,0,50.14474331
.2.1.2,0,48.86390169,0,24.30228532,0,24.4270478,0.00E+00,69.0691724,0,0.6123016004,0,41.01729904,0,46.69509296,0.00E+00,21.97611388,0,70.80478433,0,85.8390596,0.00E+00,71.39482576,0,43.35199655,0,48.21811977,0.004086234455,50.39054154,0,49.48806844,0,87.66469782,0.00E+00,161.0041996,0.00E+00,49.4267691,0,47.54129574,0,36.43133407
.2.1.3,0.00E+00,48.7151398,0,27.46194285,0,26.92326309,0.00E+00,81.56135934,0,0.9047857347,0,42.22510549,0,42.06023562,0.00E+00,32.5500895,0,80.8447134,0,111.5293643,0.00E+00,67.05178584,0,44.01122339,0.00E+00,48.24061971,0.006061721245,49.88690593,0.00E+00,49.29408828,0,87.07123707,0.00E+00,182.6369874,0.00E+00,49.85545208,0,46.43132651,0,38.6520276
.2.2.1,0.00E+00,49.80535178,0,23.078042,0,21.33466952,0.00E+00,65.50749568,0,1.543115331,0,47.42682872,0,49.4245148,0.00E+00,43.73373306,0,159.1753095,0,316.1694447,0.00E+00,59.29419994,0.00E+00,41.41068676,0.00E+00,46.81191419,0.01061112179,53.91944987,0.00E+00,49.84831256,0.00E+00,86.96570242,0.00E+00,202.6577694,0.00E+00,50.32007088,0.00E+00,46.2254086,0,47.8087043
.2.2.2,0.00E+00,47.82191812,0,23.32385243,0,22.76915667,0.00E+00,64.68473801,0,0.7254832481,0,40.88408231,0,43.50830677,0.00E+00,23.99187373,0,77.03982286,0,133.5546299,0.00E+00,68.04553137,0,41.64810461,0.00E+00,46.52831843,0.004414525076,49.53457257,0.00E+00,48.09410223,0.00E+00,85.11480914,0.00E+00,158.9446405,0.00E+00,48.35553498,0,46.36447708,0,36.57965944
.2.2.3,0.00E+00,47.8531683,0,25.64862025,0,24.56311754,0.00E+00,73.74030154,0,0.9754807865,0,42.0446684,0,40.38472077,0.00E+00,33.29808186,0,87.49084204,0,156.3760251,0.00E+00,64.76388714,0,42.31732131,0.00E+00,46.59694036,0.006235938199,49.98822834,0.00E+00,48.25319847,0.00E+00,85.27955648,0.00E+00,177.4659841,0.00E+00,48.58146694,0,45.96408732,0,38.40721781
.2.3.1,0.00E+00,49.4322003,0,22.77431136,0,20.7447041,0.00E+00,63.37987554,0,1.573297898,0,48.71954517,0,49.27469431,0.00E+00,44.28932311,0,162.5502482,0,331.3243331,0.00E+00,59.02860648,0.00E+00,40.74146751,0.00E+00,46.48654858,0.01103604919,53.61816622,0.00E+00,49.44834989,0.00E+00,86.25873586,0.00E+00,203.1774607,0.00E+00,49.86554912,0.00E+00,45.69680047,0,48.05626015
.2.3.2,0.00E+00,47.48809719,0,23.37053779,0,22.60129008,0.00E+00,64.95109118,0,0.7498466908,0,40.70946882,0,42.00889264,0.00E+00,24.57200088,0,75.62970256,0,139.9612756,0.00E+00,67.18463943,0,41.49391262,0.00E+00,46.15284887,0.004631183714,49.2441744,0,47.7218556,0,84.41171969,0.00E+00,157.9898537,0.00E+00,47.98834393,0,46.14520789,0,36.06984404
.2.3.3,0.00E+00,47.68136877,0,25.91709741,0,24.53114199,0.00E+00,74.63033686,0,0.9983240126,0,41.97724384,0,38.93368845,0.00E+00,34.96684095,0,87.47295765,0,161.8439639,0.00E+00,64.10419932,0,42.42466925,0.00E+00,46.40681574,0.006805493745,50.04458837,0.00E+00,48.08712777,0,84.91256807,0.00E+00,178.7150084,0.00E+00,48.35755207,0,45.93114491,0,38.26211402
.3.1.1,0.00E+00,33.33277216,0,16.7480699,0,15.56351742,0.00E+00,46.63210472,0,1.128857954,0,32.0584,0,32.48945738,0.00E+00,33.85652779,0,106.6145109,0,179.4293133,0.00E+00,40.02340102,0.00E+00,27.67195908,0.00E+00,31.47526023,0.01052334472,36.0422086,0.00E+00,33.53062496,0.00E+00,58.32570107,0.00E+00,141.9174279,0.00E+00,33.63747653,0,29.80958411,0,33.69126667
.3.1.2,0,32.90313435,0,15.63427589,0,16.70347721,0.00E+00,45.66439374,0,0.3202409856,0,25.71997355,0,32.84321143,0.00E+00,12.76287994,0,45.90208208,0,40.23204175,0.00E+00,47.93262796,0.000,28.83585187,0,32.55956194,0.002554438095,33.67681764,0,33.272,0,59.33262729,0.00E+00,109.0231868,0.00E+00,33.33119557,0,31.06849713,0,23.43668298
.3.1.3,0,32.60666483,0,17.64431088,0,18.2813213,0.00E+00,54.24011574,0,0.4830356632,0,26.20273568,0,29.70719653,0.00E+00,19.59315018,0,53.09511241,0,63.24581179,0.00E+00,44.48795592,0.000,29.36966928,0.00E+00,32.3644404,0.004120755211,33.47633924,0,32.97808303,0,58.57841241,0.00E+00,123.1583133,0.00E+00,33.25072191,0,30.37308385,0,24.52418678
.3.2.1,0.00E+00,33.01900488,0,15.65192017,0,14.5465233,0.00E+00,44.48265828,0,1.062229598,0,29.85073535,0,33.39656897,0.00E+00,29.91768591,0,106.1989325,0,192.1082481,0.00E+00,39.25630323,0.000,27.56089196,0.00E+00,31.14648159,0.01080728204,35.80963682,0.00E+00,33.17510704,0.00E+00,57.39671202,0.00E+00,132.5748124,0.00E+00,33.34571491,0.00E+00,30.24047523,0,32.38128906
.3.2.2,0,32.37637467,0,15.40104586,0,15.76997294,0.00E+00,44.097157,0,0.4271502362,0,25.72505911,0,30.89404851,0.00E+00,15.17037102,0,51.05455928,0,67.27010854,0.00E+00,45.92233106,0,28.13149524,0.00E+00,31.66558132,0.003934601528,33.41020825,0,32.65182259,0,57.85524746,0.00E+00,107.6914912,0.00E+00,32.78265703,0,30.63066764,0,24.14353783
.3.2.3,0.00E+00,32.18808831,0,16.96377763,0,16.94917896,0.00E+00,49.99111742,0,0.5730557257,0,26.35368523,0,28.38509654,0.00E+00,21.20914113,0,57.75028385,0,86.20935642,0.00E+00,43.4023561,0,28.4318553,0.00E+00,31.50088213,0.005412573903,33.43434675,0.00E+00,32.49791185,0,57.46095195,0.00E+00,119.7917564,0.00E+00,32.7244798,0,30.14868317,0,25.24770377
.3.3.1,0.00E+00,32.70575316,0,15.42256773,0,14.07774951,0.00E+00,42.93047192,0,1.089036668,0,30.66535824,0,33.15924384,0.00E+00,30.34984981,0,108.424795,0,202.7129414,0.00E+00,39.00096507,0.00E+00,27.05781036,0.00E+00,30.86187026,0.01127886267,35.56655853,0.00E+00,32.84765955,0.00E+00,56.80051607,0.00E+00,132.4899584,0.00E+00,32.97086851,0.00E+00,29.85272971,0,32.60893658
.3.3.2,0,32.11380412,0,15.41150483,0,15.66197019,0.00E+00,44.34219155,0,0.4416274579,0,25.58961501,0,29.91060718,0.00E+00,15.53001188,0,50.09794812,0,71.66143516,0.00E+00,45.27333051,0,28.00512189,0.00E+00,31.39938782,0.004207426603,33.1700141,0,32.37543867,0,57.37026315,0.00E+00,107.0949875,0.00E+00,32.50998407,0,30.45680916,0,23.7994993
.3.3.3,0.00E+00,31.95514102,0,17.06098095,0,16.87994353,0.00E+00,50.4713862,0,0.5847141605,0,26.31850037,0,27.31781002,0.00E+00,22.10285256,0,57.46124536,0,91.00322108,0.00E+00,42.85549615,0,28.31410644,0.00E+00,31.26296917,0.005848253883,33.2817034,0.00E+00,32.257716,0,57.07556066,0.00E+00,120.5344555,0.00E+00,32.48848025,0,30.02416025,0,25.05496573
