model,channel I intrinsic (z=0) classic,channel II intrinsic (z=0) OSMT,channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE,channel V intrinsic (z=0) other,All intrinsic (z=0) [Gpc^-3 yr^-1]
B22-A-fiducial,0.2619584463,0,0.0002361778201,0.7319960451,0.005809330821,25.64641766
B22-B-beta0-25,0.92694071,0.0007304313004,0,0,0.07232885874,20.66768767
B22-C-beta0-5,0.9799942203,0,0,0.000383068443,0.01962271125,21.99812854
B22-D-beta0-75,0.502524425,0,0,0.4902038839,0.007271657874,39.29257424
B22-E-unstableBB,0.9641652253,0,0,0.03583477468,0,0.3031741282
B22-F-unstableBB-optimistic,0.8784659962,0.03319628498,0.0002966724598,0.07815345008,0.009887596264,37.24628969
B22-G-alpha0-1,0.9978447852,0,0,1.96E-03,0.0001975906841,42.12855581
B22-H-alpha0-5,0.904897479,0,0,0.08833978883,0.006693621665,12.34015602
B22-I-alpha2,0.2215015694,0,0.002607420807,0.7735945376,0.002296472174,51.70343404
B22-J-alpha10,0.5742895181,0.0008968941418,0.09499371528,0.3259851041,0.00383476842,54.81384934
B22-K-optimisticCE,0.5134968781,0.0322147137,0.0001327494768,0.4114362298,0.04271942885,45.39872172
B22-L-rapid,0.3034249022,0,0.0004298113615,0.6901675987,0.005977687733,22.98806507
B22-M-max-mNS:2,0.2587186006,0,6.36E-05,0.7367119901,0.004505839936,25.02517807
B22-N-max-mNS:3,0.2654005168,0.00416049314,0.002049733068,0.7237490763,0.004640180653,26.21471584
B22-O-noPISN,0.2618935688,0,0.0002363148225,0.7319232298,0.005946886565,25.3131104
B22-P-sigma:100,0.2991780366,0,0.0003733490148,0.6835227152,0.01692589919,47.91068424
B22-Q-sigma:30,0.6141466186,0,7.90E-05,0.2897059478,0.09606842695,118.2329898
B22-R-noBHkick,0.2730728244,0,0.0001802921983,0.7217907248,0.00495615861,25.65135627
B22-S-fWR:0-1,0.2560267797,0,0.0007708599281,0.7390104419,0.004191789688,24.11792327
B22-T-fWR:5,0.7199358686,0,7.71E-05,0.2716805524,0.008306460682,23.84849727
Boesky_alphaCE_0_1_beta0_25,0.892359,0,0,0,0.107641,38.49317
Boesky_alphaCE_0_1_beta0_5,9.43E-01,0,0,0,0.056932,178.3079
Boesky_alphaCE_0_1_beta0_75,0.92481,0,0,0.000332,0.074858,267.6776
Boesky_alphaCE_0_5_beta0_25,0.979018,0,0,0.00E+00,0.020982,75.69589
Boesky_alphaCE_0_5_beta0_5,0.963403,0,0,0.00E+00,0.036597,132.1306
Boesky_alphaCE_0_5_beta0_75,0.919905,0,0,3.92E-02,0.040901,131.3218
Boesky_alphaCE_2_beta0_25,0.743135,0.000888,0.000233,5.54E-03,0.2502,166.7706
Boesky_alphaCE_2_beta0_5,0.776528,0,0.000772,4.58E-02,0.17689,80.03633
Boesky_alphaCE_2_beta0_75,0.565021,0,0.001873,0.317397,0.115709,175.7874
Boesky_alphaCE_10_beta0_25,0.604308,0,0.051833,0.00E+00,0.343859,224.1255
Boesky_alphaCE_10_beta0_5,0.652238,0,0.075696,1.37E-01,0.135476,445.0968
Boesky_alphaCE_10_beta0_75,0.615973,0,0.039804,0.208342,0.135881,507.4364
