,2022,2022,2022,2022,2022,2022,2021,,,
,6,6,6,6,6,6,3,,,
,https://arxiv.org/pdf/2206.13842.pdf,https://arxiv.org/pdf/2206.13842.pdf,https://arxiv.org/pdf/2206.13842.pdf,https://arxiv.org/pdf/2206.13842.pdf,https://arxiv.org/pdf/2206.13842.pdf,https://arxiv.org/pdf/2206.13842.pdf,https://ui.adsabs.harvard.edu/abs/2021A%26A...647A.153B/abstract,,,
,https://ui.adsabs.harvard.edu/abs/2022arXiv220613842B/abstract,https://ui.adsabs.harvard.edu/abs/2022arXiv220613842B/abstract,https://ui.adsabs.harvard.edu/abs/2022arXiv220613842B/abstract,https://ui.adsabs.harvard.edu/abs/2022arXiv220613842B/abstract,https://ui.adsabs.harvard.edu/abs/2022arXiv220613842B/abstract,https://ui.adsabs.harvard.edu/abs/2022arXiv220613842B/abstract,https://arxiv.org/abs/2010.16333,,,
First author ,Briel ,Briel ,Briel (2022) - RAPID,Briel (2022) - RAPID,Briel (2022) - DELAYED,Briel (2022) - DELAYED,"Bavera, Simone S.,",Belczynski 2022 ,,Olejak
string ,Briel (2022) ,Briel (2022) ,Briel (2022) - RAPID,Briel (2022) - RAPID,Briel (2022) - DELAYED,Briel (2022) - DELAYED,B21-alpha0-2,,,
code ,BPASS,v2.2.1,BPASS,v2.2.1,BPASS,v2.2.1,POSYDON ,,,
,"see Eldridge et al. (2008, 2017); Stanway et al. (2018) for BPASS description",,"see Eldridge et al. (2008, 2017); Stanway et al. (2018) for BPASS description",,"see Eldridge et al. (2008, 2017); Stanway et al. (2018) for BPASS description",,with COSMIC ,,,
,1,,1,,1,,1,,,
Papers ,"(Wofford et al. 2016; Eldridge 2009; Eldridge et al. 2017; Stanway & Eldridge 2018), and transients rates (Eldridge & Stanway 2016; Eldridge et al. 2019; Tang et al. 2020; Ghodla et al. 2022; Briel et al. 2022).",,"(Wofford et al. 2016; Eldridge 2009; Eldridge et al. 2017; Stanway & Eldridge 2018), and transients rates (Eldridge & Stanway 2016; Eldridge et al. 2019; Tang et al. 2020; Ghodla et al. 2022; Briel et al. 2022).",,"(Wofford et al. 2016; Eldridge 2009; Eldridge et al. 2017; Stanway & Eldridge 2018), and transients rates (Eldridge & Stanway 2016; Eldridge et al. 2019; Tang et al. 2020; Ghodla et al. 2022; Briel et al. 2022).",,,,,
Special ,"pass implements a unique method in evolving binary systems to reduce computational time. Before the first supernova, the primary star is evolved in detail using the adapted STARS code (Eggleton 1971), while the secondary star is evolved using the single star rapid evolution equations from Hurley et al. (2002).  This is know as the primary model. After the fate of the primary star has been determined and a natal kick has been applied, a secondary model is selected and the secondary star is evolved in detail, either as a single star or as a binary with a compact object, contingent on the outcome of the primary",,"pass implements a unique method in evolving binary systems to reduce computational time. Before the first supernova, the primary star is evolved in detail using the adapted STARS code (Eggleton 1971), while the secondary star is evolved using the single star rapid evolution equations from Hurley et al. (2002).  This is know as the primary model. After the fate of the primary star has been determined and a natal kick has been applied, a secondary model is selected and the secondary star is evolved in detail, either as a single star or as a binary with a compact object, contingent on the outcome of the primary",,"pass implements a unique method in evolving binary systems to reduce computational time. Before the first supernova, the primary star is evolved in detail using the adapted STARS code (Eggleton 1971), while the secondary star is evolved using the single star rapid evolution equations from Hurley et al. (2002).  This is know as the primary model. After the fate of the primary star has been determined and a natal kick has been applied, a secondary model is selected and the secondary star is evolved in detail, either as a single star or as a binary with a compact object, contingent on the outcome of the primary",,,,,
Stellar Tracks ,STARS,"from (Eggleton 1971) (incl QHE), see Eldridge et al. (2008, 2017); Stanway et al. (2018) for BPASS description",STARS,"from (Eggleton 1971) (incl QHE), see Eldridge et al. (2008, 2017); Stanway et al. (2018) for BPASS description",STARS,"from (Eggleton 1971) (incl QHE), see Eldridge et al. (2008, 2017); Stanway et al. (2018) for BPASS description",,,,
SFR ,TNG-100-1,(see Briel 2022),TNG-100-1,(see Briel 2022),TNG-100-1,(see Briel 2022),,Madau & Fragos (2017),,
Z distribution ,bins,,bins,,bins,,,"edshift metallicity distribution for Population I/II stars, as presented in Belczynski et al. (2020)",,
Z values evaluated,13,from 10^-5 to 0.04 ,13,from 10^-5 to 0.04 ,13,from 10^-5 to 0.04 ,,,,
IMF ,Kroupa 2001 [300 Msun],M_max = 300 Msun,Kroupa 2001 [300 Msun],M_max = 300 Msun,Kroupa 2001 [300 Msun],M_max = 300 Msun,,KROUPA [150 Msun],,
initial ,Moe & Di Stefano (2017) ,,Moe & Di Stefano (2017) ,,Moe & Di Stefano (2017) ,,,,,
initial separation,,,,,,,"extended Sana (2012),  with two power law slopes ",,,
sigma natal kick NS,265 km/s (Hobbs 2005),for CO masses below 3Msun,265 km/s (Hobbs 2005),for CO masses below 3Msun,265 km/s (Hobbs 2005),for CO masses below 3Msun,,265 km/s,,
BH kick,Hobbs 2005 and reduced by M_rem / 1.4 Msun ,,Hobbs 2005 and reduced by M_rem / 1.4 Msun ,,Hobbs 2005 and reduced by M_rem / 1.4 Msun ,,,,,
PPISN ,Farmer (2019)  ,using upper PISN limit from Woosley,Farmer (2019)  ,using upper PISN limit from Woosley,Farmer (2019)  ,using upper PISN limit from Woosley,,,,
PISN ,Woosley (2019) ,no BHs for CO Mass > 60 Msun and He Mass <133 Msun,Woosley (2019) ,no BHs for CO Mass > 60 Msun and He Mass <133 Msun,Woosley (2019) ,no BHs for CO Mass > 60 Msun and He Mass <133 Msun,,"weak, up to 55 Msun BH Leung et al. 2019; Belczynski et al. 2020)",,
SN,self-consistently calculating remnant mass after 10^51 erg injection  ,,F12 RAPID,F12 RAPID,F12 Delayed,F12 Delayed,,RAPID/DELAYED (Olejak 2022) ,,
Mgrav from Mbar,Fryer (2012),,Fryer (2012),,Fryer (2012),,,,,
Mgrav for NSs,own equation M_grav = 2 sqrt((1+3M_bar -1 )/ 3),Eq 2 in paper ,own equation M_grav = 2 sqrt((1+3M_bar -1 )/ 3),Eq 2 in paper ,own equation M_grav = 2 sqrt((1+3M_bar -1 )/ 3),Eq 2 in paper ,,,,
QHE ,"If the secondary has accreted more than 5% of its initial mass and has a metallicity fraction of 0.004 or below, the secondary model is, instead, replaced by a quasi-homogeneous model (QHE).",,"If the secondary has accreted more than 5% of its initial mass and has a metallicity fraction of 0.004 or below, the secondary model is, instead, replaced by a quasi-homogeneous model (QHE).",,"If the secondary has accreted more than 5% of its initial mass and has a metallicity fraction of 0.004 or below, the secondary model is, instead, replaced by a quasi-homogeneous model (QHE).",,,,,
response star zeta ,directly (self-consistently) modeling donor radius response ,,directly (self-consistently) modeling donor radius response ,,directly (self-consistently) modeling donor radius response ,,qcrit like Neijssel (without. Soberman radial response for GB stars) ,,,
mass stability ,zeta prescription ,,zeta prescription ,,zeta prescription ,,,,,
mass transfer accretion,limited by KH timescale star: Mdot < M / t_KH,,limited by KH timescale star: Mdot < M / t_KH,,limited by KH timescale star: Mdot < M / t_KH,,,,,
mass transfer accretion NS,Eddington limited ,,Eddington limited ,,Eddington limited ,,Eddington limited ,"King 2001, Mondal 2020",,
mass transfer accretion BH,unrestricted ,,unrestricted ,,unrestricted ,,Eddington limited ,"King 2001, Mondal 2020",,
excess material lost from accretion ,wind loss from donor star (isotropic wind loss) ,,wind loss from donor star (isotropic wind loss) ,,wind loss from donor star (isotropic wind loss) ,,,,,
CE ,gamma-formalism ,CE binding energy and orbital energy while conserving angular momentum ,gamma-formalism ,CE binding energy and orbital energy while conserving angular momentum ,gamma-formalism ,CE binding energy and orbital energy while conserving angular momentum ,standard lambda-alpha,standard lambda-alpha,,
alpha ,variable: between alpha x lambda of 3-30 ,,variable: between alpha x lambda of 3-30 ,,variable: between alpha x lambda of 3-30 ,,range ,1,,
lambda,variable: between alpha x lambda of 3-30 ,,variable: between alpha x lambda of 3-30 ,,variable: between alpha x lambda of 3-30 ,,Clayes (2014),,,
CE ,doesnt have to be fully ejected ,,doesnt have to be fully ejected ,,doesnt have to be fully ejected ,,,pessimistic ,,
Stability Criteria ,,,,,,,,,,
winds,,,,,,,,,,
MS Z-dependent mass loss,de Jager 1988,,de Jager 1988,,de Jager 1988,,,"Vink 2001, Belczynski 2010 ",,
OB stars MS mass loss,Vink 2001,,Vink 2001,,Vink 2001,,,,,
