model,channel II intrinsic (z=0) OSMT,channel V intrinsic (z=0) other without CE,channel I intrinsic (z=0) classic,channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE,channel V intrinsic (z=0) other with CE,channel V intrinsic (z=0) other (CE not specified) ,All intrinsic (z=0) [Gpc^-3 yr^-1]
B22-A-fiducial,0.4950460425,0.03114675276,0.38221165,0.0775480634,0.0140474913,0,,39.16350924
B22-B-beta0-25,0.4316266364,0.05973202374,0.4662605087,0.04237255809,0,0,,33.66342714
B22-C-beta0-5,0.6398510067,0.04867322811,0.254659336,0.05681642922,0,0,,37.6016792
B22-D-beta0-75,0.7648595426,0.02998261192,0.1424738828,0.05980278822,0.002881174415,0,,45.10080189
B22-E-unstableBB,0.4999251248,0.03147792645,0.3800574533,0.07598232499,0.01255717044,0,,39.1304387
B22-F-unstableBB-optimistic,0.2403815104,0.01650538476,0.7037403225,0.03356907898,0.005569677948,0.0002340253745,,89.02310583
B22-G-alpha0-1,0.8781442444,0.01444079839,0.1004145522,0.006994454221,5.95E-06,0.00E+00,,22.22284644
B22-H-alpha0-5,0.5838053182,0.03881775983,0.3062500579,0.06744340688,0.003683457237,0,,33.50195479
B22-I-alpha2,0.3759608624,0.02435588133,0.4583158075,0.09053192815,0.05083552063,0,,52.19109283
B22-J-alpha10,0.6519318626,0.003585431721,0.1484042905,0.1330530106,0.06302529129,1.13E-07,,29.91424131
B22-K-optimisticCE,0.2380625606,0.01591655761,0.7049268887,0.03425519335,0.006204959633,0.0006338401004,,88.00081063
B22-L-rapid,0.5450209413,0.01563137731,0.3771472328,0.05357476707,0.008625681435,0,,40.52566483
B22-M-max-mNS:2,0.4318502107,0.03990673407,0.4337222216,0.07800676726,0.01651406637,0,,46.56325715
B22-N-max-mNS:3,0.5453694093,0.02812120821,0.3407001237,0.07363751873,0.01217174011,0,,34.59079547
B22-O-noPISN,0.4978668875,0.03091744237,0.3804074095,0.07683845293,0.01396980761,0,,39.22567746
B22-P-sigma:100,0.4148986599,0.08236587112,0.395574509,0.08604671824,0.02111424172,0,,45.00688991
B22-Q-sigma:30,0.3378812244,0.09422140649,0.4631934602,0.08364929704,0.02105461191,0,,51.13561517
B22-R-noBHkick,0.3508698374,0.003616127983,0.5361665139,0.08694326181,0.02240425897,0,,49.48151073
B22-S-fWR:0-1,0.5782188864,0.01582890803,0.3671251237,0.03341015235,0.00541692948,0,,94.7161176
B22-T-fWR:5,0.3014017455,0.03008506411,0.4886098416,0.1460430377,0.03386031108,0,,11.06040796
B21-alpha0-2,0.18,,0.82,0,0,,0,137.600
B21-alpha0-35,0.59,,0.41,0,0,,0,41.800
B21-alpha0-5,0.550,,0.45,0,0,,0,45.000
B21-alpha0-75,0.45,,0.546,0,0,,0,54.200
B21-alpha1,0.37,,0.634,0,0,,0,67.200
B21-alpha2,0.413,,0.587,0,0,,0,59.600
B21-alpha5,0.52,,0.480,0,0,,0,47.300
B21-eddington-1E3,0.353,,0.647,0,0,,0,66.6
B21-eddington-1E5,0.083,,0.917,0,0,,0,44.5
B21-eddington-1E9,0.005,,0.995,0,0,,0,38.8
B21-noRLOFatZAMS,0.36,,0.64,0,0,,0,87.2
B21-logU-SanaPrior,0.24,,0.76,0,0,,0,96.4
B21-logU-noRLOFatZAMS,0.240,,0.76,0,0,,0,103.3
B21-qcrit-Claeys,0.700,,0.3,0,0,,0,169.7
B21-qcrit-Belczynski,0.561,,0.439,0,0,,0,55.8
RG21-SN:N20,0.1961878426,,0.804,0,0,,0,202.51
RG21-SN:rapid,0.2894552461,,0.7105447539,0,0,,0,114.18
RG21-SN:delayed,0.4441761364,,0.5558238636,0,0,,0,70.4
RG21-ESCN:Full-SN:N20,0.2035972284,,0.7964027716,0,0,,0,203.49
RG21-ESCN:Full-SN:rapid,0.2915654287,,0.7084345713,0,0,,0,115.24
RG21-ECSN:Full-SN:delayed,0.4463593279,,0.5536406721,0,0,,0,69.63
RG21-noBHkick-SN:N20,0.1961878426,,8.04E-01,0,0,,0,202.51
RG21-noBHkick-SN:rapid,0.1951613906,,0.8048386094,0,0,,0,160.79
RG21-noBH-kick-SN:delayed,0.1361078123,,0.8638921877,0,0,,0,193.67
DT22-beta0-3,0.5897435897,,0.4102564103,0,0,,0,23.4
DT22-beta0-7,0.3863636364,,0.6136363636,0,0,,0,26.4
DT22-beta0-3-IT,0.7015706806,,0.2984293194,0,0,,0,19.1
DT22-beta0-7-IT,0.4333333333,,0.5666666667,0,0,,0,21
DT22-beta0-3-zeta7-5,0.8915304606,,0.1084695394,0,0,,0,67.3
DT22-beta0-7-zeta7-5,0.8810703667,,0.1189296333,0,0,,0,100.9
DT22-beta0-3-zeta7-5-IT,0.9058823529,,0.09411764706,0,0,,0,59.5
DT22-beta0-7-zeta7-5-IT,0.8765571914,,0.1234428086,0,0,,0,88.3
DT22-beta0-3-gamma1,0.06586826347,,0.9341317365,0,0,,0,33.4
DT22-beta0-7-gamma1,0.07947019868,,0.9205298013,0,0,,0,30.2
DT22-beta0-3-gamma1-IT,0.04393305439,,0.9560669456,0,0,,0,47.8
DT22-beta0-7-gamma1-IT,0.08571428571,,0.9142857143,0,0,,0,28
DT22-beta0-3-gamma1-zeta7-5,0.6244665718,,0.3755334282,0,0,,0,70.3
DT22-beta0-7-gamma1-zeta7-5,0.7873254565,,0.2126745435,0,0,,0,93.1
DT22-beta0-3-gamma1-zeta7-5-IT,0.5111607143,,0.4888392857,0,0,,0,89.6
DT22-beta0-7-gamma1-zeta7-5-IT,0.7472959685,,0.2527040315,0,0,,0,101.7
van Son (2022),0.37,,0.63,0,0,,0,73
Briel (2022) ,0.0644,0.0741,0.4528,0.3815,0,0.0272,,6.5
Briel (2022) - RAPID,0.0973,0.0307,0.4129,0.4507,0,0.0084,0,57.1
Briel (2022) - DELAYED,0.1088,0.0374,0.3535,0.4918,0,0.0085,0,48
Olejak21-M380 (fiducial),0.004862236629,0,0.8557536467,0,0.03241491086,0,0.1069692058,61.7
Olejak21-M480 (changedCEcriteria),0.9400452489,0,0.0407239819,0,0.01583710407,0,0.003393665158,88.4
Olejak21-M481 (changedCEcriteria+switch),0.02234636872,0,0.8659217877,0,0.0782122905,0,0.03351955307,17.9
Boesky_alphaCE_0_1_beta0_25,0.418875,,0.075107,0.054321,0,,0.451697,71.58651
Boesky_alphaCE_0_1_beta0_5,0.619209,,0.089882,0.033474,0,,0.257434,96.20901
Boesky_alphaCE_0_1_beta0_75,0.79405,,0.062851,0.053251,0,,0.089848,124.1771
Boesky_alphaCE_0_5_beta0_25,0.354362,,0.085174,0.168537,1.23E-08,,0.391927,80.32091
Boesky_alphaCE_0_5_beta0_5,0.546465,,0.067707,0.149888,1.88E-08,,0.23594,108.0684
Boesky_alphaCE_0_5_beta0_75,0.71598,,0.049236,0.11437,5.76E-05,,0.120357,135.4436
Boesky_alphaCE_2_beta0_25,0.191057,,0.294623,0.256064,1.30E-07,,0.258256,154.4951
Boesky_alphaCE_2_beta0_5,0.366842,,0.207875,0.209564,2.39E-08,,0.21572,177.3947
Boesky_alphaCE_2_beta0_75,0.57912,,0.170303,0.121047,0.008563,,0.120967,226.7247
