ADS year,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
ADS month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ADS abstract link,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract
ArXiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Author,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden
label string,B22-A-fiducial,B22-A-fiducial,B22-B-beta0-25,B22-B-beta0-25,B22-C-beta0-5,B22-C-beta0-5,B22-D-beta0-75,B22-D-beta0-75,B22-E-unstableBB,B22-E-unstableBB,B22-F-unstableBB-optimistic,B22-F-unstableBB-optimistic,B22-G-alpha0-1,B22-G-alpha0-1,B22-H-alpha0-5,B22-H-alpha0-5,B22-I-alpha2,B22-I-alpha2,B22-J-alpha10,B22-J-alpha10,B22-K-optimisticCE,B22-K-optimisticCE,B22-L-rapid,B22-L-rapid,B22-M-max-mNS:2,B22-M-max-mNS:2,B22-N-max-mNS:3,B22-N-max-mNS:3,B22-O-noPISN,B22-O-noPISN,B22-P-sigma:100,B22-P-sigma:100,B22-Q-sigma:30,B22-Q-sigma:30,B22-R-noBHkick,B22-R-noBHkick,B22-S-fWR:0-1,B22-S-fWR:0-1,B22-T-fWR:5,B22-T-fWR:5
code,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS
"type of limit (for plotting, see jupyter notebook for a dictionary) ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1]
.0.0.0,0.7497398666,33.38711266,0,17.87606991,0.0003379251064,18.9730432,0.4992713312,55.58394275,0.004823104686,0.4327294827,0.09150459921,25.27700575,1.79E-03,31.36723492,0.2692082823,18.79649396,0.7143753778,51.50207057,0.3002918817,58.15972598,0.5536787017,45.088,0.7023068267,30.24925924,0.7537777,33.2353212,0.7412347638,34.42854869,0.7487805,33.80362926,0.7173385868,60.55244837,0.3587220732,126.7773233,0.7392935485,34.0233926,0.7927010095,30.99923582,0.4841412194,23.35779593
.1.1.1,0.5835382334,49.40691062,0.00E+00,24.76503248,0.002460199182,23.03872839,0.347215072,69.10181275,0.06703669128,1.615286269,0.07264992183,47.96483281,0.03277463695,48.14531265,0.1222142614,49.29090491,0.763383625,157.3012802,0.406363288,257.6176284,0.4835247099,59.46596028,0.5596955212,41.12161232,0.569236163,46.86479173,0.5798041589,53.32693799,0.5865301461,49.73519068,0.5248869331,86.58116316,0.1910650424,212.0383276,0.5866913419,49.92938397,0.6183936142,44.29472769,0.6681746806,49.71031745
.1.1.2,0.8704524984,48.70857767,0.00E+00,22.68682858,0.0002615333285,24.33191799,0.6863994287,66.39259794,0.01814422112,0.4241039132,0.1013825217,38.25864427,2.38E-03,48.19479517,0.3545139148,18.0152923,0.8293477201,66.56286627,0.3443476965,55.42517178,0.5962349545,70.91890342,0.841966852,42.67312116,0.8756609301,48.22812257,0.8663607181,49.83773531,0.8704893153,49.25926671,0.8403888195,87.97911449,0.4953043059,160.9274988,0.8625163865,49.34725371,0.8575461697,46.15018531,0.4534871873,34.12743952
.1.1.3,0.7472831644,48.3832685,0.00E+00,25.67361833,0.0004946392833,26.89252146,0.4953411977,79.20747088,0.01289392188,0.6590218166,0.0933037928,38.92175523,0.002380824726,43.93728705,0.2530595734,27.93668366,0.7181360749,77.38850929,0.2887924664,88.34135725,0.5459362919,66.0491667,0.7069979255,43.55860454,0.7536136029,48.06933032,0.7411516324,49.65403696,0.7472762287,48.93516521,0.7144954951,87.12898094,0.353971439,182.5862167,0.7396323372,49.28971513,0.7961116631,45.15307765,0.4812053288,35.57789454
.1.2.1,0.6196198107,49.02950809,0.00E+00,23.19274906,0.002118820173,21.5754782,0.3980365989,66.16336676,0.07605060897,1.525466643,0.08204104839,44.66489391,3.51E-02,49.78149704,0.1331330265,43.71311768,0.7717273329,157.1515788,0.4508431859,274.5007954,0.5187145382,58.40977609,0.5930261568,41.00571218,0.601113869,46.40734602,0.6154248639,53.07948139,0.6221067822,49.31409646,0.5611287913,85.29350546,0.2172691097,197.9275474,0.6205712942,49.57917711,0.6530282495,44.93110419,0.6817588388,47.97291307
.1.2.2,0.8438376992,47.99521744,0.00E+00,22.44842161,0.0003928551869,23.13688202,0.6611174961,64.5647805,0.033936814,0.5755569237,0.1010740026,38.33720896,6.76E-03,45.66452425,0.2924756126,21.44648568,0.8268989824,74.22828861,0.4128336326,92.69347279,0.5926791454,68.15007009,0.8207040505,41.73341294,0.8508854009,47.039,0.837827469,49.48025231,0.8454990637,48.42221315,0.8168223548,85.9576393,0.4638511351,159.6468605,0.8383551929,48.61716334,0.8413481805,45.53081382,0.4778981909,35.23278309
.1.2.3,0.7430570266,47.77644641,0.00E+00,24.75914616,0.0006611097061,25.02731266,0.5082973113,73.49903476,0.02919118029,0.786863254,0.09311313349,39.26651446,8.09E-03,42.17630124,0.2256515192,30.2500068,0.7548373203,84.27881406,0.3617667914,120.383649,0.5486854469,64.52701269,0.7110580502,42.26587444,0.749,46.878,0.7351640326,49.57838004,0.7440750569,48.24913131,0.7117010583,85.5130672,0.3474812549,178.1847824,0.7380288673,48.55431954,0.7842082354,44.83077963,0.5051071262,36.75658404
.1.3.1,0.6149614402,48.55063811,0.00E+00,22.88059677,0.00240058727,20.85766886,0.3908451353,63.81315664,0.07833312454,1.568020929,0.07984953767,45.89230414,3.65E-02,49.36114608,0.1267167607,44.41711159,0.775227895,160.4571372,0.4535577459,290.2969864,0.5131843886,58.02300989,0.5910648219,40.23642201,0.593,45.962,0.6107573869,52.69703444,0.6176317871,48.81590974,0.553172869,84.37271665,0.2099586593,197.773731,0.61554422,49.01864368,0.6448707136,44.35286884,0.6882708845,48.36199258
.1.3.2,0.8381191216,47.61092,0.00E+00,22.45491251,0.0003847908387,22.98904424,0.6495873995,64.8999692,0.03304954058,0.59475254,0.101280178,38.13761207,6.45E-03,44.24576796,0.2880167895,21.93127749,0.8236571966,72.76686642,0.4206067138,98.97139279,0.5917655259,67.24990199,0.8147055261,41.54254922,0.8452466901,46.65585095,0.8317796905,49.12827701,0.8399842389,48.01725729,0.8119654547,85.25884716,0.4573814669,158.7913419,0.8330309365,48.21322912,0.8412577155,45.27935803,0.4697884603,34.70254253
.1.3.3,0.7286207621,47.45545521,0.00E+00,24.91716336,0.0006777847987,24.97763161,0.4905144688,74.34794816,0.02971144267,0.8058227983,0.09212180598,39.2081511,8.04E-03,40.66141209,0.2201399184,31.53754878,0.7485617857,83.89833063,0.3673157637,127.2831002,0.5410772231,63.7319767,0.6956122406,42.13127183,0.7347001706,46.55248124,0.7205308172,49.37415958,0.7296425197,47.91782215,0.6967170442,84.98528211,0.3320758641,179.4661739,0.7239982187,48.22237899,0.7762452578,44.6497651,0.5006967132,36.45234626
.2.1.1,0.5810308688,50.89480908,0.00E+00,25.15571278,0.002560600647,23.12228353,0.3502602876,69.43617603,0.05947066698,1.715500011,0.07264194087,50.97804439,0.03413371954,48.65861538,0.1226997216,50.78932311,0.7657193119,161.6684489,0.4326346247,292.8213165,0.4830881786,61.04870014,0.5687436852,42.13023876,0.5705696701,47.71324785,0.5775000852,55.16111941,0.5870424145,50.94114888,0.530446279,89.39343829,0.1942463659,216.9797954,0.5925642185,51.08437279,0.6219304472,45.91874014,0.6555839852,50.14474331
.2.1.2,0.8523963128,48.86390169,0.00E+00,24.30228532,0.0002726445649,24.4270478,0.6449511047,69.0691724,0.01933402508,0.6123016004,0.1015015525,41.01729904,3.90E-03,46.69509296,0.293451959,21.97611388,0.825304672,70.80478433,0.3961171283,85.8390596,0.5818243446,71.39482576,0.8216511154,43.35199655,0.8567040315,48.21811977,0.8466271755,50.39054154,0.8511961534,49.48806844,0.8268167293,87.66469782,0.4787113254,161.0041996,0.8455922171,49.4267691,0.8436943782,47.54129574,0.4553938157,36.43133407
.2.1.3,0.7321152729,48.7151398,0.00E+00,27.46194285,0.0005172100885,26.92326309,0.4682577338,81.56135934,0.02059660622,0.9047857347,0.09231507173,42.22510549,0.003584486002,42.06023562,0.2174592865,32.5500895,0.723803741,80.8447134,0.3197596733,111.5293643,0.5304714056,67.05178584,0.6972603917,44.01122339,0.7372777577,48.24061971,0.7302519434,49.88690593,0.7319650516,49.29408828,0.7031231865,87.07123707,0.3416880346,182.6369874,0.7220034508,49.85545208,0.7834949266,46.43132651,0.4806760358,38.6520276
.2.2.1,0.6193807547,49.80535178,0.00E+00,23.078042,0.002239182941,21.33466952,0.4025757785,65.50749568,0.06920319111,1.543115331,0.08202122866,47.42682872,3.59E-02,49.4245148,0.1349901406,43.73373306,0.7706352182,159.1753095,0.477262244,316.1694447,0.5188630463,59.29419994,0.6004003634,41.41068676,0.6043559858,46.81191419,0.6149720708,53.91944987,0.6232687145,49.84831256,0.5660879394,86.96570242,0.2186992314,202.6577694,0.6251377326,50.32007088,0.6571744879,46.2254086,0.6761160452,47.8087043
.2.2.2,0.8292789444,47.82191812,0.00E+00,23.32385243,0.0004175186311,22.76915667,0.6392283829,64.68473801,0.03409284587,0.7254832481,0.1016820522,40.88408231,8.50E-03,43.50830677,0.2617260823,23.99187373,0.8273851394,77.03982286,0.4535969827,133.5546299,0.5812421499,68.04553137,0.8117492772,41.64810461,0.8385901187,46.52831843,0.8218601391,49.53457257,0.8330617024,48.09410223,8.08E-01,85.11480914,0.4505693149,158.9446405,0.8288461091,48.35553498,0.8351037883,46.36447708,0.4744802453,36.57965944
.2.2.3,0.7333227612,47.8531683,0.00E+00,25.64862025,0.00070460855,24.56311754,0.493786731,73.74030154,0.02856762099,0.9754807865,0.09315871694,42.0446684,1.05E-02,40.38472077,0.2055775795,33.29808186,0.7638833608,87.49084204,0.4011768011,156.3760251,0.54038337,64.76388714,0.7074423287,42.31732131,7.40E-01,46.59694036,0.7242860803,49.98822834,0.7354479066,48.25319847,7.07E-01,85.27955648,0.3398183898,177.4659841,0.7320248619,48.58146694,0.7766971639,45.96408732,0.5012749323,38.40721781
.2.3.1,0.61454987,49.4322003,0.00E+00,22.77431136,0.002521284294,20.7447041,0.3955166324,63.37987554,0.07188391251,1.573297898,0.0798402255,48.71954517,3.70E-02,49.27469431,0.1292002084,44.28932311,0.7731948423,162.5502482,0.478628162,331.3243331,0.5132577216,59.02860648,0.5980878929,40.74146751,5.96E-01,46.48654858,0.6103898427,53.61816622,0.618666218,49.44834989,5.59E-01,86.25873586,0.2117747016,203.1774607,0.6202901,49.86554912,0.649412432,45.69680047,0.6830079841,48.05626015
.2.3.2,0.8227226528,47.48809719,0.00E+00,23.37053779,0.0004095422272,22.60129008,0.6283531994,64.95109118,0.03315725905,0.7498466908,0.101789942,40.70946882,8.22E-03,42.00889264,0.2571801083,24.57200088,0.8251448394,75.62970256,0.4577885916,139.9612756,0.5799589241,67.18463943,0.8050744578,41.49391262,8.33E-01,46.15284887,0.8149659629,49.2441744,0.8269116829,47.7218556,0.8032472393,84.41171969,0.4440899869,157.9898537,0.8231660494,47.98834393,0.8343869279,46.14520789,0.4654871002,36.06984404
.2.3.3,0.7194774956,47.68136877,0.00E+00,25.91709741,0.0007221896929,24.53114199,0.4779128072,74.63033686,0.02958415503,0.9983240126,0.09216804427,41.97724384,1.07E-02,38.93368845,0.1991051465,34.96684095,0.7606054012,87.47295765,0.4051647114,161.8439639,0.5337137699,64.10419932,0.6906166866,42.42466925,0.7251462136,46.40681574,0.7099741845,50.04458837,0.7211225775,48.08712777,0.69224767,84.91256807,0.32517265,178.7150084,0.7172369885,48.35755207,0.7675990473,45.93114491,0.4968735861,38.26211402
.3.1.1,0.582316073,33.33277216,0.00E+00,16.7480699,0.002428305861,15.56351742,0.3467915398,46.63210472,0.06340715754,1.128857954,0.07252897641,32.0584,0.0337103184,32.48945738,0.120133189,33.85652779,0.7671402897,106.6145109,0.4109154641,179.4293133,0.4836668308,40.02340102,0.5607513917,27.67195908,0.5691034824,31.47526023,0.5794878181,36.0422086,0.5857869058,33.53062496,0.5269984358,58.32570107,0.1914945861,141.9174279,0.5871610003,33.63747653,0.618225772,29.80958411,0.667356247,33.69126667
.3.1.2,0.8642952798,32.90313435,0.00E+00,15.63427589,0.0002540493038,16.70347721,0.6702573426,45.66439374,0.01667753378,0.3202409856,0.1006960637,25.71997355,2.52E-03,32.84321143,0.3364191173,12.76287994,0.8241616096,45.90208208,0.3431849641,40.23204175,0.5916939004,47.93262796,0.835,28.83585187,0.8697574631,32.55956194,0.8603373884,33.67681764,0.8644322879,33.272,0.8355253932,59.33262729,0.4896471628,109.0231868,0.8564556723,33.33119557,0.8539182955,31.06849713,0.4579468871,23.43668298
.3.1.3,0.7416235243,32.60666483,0.00E+00,17.64431088,0.0004852196473,18.2813213,0.4836556492,54.24011574,0.0113962779,0.4830356632,0.09251416437,26.20273568,0.002528585193,29.70719653,0.241632545,19.59315018,0.7163540918,53.09511241,0.292386995,63.24581179,0.5420961607,44.48795592,0.701,29.36966928,0.7483162984,32.3644404,0.7353687991,33.47633924,0.7416274657,32.97808303,0.7102481951,58.57841241,0.3495457188,123.1583133,0.7335367557,33.25072191,0.7917734443,30.37308385,0.4843033461,24.52418678
.3.2.1,0.6180167241,33.01900488,0.00E+00,15.65192017,0.002095493765,14.5465233,0.3975991441,44.48265828,0.07210377813,1.062229598,0.08196008039,29.85073535,3.57E-02,33.39656897,0.1306802319,29.91768591,0.774616753,106.1989325,0.4566562414,192.1082481,0.5184249864,39.25630323,0.593,27.56089196,0.6000294123,31.14648159,0.6143349724,35.80963682,0.6208824021,33.17510704,0.562010653,57.39671202,0.2170783297,132.5748124,0.6201044011,33.34571491,0.6517170142,30.24047523,0.6800492542,32.38128906
.3.2.2,0.8379162539,32.37637467,0.00E+00,15.40104586,0.0003843387642,15.76997294,0.6482748094,44.097157,0.0310823711,0.4271502362,0.1005845651,25.72505911,7.17E-03,30.89404851,0.2775817691,15.17037102,0.825467231,51.05455928,0.4159214137,67.27010854,0.5891609742,45.92233106,0.8150084863,28.13149524,0.8457817687,31.66558132,0.8319318248,33.41020825,0.8398225797,32.65182259,0.8128651069,57.85524746,0.4591709851,107.6914912,0.8328333291,32.78265703,0.8377334427,30.63066764,0.4813090711,24.14353783
.3.2.3,0.7380665711,32.18808831,0.00E+00,16.96377763,0.000650951943,16.94917896,0.4992557228,49.99111742,0.02711945895,0.5730557257,0.09262754402,26.35368523,8.67E-03,28.38509654,0.2156421246,21.20914113,0.7563740872,57.75028385,0.3665530037,86.20935642,0.545891617,43.4023561,0.7068897134,28.4318553,0.7448910202,31.50088213,0.7303024902,33.43434675,0.7392593725,32.49791185,0.7088498609,57.46095195,0.3441392543,119.7917564,0.7329356032,32.7244798,0.780361933,30.14868317,0.5078081236,25.24770377
