ADS year,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
ADS month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ADS abstract link,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract
ArXiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Author,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden
label string,B22-A-fiducial,B22-A-fiducial,B22-B-beta0-25,B22-B-beta0-25,B22-C-beta0-5,B22-C-beta0-5,B22-D-beta0-75,B22-D-beta0-75,B22-E-unstableBB,B22-E-unstableBB,B22-F-unstableBB-optimistic,B22-F-unstableBB-optimistic,B22-G-alpha0-1,B22-G-alpha0-1,B22-H-alpha0-5,B22-H-alpha0-5,B22-I-alpha2,B22-I-alpha2,B22-J-alpha10,B22-J-alpha10,B22-K-optimisticCE,B22-K-optimisticCE,B22-L-rapid,B22-L-rapid,B22-M-max-mNS:2,B22-M-max-mNS:2,B22-N-max-mNS:3,B22-N-max-mNS:3,B22-O-noPISN,B22-O-noPISN,B22-P-sigma:100,B22-P-sigma:100,B22-Q-sigma:30,B22-Q-sigma:30,B22-R-noBHkick,B22-R-noBHkick,B22-S-fWR:0-1,B22-S-fWR:0-1,B22-T-fWR:5,B22-T-fWR:5
code,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS
"type of limit (for plotting, see jupyter notebook for a dictionary) ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1]
.0.0.0,0,33.38711266,0.002644998166,17.87606991,0,18.9730432,0,55.58394275,0,0.4327294827,0.0243581993,25.27700575,0,31.36723492,0,18.79649396,0,51.50207057,0.0001614487663,58.15972598,0.01512874863,45.088,0,30.24925924,0,33.2353212,0,34.42854869,0,33.80362926,0,60.55244837,0,126.7773233,0,34.0233926,0,30.99923582,0,23.35779593
.1.1.1,0,49.40691062,0.001704568376,24.76503248,0,23.03872839,0,69.10181275,0,1.615286269,0.0164230719,47.96483281,0,48.14531265,3.56E-07,49.29090491,0,157.3012802,0.001992216596,257.6176284,0.01291100343,59.46596028,0,41.12161232,0,46.86479173,0,53.32693799,0,49.73519068,0,86.58116316,0,212.0383276,0,49.92938397,1.56E-06,44.29472769,0,49.71031745
.1.1.2,0,48.70857767,0.001754835037,22.68682858,0,24.33191799,0,66.39259794,0,0.4241039132,0.0306065137,38.25864427,0,48.19479517,3.13E-08,18.0152923,0,66.56286627,0.0007358865358,55.42517178,0.01922771279,70.91890342,0,42.67312116,0,48.22812257,0,49.83773531,0,49.25926671,0,87.97911449,0,160.9274988,0,49.34725371,5.02E-08,46.15018531,0,34.12743952
.1.1.3,0,48.3832685,0.002512469204,25.67361833,0,26.89252146,0,79.20747088,0,0.6590218166,0.02546019291,38.92175523,0,43.93728705,3.60E-09,27.93668366,0,77.38850929,0.0005453980526,88.34135725,0.01684429824,66.0491667,0,43.55860454,0,48.06933032,0,49.65403696,0,48.93516521,0,87.12898094,0,182.5862167,0,49.28971513,1.29E-08,45.15307765,0,35.57789454
.1.2.1,0,49.02950809,0.001712373636,23.19274906,0,21.5754782,0,66.16336676,0,1.525466643,0.01566053686,44.66489391,0,49.78149704,1.58E-06,43.71311768,0,157.1515788,0.001624120843,274.5007954,0.01159846,58.40977609,0,41.00571218,0,46.40734602,0,53.07948139,0,49.31409646,0,85.29350546,0,197.9275474,0,49.57917711,4.53E-06,44.93110419,0,47.97291307
.1.2.2,0,47.99521744,0.001584340178,22.44842161,0,23.13688202,0,64.5647805,0,0.5755569237,0.02954710667,38.33720896,0,45.66452425,3.11E-07,21.44648568,0,74.22828861,0.001168822497,92.69347279,0.01920888932,68.15007009,0,41.73341294,0,47.039,0,49.48025231,0,48.42221315,0,85.9576393,0,159.6468605,0,48.61716334,4.43E-07,45.53081382,0,35.23278309
.1.2.3,0,47.77644641,0.00188220431,24.75914616,0,25.02731266,0,73.49903476,0,0.786863254,0.02528248166,39.26651446,0,42.17630124,7.48E-08,30.2500068,0,84.27881406,0.001112093936,120.383649,0.01723400342,64.52701269,0,42.26587444,0.000,46.878,0,49.57838004,0,48.24913131,0,85.5130672,0,178.1847824,0,48.55431954,1.93E-07,44.83077963,0,36.75658404
.1.3.1,0,48.55063811,0.001623378342,22.88059677,0,20.85766886,0,63.81315664,0,1.568020929,0.01576074591,45.89230414,0,49.36114608,1.04E-06,44.41711159,0,160.4571372,0.001670279659,290.2969864,0.01189332667,58.02300989,0,40.23642201,0.000,45.962,0,52.69703444,0,48.81590974,0,84.37271665,0,197.773731,0,49.01864368,3.45E-06,44.35286884,0,48.36199258
.1.3.2,0,47.61092,0.00177705178,22.45491251,0,22.98904424,0,64.8999692,0,0.59475254,0.02959729554,38.13761207,0,44.24576796,1.34E-07,21.93127749,0,72.76686642,0.001150774446,98.97139279,0.01943951992,67.24990199,0,41.54254922,0,46.65585095,0,49.12827701,0,48.01725729,0,85.25884716,0,158.7913419,0,48.21322912,2.24E-07,45.27935803,0,34.70254253
.1.3.3,0,47.45545521,0.001660875315,24.91716336,0,24.97763161,0,74.34794816,0,0.8058227983,0.02452151416,39.2081511,0,40.66141209,2.48E-08,31.53754878,0,83.89833063,0.001096696142,127.2831002,0.01683667306,63.7319767,0,42.13127183,0,46.55248124,0,49.37415958,0,47.91782215,0,84.98528211,0,179.4661739,0,48.22237899,8.01E-08,44.6497651,0,36.45234626
.2.1.1,0,50.89480908,0.001552724577,25.15571278,0,23.12228353,0,69.43617603,0,1.715500011,0.0155034339,50.97804439,0,48.65861538,3.65E-07,50.78932311,0,161.6684489,0.001903180527,292.8213165,0.01262648491,61.04870014,0,42.13023876,0,47.71324785,0,55.16111941,0,50.94114888,0,89.39343829,0,216.9797954,0,51.08437279,1.62E-06,45.91874014,0,50.14474331
.2.1.2,0,48.86390169,0.001707516619,24.30228532,0,24.4270478,0,69.0691724,0,0.6123016004,0.02725271685,41.01729904,0,46.69509296,2.71E-08,21.97611388,0,70.80478433,0.0006400332543,85.8390596,0.0178751398,71.39482576,0,43.35199655,0,48.21811977,0,50.39054154,0,49.48806844,0,87.66469782,0,161.0041996,0,49.4267691,5.23E-08,47.54129574,0,36.43133407
.2.1.3,0,48.7151398,0.002376876636,27.46194285,0,26.92326309,0,81.56135934,0,0.9047857347,0.02265829048,42.22510549,0,42.06023562,3.26E-09,32.5500895,0,80.8447134,0.0005698079097,111.5293643,0.01570646094,67.05178584,0,44.01122339,0,48.24061971,0,49.88690593,0,49.29408828,0,87.07123707,0,182.6369874,0,49.85545208,1.35E-08,46.43132651,0,38.6520276
.2.2.1,0,49.80535178,0.001589003861,23.078042,0,21.33466952,0,65.50749568,0,1.543115331,0.01483196889,47.42682872,0,49.4245148,1.66E-06,43.73373306,0,159.1753095,0.001440139676,316.1694447,0.0114718504,59.29419994,0,41.41068676,0,46.81191419,0,53.91944987,0,49.84831256,0,86.96570242,0,202.6577694,0,50.32007088,4.72E-06,46.2254086,0,47.8087043
.2.2.2,0,47.82191812,0.00156144349,23.32385243,0,22.76915667,0,64.68473801,0,0.7254832481,0.02650287545,40.88408231,0,43.50830677,2.93E-07,23.99187373,0,77.03982286,0.001009597336,133.5546299,0.01804385665,68.04553137,0,41.64810461,0,46.52831843,0,49.53457257,0,48.09410223,0.00E+00,85.11480914,0,158.9446405,0,48.35553498,4.67E-07,46.36447708,0,36.57965944
.2.2.3,0,47.8531683,0.001784950283,25.64862025,0,24.56311754,0,73.74030154,0,0.9754807865,0.02282877516,42.0446684,0,40.38472077,7.18E-08,33.29808186,0,87.49084204,0.001047697012,156.3760251,0.01629011062,64.76388714,0,42.31732131,0.00E+00,46.59694036,0,49.98822834,0,48.25319847,0.00E+00,85.27955648,0,177.4659841,0,48.58146694,2.02E-07,45.96408732,0,38.40721781
.2.3.1,0,49.4322003,0.001511562651,22.77431136,0,20.7447041,0,63.37987554,0,1.573297898,0.01496612456,48.71954517,0,49.27469431,1.10E-06,44.28932311,0,162.5502482,0.001475414163,331.3243331,0.01179572379,59.02860648,0,40.74146751,0.00E+00,46.48654858,0,53.61816622,0,49.44834989,0.00E+00,86.25873586,0,203.1774607,0,49.86554912,3.59E-06,45.69680047,0,48.05626015
.2.3.2,0,47.48809719,0.001759909785,23.37053779,0,22.60129008,0,64.95109118,0,0.7498466908,0.02653374049,40.70946882,0,42.00889264,1.26E-07,24.57200088,0,75.62970256,0.001005812117,139.9612756,0.01825606541,67.18463943,0,41.49391262,0.00E+00,46.15284887,0,49.2441744,0,47.7218556,0,84.41171969,0,157.9898537,0,47.98834393,2.36E-07,46.14520789,0,36.06984404
.2.3.3,0,47.68136877,0.001530030945,25.91709741,0,24.53114199,0,74.63033686,0,0.9983240126,0.02219467268,41.97724384,0,38.93368845,2.37E-08,34.96684095,0,87.47295765,0.001089541926,161.8439639,0.01591566852,64.10419932,0,42.42466925,0,46.40681574,0,50.04458837,0,48.08712777,0,84.91256807,0,178.7150084,0,48.35755207,8.36E-08,45.93114491,0,38.26211402
.3.1.1,0,33.33277216,0.001665092967,16.7480699,0,15.56351742,0,46.63210472,0,1.128857954,0.01633331772,32.0584,0,32.48945738,3.45E-07,33.85652779,0,106.6145109,0.002032783447,179.4293133,0.01275335691,40.02340102,0,27.67195908,0,31.47526023,0,36.0422086,0,33.53062496,0,58.32570107,0,141.9174279,0,33.63747653,1.55E-06,29.80958411,0,33.69126667
.3.1.2,0,32.90313435,0.001903521156,15.63427589,0,16.70347721,0,45.66439374,0,0.3202409856,0.03011766186,25.71997355,0,32.84321143,2.95E-08,12.76287994,0,45.90208208,0.0007520732089,40.23204175,0.01880363448,47.93262796,0.000,28.83585187,0,32.55956194,0,33.67681764,0,33.272,0,59.33262729,0,109.0231868,0,33.33119557,4.98E-08,31.06849713,0,23.43668298
.3.1.3,0,32.60666483,0.002662740407,17.64431088,0,18.2813213,0,54.24011574,0,0.4830356632,0.02504838448,26.20273568,0,29.70719653,3.42E-09,19.59315018,0,53.09511241,0.0005508154685,63.24581179,0.01654868773,44.48795592,0.000,29.36966928,0,32.3644404,0,33.47633924,0,32.97808303,0,58.57841241,0,123.1583133,0,33.25072191,1.28E-08,30.37308385,0,24.52418678
.3.2.1,0,33.01900488,0.001675925605,15.65192017,0,14.5465233,0,44.48265828,0,1.062229598,0.01557753471,29.85073535,0,33.39656897,1.54E-06,29.91768591,0,106.1989325,0.001612267256,192.1082481,0.01147267424,39.25630323,0.000,27.56089196,0,31.14648159,0,35.80963682,0,33.17510704,0,57.39671202,0,132.5748124,0,33.34571491,4.49E-06,30.24047523,0,32.38128906
.3.2.2,0,32.37637467,0.00169753957,15.40104586,0,15.76997294,0,44.097157,0,0.4271502362,0.02913530271,25.72505911,0,30.89404851,2.93E-07,15.17037102,0,51.05455928,0.001195021105,67.27010854,0.01884574355,45.92233106,0,28.13149524,0,31.66558132,0,33.41020825,0,32.65182259,0,57.85524746,0,107.6914912,0,32.78265703,4.40E-07,30.63066764,0,24.14353783
.3.2.3,0,32.18808831,0.001945362039,16.96377763,0,16.94917896,0,49.99111742,0,0.5730557257,0.02495461741,26.35368523,0,28.38509654,7.11E-08,21.20914113,0,57.75028385,0.001142868734,86.20935642,0.01695877468,43.4023561,0,28.4318553,0,31.50088213,0,33.43434675,0,32.49791185,0,57.46095195,0,119.7917564,0,32.7244798,1.92E-07,30.14868317,0,25.24770377
.3.3.1,0,32.70575316,0.001591345446,15.42256773,0,14.07774951,0,42.93047192,0,1.089036668,0.01568063514,30.66535824,0,33.15924384,1.01E-06,30.34984981,0,108.424795,0.001654231569,202.7129414,0.01176443913,39.00096507,0,27.05781036,0,30.86187026,0,35.56655853,0,32.84765955,0,56.80051607,0,132.4899584,0,32.97086851,3.42E-06,29.85272971,0,32.60893658
.3.3.2,0,32.11380412,0.001914852753,15.41150483,0,15.66197019,0,44.34219155,0,0.4416274579,0.02918783623,25.58961501,0,29.91060718,1.26E-07,15.53001188,0,50.09794812,0.001176490369,71.66143516,0.01909079371,45.27333051,0,28.00512189,0,31.39938782,0,33.1700141,0,32.37543867,0,57.37026315,0,107.0949875,0,32.50998407,2.23E-07,30.45680916,0,23.7994993
.3.3.3,0,31.95514102,0.001679074064,17.06098095,0,16.87994353,0,50.4713862,0,0.5847141605,0.0242057615,26.31850037,0,27.31781002,2.36E-08,22.10285256,0,57.46124536,0.001127105469,91.00322108,0.01657653254,42.85549615,0,28.31410644,0,31.26296917,0,33.2817034,0,32.257716,0,57.07556066,0,120.5344555,0,32.48848025,7.95E-08,30.02416025,0,25.05496573
