ADS year,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
ADS month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ADS abstract link,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract
ArXiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Author,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden
label string,B22-A-fiducial,B22-A-fiducial,B22-B-beta0-25,B22-B-beta0-25,B22-C-beta0-5,B22-C-beta0-5,B22-D-beta0-75,B22-D-beta0-75,B22-E-unstableBB,B22-E-unstableBB,B22-F-unstableBB-optimistic,B22-F-unstableBB-optimistic,B22-G-alpha0-1,B22-G-alpha0-1,B22-H-alpha0-5,B22-H-alpha0-5,B22-I-alpha2,B22-I-alpha2,B22-J-alpha10,B22-J-alpha10,B22-K-optimisticCE,B22-K-optimisticCE,B22-L-rapid,B22-L-rapid,B22-M-max-mNS:2,B22-M-max-mNS:2,B22-N-max-mNS:3,B22-N-max-mNS:3,B22-O-noPISN,B22-O-noPISN,B22-P-sigma:100,B22-P-sigma:100,B22-Q-sigma:30,B22-Q-sigma:30,B22-R-noBHkick,B22-R-noBHkick,B22-S-fWR:0-1,B22-S-fWR:0-1,B22-T-fWR:5,B22-T-fWR:5
code,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS
"type of limit (for plotting, see jupyter notebook for a dictionary) ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1]
.0.0.0,0.003748502878,33.38711266,0.09052993584,17.87606991,0.02907023746,18.9730432,0.005907200677,55.58394275,0,0.4327294827,0.007983739436,25.27700575,0.0002309979551,31.36723492,0.002257167219,18.79649396,0.002444578058,51.50207057,0.003829491901,58.15972598,0.02867231158,45.088,0.005283715218,30.24925924,0.003599204681,33.2353212,0.004199063365,34.42854869,0.004438083189,33.80362926,0.01581149434,60.55244837,0.07992066662,126.7773233,0.003130025341,34.0233926,0.003988013992,30.99923582,0.00968705242,23.35779593
.1.1.1,0.009945598408,49.40691062,0.2430630645,24.76503248,0.06780722373,23.03872839,0.01386617534,69.10181275,0,1.615286269,0.005984097805,47.96483281,0.0009821904326,48.14531265,0.02027184322,49.29090491,0.003489501851,157.3012802,0.006042188551,257.6176284,0.01379495552,59.46596028,0.01590615853,41.12161232,0.01527204428,46.86479173,0.01233780579,53.32693799,0.01169499253,49.73519068,0.02605488533,86.58116316,0.1130800946,212.0383276,0.00828481826,49.92938397,0.01023008805,44.29472769,0.01034913955,49.71031745
.1.1.2,0.002471432143,48.70857767,0.06095488383,22.68682858,0.01773702301,24.33191799,0.004246306475,66.39259794,0,0.4241039132,0.009429593834,38.25864427,0.0001159283518,48.19479517,0.004750144518,18.0152923,0.001441755932,66.56286627,0.004125242546,55.42517178,0.03724397655,70.91890342,0.003530490411,42.67312116,0.002924515656,48.22812257,0.002936808232,49.83773531,0.002801363129,49.25926671,0.01056451994,87.97911449,0.0655310921,160.9274988,0.001927641612,49.34725371,0.002084615071,46.15018531,0.00732688256,34.12743952
.1.1.3,0.003987104915,48.3832685,0.1031039413,25.67361833,0.03094917232,26.89252146,0.005358363386,79.20747088,0,0.6590218166,0.008401497486,38.92175523,0.0002812347006,43.93728705,0.003641349618,27.93668366,0.002427456806,77.38850929,0.003575092229,88.34135725,0.02681782485,66.0491667,0.003491248906,43.55860454,0.003656038453,48.06933032,0.003474881382,49.65403696,0.004090429532,48.93516521,0.0144253269,87.12898094,0.08349933087,182.5862167,0.00346699364,49.28971513,0.004012945756,45.15307765,0.006504870488,35.57789454
.1.2.1,0.00986377767,49.02950809,0.2295628653,23.19274906,0.06993688272,21.5754782,0.01496609475,66.16336676,0,1.525466643,0.006157537224,44.66489391,0.0008493931685,49.78149704,0.02476492283,43.71311768,0.003847004647,157.1515788,0.005761473853,274.5007954,0.01417782476,58.40977609,0.01520371871,41.00571218,0.01424433537,46.40734602,0.01087170621,53.07948139,0.01146899237,49.31409646,0.0287471458,85.29350546,0.1231083715,197.9275474,0.009342310492,49.57917711,0.01007770512,44.93110419,0.01060756084,47.97291307
.1.2.2,0.003505356032,47.99521744,0.07959184755,22.44842161,0.0242891445,23.13688202,0.005587274715,64.5647805,0,0.5755569237,0.009238710699,38.33720896,0.0001860802443,45.66452425,0.01101451155,21.44648568,0.002215453165,74.22828861,0.004825390694,92.69347279,0.03565195157,68.15007009,0.005567333045,41.73341294,0.005060953519,47.039,0.004528100657,49.48025231,0.004062590078,48.42221315,0.01285836694,85.9576393,0.07764792649,159.6468605,0.002855771729,48.61716334,0.003722555868,45.53081382,0.008005012202,35.23278309
.1.2.3,0.005000146967,47.77644641,0.1156098226,24.75914616,0.03453735508,25.02731266,0.006853636055,73.49903476,0,0.786863254,0.008350420593,39.26651446,0.0003600704762,42.17630124,0.009341153544,30.2500068,0.00278437815,84.27881406,0.004722059962,120.383649,0.026927454,64.52701269,0.006551878244,42.26587444,0.006,46.878,0.005663974051,49.57838004,0.005599277959,48.24913131,0.01615937417,85.5130672,0.08952021429,178.1847824,0.004009429857,48.55431954,0.005478019617,44.83077963,0.008254644149,36.75658404
.1.3.1,0.00947543744,48.55063811,0.2423431559,22.88059677,0.07278212315,20.85766886,0.01584694843,63.81315664,0,1.568020929,0.006090342651,45.89230414,0.0009089941768,49.36114608,0.02486687397,44.41711159,0.003751660249,160.4571372,0.005795451355,290.2969864,0.0128704413,58.02300989,0.01548572041,40.23642201,0.015,45.962,0.01089773113,52.69703444,0.01148931835,48.81590974,0.03006468879,84.37271665,0.1266641767,197.773731,0.009573655372,49.01864368,0.009870054809,44.35286884,0.01076062548,48.36199258
.1.3.2,0.003725575431,47.61092,0.07926936141,22.45491251,0.02527275162,22.98904424,0.005909494362,64.8999692,0,0.59475254,0.009289625919,38.13761207,0.0001796857855,44.24576796,0.0113102598,21.93127749,0.002310247457,72.76686642,0.004817102783,98.97139279,0.03489878495,67.24990199,0.00570452001,41.54254922,0.005358672656,46.65585095,0.004826757737,49.12827701,0.004355088967,48.01725729,0.01367902368,85.25884716,0.08007906206,158.7913419,0.003021330121,48.21322912,0.00390746512,45.27935803,0.008426008995,34.70254253
.1.3.3,0.005507344458,47.45545521,0.1178928986,24.91716336,0.03577786024,24.97763161,0.007410734673,74.34794816,0,0.8058227983,0.008234028425,39.2081511,0.0003756316058,40.66141209,0.009843409718,31.53754878,0.002978284382,83.89833063,0.004717845407,127.2831002,0.02631297991,63.7319767,0.007119458507,42.13127183,0.006732920014,46.55248124,0.006084653793,49.37415958,0.006225863106,47.91782215,0.01700469121,84.98528211,0.09218830842,179.4661739,0.004277635461,48.22237899,0.006058730025,44.6497651,0.008814228886,36.45234626
.2.1.1,0.01091346414,50.89480908,0.2370613961,25.15571278,0.06788922154,23.12228353,0.01533122227,69.43617603,0,1.715500011,0.006048478401,50.97804439,0.0009314298519,48.65861538,0.02050865827,50.78932311,0.003786313497,161.6684489,0.005854381402,292.8213165,0.0145250158,61.04870014,0.01879136895,42.13023876,0.0185530461,47.71324785,0.01499899559,55.16111941,0.0133254926,50.94114888,0.02653490725,89.39343829,0.1145663216,216.9797954,0.00794427546,51.08437279,0.01095892784,45.91874014,0.01140863528,50.14474331
.2.1.2,0.0033171145,48.86390169,0.06963623799,24.30228532,0.02013190193,24.4270478,0.006475697331,69.0691724,0,0.6123016004,0.009459217881,41.01729904,0.0001162766275,46.69509296,0.006106070608,21.97611388,0.001829560361,70.80478433,0.004765013791,85.8390596,0.0355149009,71.39482576,0.007031949664,43.35199655,0.004468204457,48.21811977,0.005113447312,50.39054154,0.005135888596,49.48806844,0.01360797233,87.66469782,0.07273937822,161.0041996,0.00187972221,49.4267691,0.002435565294,47.54129574,0.01016641824,36.43133407
.2.1.3,0.004397576166,48.7151398,0.1065647535,27.46194285,0.03274112091,26.92326309,0.005869086518,81.56135934,0,0.9047857347,0.008327924379,42.22510549,0.0002855862598,42.06023562,0.004661412212,32.5500895,0.002274330311,80.8447134,0.004729538567,111.5293643,0.02591272661,67.05178584,0.004213047083,44.01122339,0.00406566168,48.24061971,0.00406294703,49.88690593,0.004551295708,49.29408828,0.01628899037,87.07123707,0.0875261315,182.6369874,0.003245653422,49.85545208,0.004030443582,46.43132651,0.00807693881,38.6520276
.2.2.1,0.009633251569,49.80535178,0.2262199552,23.078042,0.06970245652,21.33466952,0.01568206136,65.50749568,0,1.543115331,0.006229532349,47.42682872,0.0008210535597,49.4245148,0.02430692735,43.73373306,0.00406034497,159.1753095,0.005344042303,316.1694447,0.01393094769,59.29419994,0.01635006748,41.41068676,0.01516729169,46.81191419,0.01148726826,53.91944987,0.01206750064,49.84831256,0.02878512718,86.96570242,0.1298042433,202.6577694,0.009181498066,50.32007088,0.009930736774,46.2254086,0.01085563574,47.8087043
.2.2.2,0.004102905803,47.82191812,0.08418477693,23.32385243,0.02645511322,22.76915667,0.00666224891,64.68473801,0,0.7254832481,0.009316417004,40.88408231,0.0001884696366,43.50830677,0.01217422206,23.99187373,0.002646928786,77.03982286,0.004793638742,133.5546299,0.03426236988,68.04553137,0.007489443958,41.64810461,0.007317409237,46.52831843,0.006295820187,49.53457257,0.004881069079,48.09410223,1.52E-02,85.11480914,0.08757636552,158.9446405,0.002979044909,48.35553498,0.004557202841,46.36447708,0.009690827572,36.57965944
.2.2.3,0.00567850384,47.8531683,0.1180801301,25.64862025,0.03672911286,24.56311754,0.008068045285,73.74030154,0,0.9754807865,0.00838586486,42.0446684,0.0003636027029,40.38472077,0.01053283524,33.29808186,0.002994116747,87.49084204,0.005123603661,156.3760251,0.02650808292,64.76388714,0.00927433781,42.31732131,8.32E-03,46.59694036,0.007767584803,49.98822834,0.006632322,48.25319847,1.88E-02,85.27955648,0.09518117935,177.4659841,0.003906473258,48.58146694,0.006179490799,45.96408732,0.01072655149,38.40721781
.2.3.1,0.008998576117,49.4322003,0.2388923124,22.77431136,0.07207778761,20.7447041,0.01646549345,63.37987554,0,1.573297898,0.00616261709,48.71954517,0.0008723339588,49.27469431,0.02445878309,44.28932311,0.00397333833,162.5502482,0.005385785587,331.3243331,0.0124378411,59.02860648,0.01638528114,40.74146751,1.56E-02,46.48654858,0.01123482322,53.61816622,0.01197933029,49.44834989,3.00E-02,86.25873586,0.132944257,203.1774607,0.009418523011,49.86554912,0.009647147242,45.69680047,0.01101867707,48.05626015
.2.3.2,0.004345770891,47.48809719,0.0835681047,23.37053779,0.0275417284,22.60129008,0.006977567127,64.95109118,0,0.7498466908,0.009359111457,40.70946882,0.0001831547141,42.00889264,0.01239770476,24.57200088,0.002807423774,75.62970256,0.004795670784,139.9612756,0.03360442518,67.18463943,0.007726714372,41.49391262,7.75E-03,46.15284887,0.006700913825,49.2441744,0.005205230905,47.7218556,0.01623930561,84.41171969,0.08996583144,157.9898537,0.00314575707,47.98834393,0.004760244807,46.14520789,0.01022496151,36.06984404
.2.3.3,0.006228838779,47.68136877,0.1196918698,25.91709741,0.03808647108,24.53114199,0.008914056667,74.63033686,0,0.9983240126,0.008269982412,41.97724384,0.0003804202558,38.93368845,0.01133621077,34.96684095,0.00324101495,87.47295765,0.005060445972,161.8439639,0.02609478268,64.10419932,0.01070767946,42.42466925,0.009035953394,46.40681574,0.008449241866,50.04458837,0.007696684167,48.08712777,0.0199375942,84.91256807,0.09765153456,178.7150084,0.004122182113,48.35755207,0.006787114035,45.93114491,0.01207737656,38.26211402
.3.1.1,0.01017028492,33.33277216,0.2433714293,16.7480699,0.06853763955,15.56351742,0.01445199748,46.63210472,0,1.128857954,0.005978401696,32.0584,0.0009644268019,32.48945738,0.02084957839,33.85652779,0.003510141978,106.6145109,0.006118140337,179.4293133,0.01401134548,40.02340102,0.01728532165,27.67195908,0.01621824738,31.47526023,0.01315556397,36.0422086,0.01234547914,33.53062496,0.02676840627,58.32570107,0.1141892687,141.9174279,0.008265536797,33.63747653,0.01072288398,29.80958411,0.01080739325,33.69126667
.3.1.2,0.002512265971,32.90313435,0.06363770379,15.63427589,0.01854991314,16.70347721,0.004377440753,45.66439374,0,0.3202409856,0.009366570822,25.71997355,0.0001127036567,32.84321143,0.004833060193,12.76287994,0.001437017868,45.90208208,0.004217182234,40.23204175,0.0368198357,47.93262796,0.004,28.83585187,0.003113542357,32.55956194,0.003020725347,33.67681764,0.002813902093,33.272,0.01115729109,59.33262729,0.06669271963,109.0231868,0.001917358426,33.33119557,0.002214439062,31.06849713,0.007389418004,23.43668298
.3.1.3,0.003973679606,32.60666483,0.1053402323,17.64431088,0.03188972946,18.2813213,0.005433713425,54.24011574,0,0.4830356632,0.008333531625,26.20273568,0.0002754258067,29.70719653,0.003653328489,19.59315018,0.002429287651,53.09511241,0.003661760801,63.24581179,0.02689213347,44.48795592,0.004,29.36966928,0.003758834323,32.3644404,0.00353350661,33.47633924,0.004096681973,32.97808303,0.01515367555,58.57841241,0.08509971395,123.1583133,0.00344238975,33.25072191,0.004173677425,30.37308385,0.006515371138,24.52418678
.3.2.1,0.00980895006,33.01900488,0.2293349291,15.65192017,0.0702376201,14.5465233,0.01559142676,44.48265828,0,1.062229598,0.006152102505,29.85073535,0.0008390324445,33.39656897,0.02510770666,29.91768591,0.003873151641,106.1989325,0.005770689413,192.1082481,0.01413795655,39.25630323,0.016,27.56089196,0.01475574269,31.14648159,0.01122095253,35.80963682,0.01181701429,33.17510704,0.02973972351,57.39671202,0.1253767053,132.5748124,0.00932738074,33.34571491,0.01032680395,30.24047523,0.01085293607,32.38128906
.3.2.2,0.003610323481,32.37637467,0.08184381496,15.40104586,0.02534224666,15.76997294,0.005857030388,44.097157,0,0.4271502362,0.009193962139,25.72505911,0.0001821796663,30.89404851,0.011257447,15.17037102,0.002248533125,51.05455928,0.004911593372,67.27010854,0.03545683482,45.92233106,0.006030715017,28.13149524,0.00550190563,31.66558132,0.004856800138,33.41020825,0.004286031447,32.65182259,0.01361704441,57.85524746,0.07951497112,107.6914912,0.002863894274,32.78265703,0.004009355729,30.63066764,0.008194894095,24.14353783
.3.2.3,0.005088145866,32.18808831,0.1173569757,16.96377763,0.03558987162,16.94917896,0.007041032832,49.99111742,0,0.5730557257,0.008308345011,26.35368523,0.0003542932445,28.38509654,0.00960915997,21.20914113,0.002801043543,57.75028385,0.00483859574,86.20935642,0.02709001291,43.4023561,0.00698614096,28.4318553,0.006650632362,31.50088213,0.005993946689,33.43434675,0.005802979956,32.49791185,0.01693947927,57.46095195,0.09134515587,119.7917564,0.003998341733,32.7244798,0.005817556436,30.14868317,0.008452665309,25.24770377
