ADS year,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
ADS month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ADS abstract link,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract
ArXiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Author,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden
label string,B22-A-fiducial,B22-A-fiducial,B22-B-beta0-25,B22-B-beta0-25,B22-C-beta0-5,B22-C-beta0-5,B22-D-beta0-75,B22-D-beta0-75,B22-E-unstableBB,B22-E-unstableBB,B22-F-unstableBB-optimistic,B22-F-unstableBB-optimistic,B22-G-alpha0-1,B22-G-alpha0-1,B22-H-alpha0-5,B22-H-alpha0-5,B22-I-alpha2,B22-I-alpha2,B22-J-alpha10,B22-J-alpha10,B22-K-optimisticCE,B22-K-optimisticCE,B22-L-rapid,B22-L-rapid,B22-M-max-mNS:2,B22-M-max-mNS:2,B22-N-max-mNS:3,B22-N-max-mNS:3,B22-O-noPISN,B22-O-noPISN,B22-P-sigma:100,B22-P-sigma:100,B22-Q-sigma:30,B22-Q-sigma:30,B22-R-noBHkick,B22-R-noBHkick,B22-S-fWR:0-1,B22-S-fWR:0-1,B22-T-fWR:5,B22-T-fWR:5
code,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS
"type of limit (for plotting, see jupyter notebook for a dictionary) ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1]
.0.0.0,0.2464074542,33.38711266,0.906825066,17.87606991,0.9705918374,18.9730432,0.4948214681,55.58394275,0.9951768953,0.4327294827,0.8751959572,25.27700575,0.9979784575,31.36723492,0.7284700095,18.79649396,0.2828016538,51.50207057,0.5905566622,58.15972598,0.4024433044,45.088,0.2922524904,30.24925924,0.2425642501,33.2353212,0.2497706337,34.42854869,0.2466773354,33.80362926,0.2665767896,60.55244837,0.5613126861,126.7773233,0.2575105016,34.0233926,0.2029756394,30.99923582,0.5051481401,23.35779593
.1.1.1,0.4065019866,49.40691062,0.7552323671,24.76503248,0.9297325771,23.03872839,0.6389183419,69.10181275,0.9329633087,1.615286269,0.9048275409,47.96483281,0.9662431726,48.14531265,0.8575127231,49.29090491,0.2201862786,157.3012802,0.4778842347,257.6176284,0.4897575802,59.46596028,0.4243917792,41.12161232,0.4154776485,46.86479173,0.3912275867,53.32693799,0.4017606128,49.73519068,0.4490444135,86.58116316,0.6958525886,212.0383276,0.4050081367,49.92938397,0.3712374578,44.29472769,0.321196072,49.71031745
.1.1.2,0.1269640931,48.70857767,0.9372902811,22.68682858,0.9820014437,24.33191799,0.3093542501,66.39259794,0.9818557789,0.4241039132,0.8583542389,38.25864427,0.9975057435,48.19479517,0.6407049593,18.0152923,0.1676030983,66.56286627,0.5393483736,55.42517178,0.3472166555,70.91890342,0.1542476273,42.67312116,0.1213107574,48.22812257,0.1274555093,49.83773531,0.12659734,49.25926671,0.1487379845,87.97911449,0.4391090582,160.9274988,0.1354651746,49.34725371,0.1399385304,46.15018531,0.5382663328,34.12743952
.1.1.3,0.2486263089,48.3832685,0.8943835895,25.67361833,0.9685561884,26.89252146,0.499300435,79.20747088,0.9871060781,0.6590218166,0.8722205586,38.92175523,0.9973379406,43.93728705,0.743242652,27.93668366,0.2780150665,77.38850929,0.6130969339,88.34135725,0.410326029,66.0491667,0.2893751659,43.55860454,0.2426829683,48.06933032,0.2503673671,49.65403696,0.2485299089,48.93516521,0.2709349693,87.12898094,0.5624833738,182.5862167,0.2568333503,49.28971513,0.1995613645,45.15307765,0.5111108061,35.57789454
.1.2.1,0.3705002834,49.02950809,0.768724761,23.19274906,0.9279442971,21.5754782,0.5869962492,66.16336676,0.923949391,1.525466643,0.8959065369,44.66489391,0.9640386829,49.78149704,0.8420970953,43.71311768,0.2082196084,157.1515788,0.4180072224,274.5007954,0.4554956754,58.40977609,0.3917570269,41.00571218,0.3846208563,46.40734602,0.3565892884,53.07948139,0.3664080065,49.31409646,0.4101016755,85.29350546,0.6596171512,197.9275474,0.3700599066,49.57917711,0.3368233385,44.93110419,0.3074073628,47.97291307
.1.2.2,0.1525527439,47.99521744,0.9188238123,22.44842161,0.9753180003,23.13688202,0.3332951192,64.5647805,0.966063186,0.5755569237,0.8599099976,38.33720896,0.9930522376,45.66452425,0.6964847795,21.44648568,0.1667881085,74.22828861,0.4466933173,92.69347279,0.352386827,68.15007009,0.173501364,41.73341294,0.1439907229,47.039,0.1520321555,49.48025231,0.1503338921,48.42221315,0.1700838738,85.9576393,0.458448682,159.6468605,0.1587024363,48.61716334,0.1544945163,45.53081382,0.5136841053,35.23278309
