model,link to paper ,year,code,code_abbr,stellar_tracks,label_1,label_2,label_3,label_4,label_author,sigma,sigma_strippedSN,sigma extra,alpha,alpha extra ,beta,CE optimistic/pessimistic,CE prescription,lambda,RMP,RMP extra,PISN prescription,stability ,non-conservativeness AM loss ,Eddington limited accretion CO,f_WR
B22-A-fiducial,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,fiducial , , , ,BRO22,265,30,Hobbs 2005,1,,thermal,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-B-beta0-25,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\beta = 0.25$, , , ,BRO22,265,30,Hobbs 2005,1,,0.25,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-C-beta0-5,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\beta = 0.5$, , , ,BRO22,265,30,Hobbs 2005,1,,0.5,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-D-beta0-75,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\beta = 0.75$, , , ,BRO22,265,30,Hobbs 2005,1,,0.75,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-E-unstableBB,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,UcaseBB,  ,  ,  ,BRO22,265,30,Hobbs 2005,1,,thermal,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-F-unstableBB-optimistic,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,UcaseBB,optCE, , ,BRO22,265,30,Hobbs 2005,1,,thermal,optimistic,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-G-alpha0-1,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\alpha = 0.1$, , , ,BRO22,265,30,Hobbs 2005,0.1,,thermal,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-H-alpha0-5,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\alpha = 0.5$, , , ,BRO22,265,30,Hobbs 2005,0.5,,thermal,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-I-alpha2,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\alpha = 2$, , , ,BRO22,265,30,Hobbs 2005,2,,thermal,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-J-alpha10,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\alpha = 10$, , , ,BRO22,265,30,Hobbs 2005,10,,thermal,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
