Z_over_Zsun,CE,RLOF,RLOF_highIMF,RLOF_highIMF_rapidSN
0.02,6.2e-05,1.9e-05,1.7e-05,2e-05
0.05,5.5e-05,1.8e-05,1.6e-05,1.9e-05
0.1,3e-05,1.5e-05,1.45e-05,1.6e-05
0.15,2.3e-05,1.3e-05,1.2e-05,1.35e-05
0.2,1.5e-05,1e-05,1.05e-05,1.1e-05
0.3,8.5e-06,6e-06,7.5e-06,8.5e-06
0.4,5e-06,5e-06,5.5e-06,6e-06
0.5,3.2e-06,4.5e-06,4.8e-06,5e-06
0.65,1.2e-06,3.5e-06,3.8e-06,4e-06
0.75,4e-07,7e-06,6e-06,8.5e-06
0.9,1.2e-07,5.5e-06,4.5e-06,6.5e-06
1.05,4e-08,3.5e-06,2.7e-06,4.2e-06
1.2,1.5e-08,2.3e-06,1.7e-06,2.8e-06
1.4,5e-09,1.1e-06,8e-07,1.3e-06
1.7,1e-09,4e-07,3e-07,5e-07
2.0,3e-10,1.2e-07,1e-07,1.5e-07
2.2,1e-10,5e-08,4e-08,6e-08
